ep. 142 - 結婚式(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマ映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) さて今日はテーマのリクエストもらってます えーと
(00:00:24) 日本の結婚式とか結婚の贈り物について話してくださいっていうことだったので 日本の
(00:00:33) 日本のっていうか あの
(00:00:36) 結婚式は俺もねそんな何回も結婚したことあるわけじゃないからわかんないんですけど でもまぁ贈り物についての話とかねそういうのは
(00:00:47) まぁ少しはわかるのでそんな話をしたいなぁと思っています 今日のリクエストはアメリカからですね
(00:00:54) ジョディーさんというかジョディーさんという方からですありがとうございます じゃあですね
(00:01:00) えーとまずは結婚式のやり方ですが あの俺も結婚はしてるんですけど
(00:01:09) あの あんまりね詳しくないんです
(00:01:13) なんでかっていうとまあもちろん日本の結婚式のやり方っていろいろあるんですけど 結構大体の人が結婚式って
(00:01:22) 1回しかしないからそんなに2回も3回もする人って珍しいから だから俺もねその自分がやった結婚式のやり方しか知らないので他のについては
(00:01:33) ね 自分で調べてくださいとしか言えないんですけど
(00:01:38) まあ種類ぐらいは教えられるかなと思います 日本で一番多い結婚式のやり方っていうと多分
(00:01:46) 教会とかまあチャペルとかですねそこでやるものだと思います あの日本人はねあんまり宗教って気にしないので
(00:01:57) 仏教とか神道とかねそういうのを信じている人でも別にあんまり関係ない結婚式は 教会でいいっていう人が結構多いと思うので
(00:02:07) でやっぱり 一番一般的っていうか一番多いと思うんですよ教会でやるのがそれで結婚式
(00:02:15) イコールウェディングドレスっていうイメージを持ってる人もかなり多いと思うので それでね結婚するならやっぱりドレスを着て教会でやりたいっていう人が多いかなぁ
(00:02:28) と思います 多分多分ね
(00:02:31) 俺の周りの人はみんな教会でやってました でじゃあそれ以外の教会でドレスを着てやる結婚式以外だったら何があるのか
(00:02:42) っていうと神前式っていうのもあります 神前式の神っていうのはあの神様の神ですね
(00:02:53) 神社の神と同じ感じです神っていう感じです つまり神前式っていうのは神様の前でする結婚式っていうことです
(00:03:03) やり方は まあさっきも言った通り俺はこのやり方をしてないのであまり詳しくはわかんないんです
(00:03:10) けど まず結婚する2人の家族みんなで神社に行って
(00:03:16) そして神様の前で結婚の報告ですね 私たちは今日結婚しますっていう話をして
(00:03:23) それで なんだろうね何するんだろうね
(00:03:28) すいません俺もちょっとわかんないんですけど まあとにかくその神様に報告をするっていうやり方があります
(00:03:35) もちろん日本のあの神社っていうのは日本のものですからね そこで結婚式をするので神前式の時にはウェディングドレスは着ません
(00:03:46) 日本の 結婚する時の服っていうと白無垢っていう真っ白な
(00:03:53) これ女の人のですけどねその真っ白な あの結婚する女の人が着る服があります
(00:04:00) 日本のものなのでもちろん着物ですねドレスとかではありません でまぁ他にもやり方としては神前式だけじゃなくて日本の神様だったら神前式
(00:04:13) 仏教だったら仏前式ですね仏教の神様の前でする結婚式とか あとはやっぱり自分は宗教はないから神様じゃなくて人
(00:04:26) 今までお世話になった人とか大切な人の前で結婚の報告をしたいっていう場合は 神前式じゃなくて神前式っていうふうに人の前でやる式の時もあります
(00:04:39) こんなのがまあ日本でよくやるあの 結婚式の種類ですかね
(00:04:47) じゃあ結婚式の そのいろんな種類があってそのやり方までは俺も詳しくはわかんないんですけど
(00:04:55) でもあの結婚の贈り物とかですね それは自分がもらったりとかあげたりしたものがあるので
(00:05:03) どんなものが一般的なのかっていうのは少しわかります じゃあ結婚式のその贈り物ですが
(00:05:11) 結婚式に行くならお金を持っていきます お金を持って行ってそしてまあお祝いのものとしてあげる
(00:05:20) 結婚式じゃなくて結婚のお祝いだったらもちろんお金の時もあります まあお金が一番便利ですからね
(00:05:29) いらないものをあげるよりお金をあげてそして本当に必要なものを買ってもらった方が 役に立つと思うのでお金をあげる場合も多いですが
(00:05:40) 物をあげる時もあります だいたいね物をあげる時ってあの
(00:05:47) あげる前にちょっとね本音に聞いたりとかあとは なんだろうこう驚かせるためサプライズであげる場合なんかもあるのでそういう時には
(00:05:57) 直接はっきりと何が欲しいって聞くんじゃなくて さりげなくこう今何か困ってることとかあるとか欲しいものあるみたいなのを聞いて
(00:06:08) でその欲しいものを買っておいて で驚かせるプレゼントするというようなやり方もあります
(00:06:16) まあ俺の場合はね仲がいい友達だったらもうはっきりと何が欲しいって聞いちゃってます けどね
(00:06:23) だってその方が 要らないものをあげるより絶対役に立つから
(00:06:28) 俺が結婚する時もそうでしたね何が欲しいかって言われたのでこれが欲しいっていう のを相手に伝えてそれをもらいました
(00:06:37) じゃあどんなものをあげるのが一般的なのかというとやっぱり結婚してあの2人で一緒に 生活を始めるから新しい生活で使うものっていうのが多いかなと思います
(00:06:50) 一人でプレゼントをあげるならあんまりね 高価なものはあげらんないから
(00:06:55) まあ少し小さい なんだろう台所で使うようなものとか新しい生活始めるとやっぱり一人暮らしの時には小さい
(00:07:04) 鍋でも大丈夫だったけど2人とか子供ができたら3人とか みんなで一緒にご飯作るって言うと一人暮らし用のちっちゃい鍋だと大きさが足りないから
(00:07:15) だから少し大きい鍋のセットをあげるとか あとは一人でプレゼントするんじゃなくて職場の人とか友達みんなでとか一緒にあげることが
(00:07:25) あります そういう時にはみんなでお金を出し合ってもう少し高いもの
(00:07:31) 例えばまあ台所で使うものだと家電とかですね電気製品 あのやっぱり一人暮らしの時にはちっちゃいのでよかったけどもう少し大きいものが欲しい
(00:07:43) っていうのだと炊飯器とかがありますねご飯を作る機械 あとはまあ昔だったら
(00:07:51) あのもっと高いものとかもあったかもしれないですね 職場のみんな結構大人数でお金を出し合って冷蔵庫とか洗濯機とかそういう大きい家電を
(00:08:02) あげるとかですね まあこんなのが結婚のお祝いです
(00:08:08) 新しい生活で使うものをあげるとか あとはもうお金をあげるとかですね
(00:08:15) あと最近だとこう何かのお祝いとかのプレゼントではお金をあげるのはなんか ちょっと面白くない
(00:08:23) でも物をあげるのもいらないものをあげたら あまり嬉しくないし相手も困るっていうことでギフトカタログっていうのをあげる場合も
(00:08:34) 多いです これは結婚だけじゃなくていろんな時に使うんですけど
(00:08:39) ギフトカタログっていうのは まあ本なんですけどねいろんな
(00:08:44) 本当にもいろんなジャンル台所で使うものもあれば服とかカバンとか あとは食べ物とかいろんなものが載っているカタログで
(00:08:55) でそれをもらった人はその中から一つ自分が好きなものを選んでそれをもらうことが できるっていうそういう本ですね
(00:09:04) ギフトカタログって言います まあこれ便利なんですよねお金とは違うし
(00:09:11) あの自分が欲しいものをもらうことができるので あの最近では結構ねあの
(00:09:20) 結婚だけじゃなくて何かのお祝いとかでよく使ってるんじゃないかなと思います ってことではい今日は結婚の話でしたね
(00:09:30) 日本の結婚式とあとは結婚の贈り物についてです 結婚式はすいませんあの
(00:09:36) あまり詳しくないので大した話ができませんでしたが結婚の贈り物ね 結構これって国によって文化によって違うんじゃないかなと思うので
(00:09:47) もし皆さんの国で何か面白いプレゼントとかがあったらぜひ教えてください じゃあ今日はこの辺で終わりにしたいと思います
(00:09:55) さようなら
