ep. 143 - 家事(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですね
アップルのポッドキャストのレビューのところからリクエストをもらったので それについて話したいと思います今日のテーマは日本で誰が家事をするのかっていう話です
家事についてです まあこれはね日本でっていうかあの
日本みんな同じじゃなくて各家庭によって違うとは思うんですけど ちょっと昔の話からねしていきたいとおもいます
えっと昔はこれはねどこの国でも結構同じっていうか似てるところがあると思うんです けど
家事は女の人の仕事でした で男の人は家事とかねあとは料理とかそういうものは全然しませんでした
昔の言葉で男子厨房に入らずなんていうのもあるぐらいです 厨房っていうのはまあ台所のことですね
つまり男の人男子って男とあと子供の子で男子って言うんですけど まあつまり男の人は厨房台所に行くべきではない
男の人は料理なんかするべきではないっていうそういう考え方が昔はあったってことですね まあこれは昔はしょうがないと思うんですよ
なんでかというと昔は あの仕事って言ったら何をするかというとまず自分が食べるものを作らなきゃいけない
農作業ですよね あとは昔はやっぱり今みたいにこう
物事を話し合いで解決するっていうよりも争いで解決することって多かったですよね 本当何百年とか前の話ですけどね
そうなると体の作り自体が違うので 男の人の方がそういう仕事に向いてますよね
うちの外の仕事 だからねそういうのもあって昔は男の人は外で仕事をするべきだ
そして女の人は家の中で家事をするべきだっていう考え方があったと思うんですよ これ日本だけじゃなくてどこの国でもだいたい同じだと思うんですけどね
で あのその考えがやっぱりずっと続いててで
あの そのね戦争がなくなっても力仕事がなくなっても
あの事務仕事ばっかりになってもずっと男の人は外で働くべきだ女の人は家の中に いるべきだみたいな考え方って
残念ながらね続いていたので 昔は100%ほぼ100%
女の人が家事をしてたそれがどんどんどんどん男の人もやるように変わってはいくんですが 正直今の日本でもそんなに家事をする男の人が
多いかって言ったら多分あまり多くないんじゃないかなっていう気がします じゃあこれがねどのくらい男の人が家事をしているのかって言うと
平均すると あのこれちゃんとした調査というかわかんないですよ本当にそうなのかわかんないんですよ
ただインターネットとかでちょっと調べてみると平均すると家の中の家事をしているのは 男の人がまあだいたいに3割ぐらいで
で78割が女の人だっていう場合が多いらしいですね もちろん本当これは平均の話ですからね
これと全然違う人だっていると思いますよ もう一切家事はしない家事なんて全くやらないという人も世の中にはいるだろうし
逆に家事はもう完璧ほとんど家のことは全部やるみたいな人ももちろんいるとは思います ただまあ全体の話ですよね
平均するとどのぐらいなのかって言うと 男の人はまあ2,3割ぐらいっていうそういう
調査結果みたいなのが多いみたいですね まあこれ残念な話ですよね
さっきも言ったけど何百年も前だったらしょうがないと思うんですよ その単純に力が強い方が効率が良く仕事ができるって言うんであれば
その方がいいですからね ただ
何百年も前はそうでじゃあ100年前はどうだったかっていうと 100年前もやっぱり
男の人は家事あんまりしてなかったと思うんですよ 100年前なんて言ったら
あの結構ね色々便利な道具とかもできてきたと思うんですけどね でもやっぱり男の人は家事をしない
じゃあ50年前はどうだったかっていうと 正直ね50年前でも
100年前とねほとんど変わんないんじゃないかという気はするんですよ 俺の自分の父親とかねそういう世代とかを見ても
家事やんないなって思います 俺の父親は本当に家事が
まあやらないというかできないなんですけどね 半分ぐらいはなんかこうしょうがないのかなっていう気もするんですけど
まあなんでかっていうと俺の父親の母親 つまり俺の祖母ですね
祖母の考え方もさっき言った男子十房に入らずみたいな感じだったんですよ 今はやっぱり男女平等の方がいいから
みんなでね男の人は家事をするべきだ 男女関係なく同じような仕事をするべきだっていう人が多いと思うんですけど
昔は女の人も男は家事をするべきじゃないっていう考えの人はいたんですよ どのくらいいたかわかんないですけどね
少なくとも俺の祖母はそうだったんですよ だから俺とかね俺が子供の時に手伝うって言って台所入ったりとか
あとは俺の父親がなんか台所に行ったりとか家事をしたりとかしようとすると 男なんだからそんなことしなくていいっていうふうに言うんですよ
