ep. 143 - 家事(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:14) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですね
(00:00:21) アップルのポッドキャストのレビューのところからリクエストをもらったので それについて話したいと思います今日のテーマは日本で誰が家事をするのかっていう話です
(00:00:35) 家事についてです まあこれはね日本でっていうかあの
(00:00:41) 日本みんな同じじゃなくて各家庭によって違うとは思うんですけど ちょっと昔の話からねしていきたいとおもいます
(00:00:50) えっと昔はこれはねどこの国でも結構同じっていうか似てるところがあると思うんです けど
(00:00:57) 家事は女の人の仕事でした で男の人は家事とかねあとは料理とかそういうものは全然しませんでした
(00:01:07) 昔の言葉で男子厨房に入らずなんていうのもあるぐらいです 厨房っていうのはまあ台所のことですね
(00:01:15) つまり男の人男子って男とあと子供の子で男子って言うんですけど まあつまり男の人は厨房台所に行くべきではない
(00:01:26) 男の人は料理なんかするべきではないっていうそういう考え方が昔はあったってことですね まあこれは昔はしょうがないと思うんですよ
(00:01:37) なんでかというと昔は あの仕事って言ったら何をするかというとまず自分が食べるものを作らなきゃいけない
(00:01:45) 農作業ですよね あとは昔はやっぱり今みたいにこう
(00:01:50) 物事を話し合いで解決するっていうよりも争いで解決することって多かったですよね 本当何百年とか前の話ですけどね
(00:02:00) そうなると体の作り自体が違うので 男の人の方がそういう仕事に向いてますよね
(00:02:07) うちの外の仕事 だからねそういうのもあって昔は男の人は外で仕事をするべきだ
(00:02:14) そして女の人は家の中で家事をするべきだっていう考え方があったと思うんですよ これ日本だけじゃなくてどこの国でもだいたい同じだと思うんですけどね
(00:02:25) で あのその考えがやっぱりずっと続いててで
(00:02:33) あの そのね戦争がなくなっても力仕事がなくなっても
(00:02:39) あの事務仕事ばっかりになってもずっと男の人は外で働くべきだ女の人は家の中に いるべきだみたいな考え方って
(00:02:47) 残念ながらね続いていたので 昔は100%ほぼ100%
(00:02:53) 女の人が家事をしてたそれがどんどんどんどん男の人もやるように変わってはいくんですが 正直今の日本でもそんなに家事をする男の人が
(00:03:05) 多いかって言ったら多分あまり多くないんじゃないかなっていう気がします じゃあこれがねどのくらい男の人が家事をしているのかって言うと
(00:03:16) 平均すると あのこれちゃんとした調査というかわかんないですよ本当にそうなのかわかんないんですよ
(00:03:24) ただインターネットとかでちょっと調べてみると平均すると家の中の家事をしているのは 男の人がまあだいたいに3割ぐらいで
(00:03:36) で78割が女の人だっていう場合が多いらしいですね もちろん本当これは平均の話ですからね
(00:03:44) これと全然違う人だっていると思いますよ もう一切家事はしない家事なんて全くやらないという人も世の中にはいるだろうし
(00:03:53) 逆に家事はもう完璧ほとんど家のことは全部やるみたいな人ももちろんいるとは思います ただまあ全体の話ですよね
(00:04:04) 平均するとどのぐらいなのかって言うと 男の人はまあ2,3割ぐらいっていうそういう
(00:04:12) 調査結果みたいなのが多いみたいですね まあこれ残念な話ですよね
(00:04:18) さっきも言ったけど何百年も前だったらしょうがないと思うんですよ その単純に力が強い方が効率が良く仕事ができるって言うんであれば
(00:04:28) その方がいいですからね ただ
(00:04:32) 何百年も前はそうでじゃあ100年前はどうだったかっていうと 100年前もやっぱり
(00:04:39) 男の人は家事あんまりしてなかったと思うんですよ 100年前なんて言ったら
(00:04:44) あの結構ね色々便利な道具とかもできてきたと思うんですけどね でもやっぱり男の人は家事をしない
(00:04:51) じゃあ50年前はどうだったかっていうと 正直ね50年前でも
(00:04:58) 100年前とねほとんど変わんないんじゃないかという気はするんですよ 俺の自分の父親とかねそういう世代とかを見ても
(00:05:06) 家事やんないなって思います 俺の父親は本当に家事が
(00:05:12) まあやらないというかできないなんですけどね 半分ぐらいはなんかこうしょうがないのかなっていう気もするんですけど
(00:05:20) まあなんでかっていうと俺の父親の母親 つまり俺の祖母ですね
(00:05:27) 祖母の考え方もさっき言った男子十房に入らずみたいな感じだったんですよ 今はやっぱり男女平等の方がいいから
(00:05:36) みんなでね男の人は家事をするべきだ 男女関係なく同じような仕事をするべきだっていう人が多いと思うんですけど
(00:05:45) 昔は女の人も男は家事をするべきじゃないっていう考えの人はいたんですよ どのくらいいたかわかんないですけどね
(00:05:56) 少なくとも俺の祖母はそうだったんですよ だから俺とかね俺が子供の時に手伝うって言って台所入ったりとか
(00:06:04) あとは俺の父親がなんか台所に行ったりとか家事をしたりとかしようとすると 男なんだからそんなことしなくていいっていうふうに言うんですよ
(00:06:14) そうやって育ってしまったら やっぱりね家事しなくなるんじゃないかなと思うんですよ
(00:06:22) なのでまあ 正直俺の父親ぐらいの世代になるとまあつまりね50年ぐらい前の人たちですよね
(00:06:33) そういう人たちは家事をしない人がいても結構しょうがないかなっていう気はします ただ今の人はやっぱり考え方変わってきているのでだんだんね最近の若い人って
(00:06:45) 男女関係なく家事する人は増えてきているとは思います まあ男の人は家事する人は多くはないみたいですけどね
(00:06:56) ちなみに俺は結構家事自分ではする方だと思ってます 一応ねあのうちの家事は半々になるようにはあのやってます
(00:07:07) ただね俺は昔から今みたいに家事をしっかりやってたかっていうと違うんですよ あの
(00:07:16) 自分一人だったらやらない家事って結構あります 他の人と一緒に生活をし始めるとやんなきゃいけないなっていう家事が多くなるのでそれを
(00:07:27) するんですけども あの一人だったらねこんなに家事してないと思うんですよ
(00:07:33) まあうちの場合はその自分一人じゃなくて他の人と生活をし始めた時に どんな家事が必要なのかっていうのをちゃんとね
(00:07:43) あの 認識お互いが認識しあったっていうのが大きいかなと思うんですよね
(00:07:50) 結構ねこれ俺だけじゃの俺だけじゃないと思うんですけど その家事をやらないって言われる人たちって
(00:07:58) 家事をしたくないとかできないとかそういうんじゃなくて そもそもする必要ないと思ってるっていうことが結構あるんじゃないかなと思うんですよ
(00:08:11) 例えばね洗濯とか 洗濯してそしてあのもちろん洗濯はするんですよ
(00:08:19) 洗濯は必要だからで洗濯した後にそれを 新たものを干してで乾いてから畳んでしまうっていう一連の流れがあるじゃないですか
(00:08:31) ただ俺は洗濯する洗うっていうことは必要性をすごく感じるんだけど 乾いた後に綺麗に畳んでしまうっていうことに対してあんまり必要性を感じないんですよ
(00:08:45) なんでかというとまあ俺はねあんまりこうファッションとかに気を使わない方だから 服が結構少ないんですよ
(00:08:53) しかも日本で男の人っていうと平日着るものなんて あのスーツの人が多いと思うからYシャツと中に着る下着ぐらいだから
(00:09:03) 全然量もないし あの
(00:09:07) 下着なんて干してあるものをそのまま乾いてたら取って着ることもできるから だから
(00:09:15) どうせ畳んでもまた着るし干してあるものをそのまま着てもいいんだから 畳む必要ないんじゃないかと思っちゃうんですよ
(00:09:24) でその考えのまま他の人と一緒に生活を始めるとやっぱり あの他の人はそうじゃないからね自分が俺が必要ないと思っても他の人は必要だって
(00:09:35) 思ってるかもしれないから そこで認識の差が出てしまってそれで
(00:09:41) あの家事をやらないというふうに思われてしまう そういうこともあるんじゃないかなと思うんですよ
(00:09:48) だからうちの場合はその一緒に誰かと生活を始めるっていう時に認識の違いっていう ものがないか確認してこれはやったほうがいいっていうのを確認してそれから生活を
(00:10:00) あの生活の習慣を作り始めたから だからね俺は結構家事をするようになったんじゃないかなと思います
(00:10:08) 多分最初にそれをしてなかったらねその認識の差っていうものを埋めようとしてなかったら あの俺も家事を全然しない人になったんじゃないかなという気がします
(00:10:18) まあこの家事をねどの程度しなきゃいけないかっていう考え方ってほんと人それぞれだと思うん ですけど
(00:10:25) 例えば洗濯以外でも掃除とかね 1週間にどのくらいの頻度で掃除をするかって結構人によって違うじゃないですか
(00:10:34) 俺の場合ね結構土日とか週末休みの日にまとめて掃除をするから 平日そんなにやんないんですけどでも毎日掃除をしないと埃が気になるっていう人もいるじゃないですか
(00:10:46) そうなるとその人がねそういう人が俺と一緒に生活始めたら 俺はすごい家事をしない掃除をしない人だダメな人だっていうふうに思われるかもしれないんです
(00:10:56) よね ってことでまぁちょっとここまでの話をまとめると
(00:11:02) 日本では誰が家事をするのか まあ
(00:11:06) あのやっぱり最初に言った通り昔からの習慣で男の人は家事をしないっていう 考え方はまだね完全には消えてないと思います
(00:11:16) あの 家事をする男の人ってちょっと少ないんじゃないかなと思います
(00:11:22) ただ あの男の人も
(00:11:25) その家事をしないっていうよりもそもそも必要ないと思ってるっていうことも 俺はね個人的にはあるんじゃないかなっていうふうに思います
(00:11:37) だから こう男女で認識の差が出ちゃう
(00:11:42) 男の方は家事は必要な家事はやってるつもりでもそれは別の人から見たら あの全然足りてない
(00:11:51) 私が必要だと思っている家事をあの人はやらないっていうふうに思われていることも あるんじゃないかなっていうふうに思います
(00:11:59) まあそうは言ってもねうちの父親みたいに何回やれって言ってもやってくれない人とかも いるとは思うんですけどね
(00:12:09) 結局こういうのって性別の違いとかね 男女の違いとかあとは国の違いとか世代の違いとか
(00:12:18) そういうのよりも一番あれですよね影響するのはその人の性格とか考え方ですよね ってことでまあ一言でまとめると家事を誰がするのかというと
(00:12:31) 豆な人とかそれを必要だと思っている人がするってことになっちゃいますかね はいじゃあ今日は家事についてのお話でした
(00:12:41) また他にもね何かこういうリクエストとかあったらぜひいろいろリクエストしてみてください あとピューピューさんがこのリクエストをピューピューさんという人方
(00:12:50) 人からなんですけども8 レビューのところに書いてくれました皆さんもぜひレビューとかね
(00:12:58) いろいろ書いてくれると嬉しいです それじゃあ今日はこの辺で終わりますさようなら
