ep. 144 - 嫌いな食べ物(N4)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:11) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:23) さて今日は 嫌いな食べ物について話したいと思います。
(00:00:30) 前にこのポッドキャストでもしかしたら言ったことがあるかもしれませんけど、 俺はねトマトが嫌いです。
(00:00:42) トマトはね 子供の時からずっと嫌いなんです。
(00:00:47) 食べたくないじゃなくて 食べられない。あれはねー
(00:00:53) 食べられないことはないんですけど でも
(00:00:57) 食べたくないっていうかたくさんは食べられません。 あれをたくさん食べたら気持ち悪くなります。
(00:01:06) 俺は結構 いろんなものを食べることができるんですけど
(00:01:12) だから前に台湾に住んでた時も 台湾のもので食べることができないものってほとんどなかったんですけど
(00:01:21) でもトマトはねー 今でも
(00:01:25) 嫌いです。
(00:01:28) トマトが嫌いな理由は味です。 味がねーダメなんです。
(00:01:35) で 実は俺はトマト以外にも
(00:01:40) あまり食べたくない食べ物っていうのがあります。 味は嫌いじゃないけどでも食べたくないもの。
(00:01:50) 例えば エビとかカニです。
(00:01:56) まあ そんなに味は嫌いじゃないので食べることはできます。
(00:02:03) でも あまり食べたくない。
(00:02:07) どうしてかというと食べるのがめんどくさいからです。 カニとかエビって
(00:02:16) そのまま食べることができませんよね。 外の固いところ、殻って言うんですけど
(00:02:24) その殻を取って食べないといけないので とても食べにくいです。
(00:02:30) 食べるのは大変ですね。 だから俺はエビとかカニがあまり好きじゃありません。
(00:02:39) 味はまあ嫌いじゃないんですけどでも好きでもないんです。
(00:02:46) 食べるのがめんどくさくてもすごく好きな味、すごく美味しいと思うなら 食べてもいいなと思うんですが
(00:02:55) でもエビとかカニの味って俺は好きじゃないんですよ。 日本人はねエビとかカニが好きっていう人はたくさんいると思うんですけど
(00:03:07) でも俺も日本人だけどでも俺はエビカニの味が好きじゃないから 味が好きじゃないものをめんどくさいと思いながら食べるのは嫌なので
(00:03:19) 俺はエビとかにが好きじゃありません。 このめんどくさいものってどうして嫌なのかっていうと
(00:03:27) 俺は待つのが嫌いで 何かをしたいと思ったら
(00:03:33) すぐにしたいんです。 だから
(00:03:37) そのカニとかを食べたいと思った時に すぐに食べることができない
(00:03:43) 殻を取ってそれから少しずつしか食べることができないっていうのが嫌なんです だからあのカニとかエビだけじゃなくて食べるのがめんどくさいものって
(00:03:58) 実は俺はあまり食べません。 例えば果物とかですね
(00:04:04) 果物も あの例えばバナナとかは食べるの簡単ですよね
(00:04:11) だからバナナは好きなんですけどでもちょっと食べるのがめんどくさいもの 例えばスイカとか
(00:04:19) スイカは あの大きいから切らないと食べることができないし
(00:04:25) 中に種もたくさん入ってるからちょっと食べにくいですよね あのそのまま食べるんじゃなくて食べながら種を取らないといけない
(00:04:37) それがめんどくさくて早く食べることができないから だから俺はあまりスイカが好きじゃありません
(00:04:46) 他にも好きじゃないものがあってそれは食べ物の種類じゃないんですけど 何かって言うと
(00:04:54) 熱いもの 熱いものが好きじゃありません
(00:05:00) あの 例えばラーメンとかは
(00:05:04) あの冷たいラーメンってねそんなにありませんし どこの店に行っても熱いラーメンしか出てこないから
(00:05:12) だからしょうがないから食べるんですけど 正直に言うと
(00:05:17) ラーメンとかを食べるときに 熱すぎると嫌だから
(00:05:22) ちょっとね氷を入れたりして食べたいと思う時があります
(00:05:30) ラーメンの味はねすごく大好きですよ 大好きだから
(00:05:34) あの熱いけどしょうがないから食べるんですけど でも
(00:05:39) やっぱりさっきのカニとかあとはスイカみたいに ラーメンとか熱いものって早く食べることができないですよね
(00:05:49) お腹が空いたと思っても熱いから少しずつしか食べることができない それがちょっと嫌なんですよ
(00:05:59) だからね自分で何か料理を作るときとかも ラーメンみたいに冷めにくいものはあまり作りません
(00:06:09) 熱いと食べられないから すぐに熱くなくなるものとかが結構多いですね
(00:06:17) あとは家にいるときは すごく熱いものを食べるときには食べる前に扇風機を使って冷ましたから食べます
(00:06:28) はいこんな風に俺の嫌いな食べ物っていうのは 味だけで言ったら
(00:06:34) トマト トマト以外のものはだいたいどんな味でも食べることができます
(00:06:41) 台湾ではね 日本人がみんなまずいって言って臭いって言って食べない
(00:06:48) 臭豆腐っていう食べ物とかもあったんですけど それもね別に問題なく食べることはできました
(00:06:56) だから本当にトマト以外のものってだいたい食べられるんですけど ただ食べられるけど好きじゃないもの
(00:07:05) 食べるのがめんどくさいもの カニとか
(00:07:09) 熱いものとかねそういうのは好きじゃありません 皆さんはどうでしょう
(00:07:16) 味は嫌いじゃないけどでも食べたくないものってありますか 食べるのがめんどくさいとか
(00:07:25) あと俺は 手が汚れる食べ物もあんまり好きじゃないですね
(00:07:31) 箸とかスプーンとかで食べるものはいいんですけど手でそのまま食べるものとかも やっぱり手が汚れたら洗わないといけないから
(00:07:40) あまり好きじゃないんですよとにかくめんどくさいものが好きじゃないんですよ 皆さんもそういうめんどくさいものとかあるでしょうか
(00:07:48) 皆さんのね食べ物についてのいろんな話とかも聞いてみたいので何か面白い話がある 人ぜひメールとかメッセージとか送っていろんな話を聞かせてください
(00:08:00) 時々インスタグラムとかツイッターとかでメッセージを送ったりとか話しかけたりとか してくれる人がいますとても嬉しいです
(00:08:10) できるだけ何かメッセージを送るときには間違っても大丈夫ですから日本語で話しかけてください その方が嬉しいです
(00:08:22) ぜひ皆さんの日本語を聞かせてください読ませてくださいお願いします それじゃあ今日はこの辺で終わりますさようなら
