ep. 145 - 最近の東北(N3)

(00:00:00) みなさんこんにちはトモです
(00:00:06) これは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くない
(00:00:12) でもドラマや映画は難しすぎる
(00:00:14) そんな人のために
(00:00:15) 日本語教師のトモがちょうどいい日本語で話をします
(00:00:19) さて今日もリクエストをもらってます
(00:00:22) 最近ちょっとねあの忙しかったので
(00:00:25) なかなかメールとかメッセージとかの返事ができなかったんですけど
(00:00:29) あのちょっとね返事が遅くなることもありますが
(00:00:33) 必ず返事はしますので
(00:00:35) メッセージとかメールを送ってくれた皆さん
(00:00:38) あの返事が来るまで少しだけ待ってくださいすいません
(00:00:41) 特にね先週はちょっと俺の学校の卒業式があったから
(00:00:46) それですごく忙しかったんですよ
(00:00:49) やっぱりこのポッドキャストは趣味で
(00:00:52) 俺の本当の仕事の方は日本語学校の先生なので
(00:00:56) ちょっとそっちの方がねやることがたくさんあったので
(00:01:00) だからちょっとあのエピソードを作るのも遅くなってしまいましたが
(00:01:05) 一応卒業式も終わって少し時間に余裕ができたので
(00:01:09) これからまたちゃんと作っていきます
(00:01:13) じゃあですね今日のリクエストは
(00:01:16) 日本の東北についてですね
(00:01:20) 今月で2011年の東日本大震災から10年経ったんですけど
(00:01:29) 今っていうか最近の東北の状態はどうですかっていう
(00:01:35) そういう質問ですね
(00:01:37) えーとこれはね結構難しい話にはなってしまうんですけど
(00:01:43) まあ何が難しいかっていうと
(00:01:46) 壊れた建物とかは結構ね
(00:01:49) 元に戻ってるっていうか
(00:01:51) 新しく作り直すことができてるので
(00:01:54) だから見た目だけ言えば
(00:01:57) かなりね復興は進んでるんじゃないかとは思うんですよ
(00:02:02) ただ見た目じゃわからないところっていうのも
(00:02:06) たくさんあるんですよね
(00:02:08) なのでそういうところを考えると
(00:02:11) 完全に復興したかっていうと
(00:02:14) ちょっとわからないっていうのが正直なところですね
(00:02:18) 復興っていうのは
(00:02:20) 1回壊れたりダメになったりしたものが
(00:02:23) もう一度元通り良くなること
(00:02:27) またダメになった町が賑やかになること
(00:02:31) それを復興って言うんですけど
(00:02:34) 特にやっぱり福島県の原発の近くですね
(00:02:41) 原子力発電所の近くのところは
(00:02:45) あの最近ニュースで見たんですけど
(00:02:48) やっぱりねまた住めるようになった場所もあるけど
(00:02:53) でも全然復興は進んでないっていう風に書いてありました
(00:02:58) やっぱりねその一応人は住むことはできるんだけど
(00:03:03) でもやっぱり原発の近くに住むのは怖いとか
(00:03:06) あまりそっちに行きたくないっていう人が多いので
(00:03:10) それで全然復興が進まないっていう話でした
(00:03:13) ただ他の県だと
(00:03:16) 原発の影響があんまりないところもあるんですよね
(00:03:20) あの10年前の地震の時には
(00:03:23) 地震とかあとは津波とかで
(00:03:25) あの何もかもが壊れてしまったっていう
