ep. 146 - 競馬(N3)

(00:00:00) みなさんこんにちは。トモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:22) さて今日はですねー リクエストもらってるんですけど
(00:00:27) あのー 難しいリクエストですね
(00:00:31) 何が難しいかというと俺のね全然知らないことっていうか やったことのないことについてね聞かれたからです
(00:00:42) それは何かというと日本の競馬です 競馬について話してくださいっていう風に
(00:00:50) リクエストをされたんですけど
(00:00:53) 競馬ね難しいね難しいというかその 何を話したらいいかな俺競馬やったことないんですよ
(00:01:01) まあ一応競馬について説明はしておきますね 説明するって言っても俺がやったことないからそんなにね
(00:01:09) たくさん説明できることはないんですけど 競馬っていうのは
(00:01:14) 競馬の競の漢字は競争するっていう時の競の漢字です そして馬は馬です
(00:01:21) つまり競馬って馬のレースなんですよ でその馬のレースなんですけど見るだけじゃなくて
(00:01:29) ギャンブルができるんです 日本って基本的にギャンブルってダメなんですけど
(00:01:35) でも認められているものだったらやってもいいんですよ で競馬っていうのはその日本で認められている
(00:01:43) ギャンブルの中の一つです その馬のレースがあるからどの馬が勝つのかっていうのを予想してそして
(00:01:52) あの馬券って言ってチケットを買って そしてその自分の予想が当たってたらお金がもらえるんですよ
(00:02:00) まあいくらもらえるかっていうのはいくらのチケットを買ったかで変わるんですけど すごく早い強い馬だったらあんまりお金はもちろんもらえないし
(00:02:11) すごく弱い馬が勝ったらもしそれが当たったらお金がたくさんもらえますね 他の国にもなんか似たようなのがあるかもしれませんが
(00:02:22) 日本だとそのレースのギャンブルっていうのは馬とか他にもあとは自転車の 自転車もちろん人が乗るんですよ馬じゃなくて
(00:02:32) 自転車のレースとか船のレースとかそういうレースのギャンブルは結構ね色々あるんですよ ただ
(00:02:40) いろんなギャンブルがあるんですけど俺はギャンブルがね 嫌いなんですよ
(00:02:47) あの 前にも話したことあるかもしれないですけど
(00:02:51) まあ負けたらねお金なくなりますからね だったら
(00:02:55) ねそんなギャンブルなんかしないで普通に貯金してた方がいいかなって思っちゃうので ギャンブルはしないんですよ
(00:03:02) んで だからね競馬もね テレビでこうやってるのをちょっと見たこととかはありますけど
(00:03:10) 自分で好きで見たことは ないんですよ
(00:03:15) だからね俺の知ってることなんて言ったら そうだね
(00:03:21) 馬は お金がかかるとか
(00:03:25) そういうことぐらいしかわかんないかなぁ なんかねあの
(00:03:30) 俺は競馬は全然やんないんですけどでも たまーにねなんかこう有名な馬がニュースになることあるんですよ
(00:03:38) やっぱり競馬俺はやらないというだけでやる人はたくさんいるので競馬をやるっていう のはその競馬を見たりとかあとは
(00:03:47) そのどの馬が勝つかを考えてチケットを買ったりするとかねそのギャンブルをする 人たちなんですけど
(00:03:55) そういう人は結構多いのでなんかねすごく早くて強い馬が なんかレースで優勝したとかあとは
(00:04:04) なんかねそういう有名な馬の子供は すごく高く売れるんですよ
(00:04:11) 馬が1頭1億円以上の高い値段で売れたとかね まあそういうのがあるとちょっとニュースになったりはするので
(00:04:21) そういうのを見たことあるんですけどね だからそういうのを見てると馬ってお金がかかるんだなぁっていうのがわかりますね
(00:04:30) で馬って買う買う時にもねもちろんお金がかかるし その馬を育てる育てるっていうかまぁあの
(00:04:39) 馬を育てるプロに育ててもらうんですけどそれにもお金がかかるんですよね 馬はもちろん大きいから人よりもたくさん食べるしね
(00:04:48) 育てる場所も必要だしなんかね1ヶ月 何十万円ってかかるから
(00:04:55) 馬って持ってるだけで1年間になんか800万とかね900万とか 高い馬だと1000万くらいお金がかかるらしいですね
(00:05:07) ただ馬ってその競馬の馬はレースをして勝つとお金がもらえます 賞金がもらえるんですよ
(00:05:16) だから自分の馬がレースに勝つとお金がもらえるからそのお金を使ってまたね 馬の世話をするっていう感じらしいんですけど
(00:05:27) まあねもちろん俺は馬を買うお金なんかないし そもそもそんなに馬を育てることに興味もなかったのであんまりその辺は詳しくない
(00:05:36) ですけど まあそんな感じですね日本の競馬
(00:05:42) すいませんあの俺も本当に競馬わかんないんです えっとまあ話をまとめると日本には
(00:05:50) 認められたギャンブルの中の一つで 競馬っていうものがあります競馬は馬のレースです
(00:05:58) このこのレースに出る馬を買うのも育てるのもすごくお金がかかる で俺はギャンブルだからやったことがないけど日本では結構
