ep. 148 - 狂言(N4)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともがちょうどいい日本語で話をします。
さて今日はテーマのリクエストをもらっていて、 リクエストは日本の伝統的な
演劇について話してくださいということです。 演劇っていうのはたくさんの人の前で
テレビのドラマみたいなことをする。それが演劇です。 ミュージカルとかねアメリカは有名ですよね。
で、日本はねあんまり昔はミュージカルとかなかったんですが、 でも演劇は昔からありました。
なのでまあその演劇についてね話してくださいっていうことなんですが ちょっとね
実は俺は演劇っていうのを見たことがありません。 なのであの演劇についてね俺が話せることはあまりないんですが
でも伝統的なものの話だと一つ俺が知っているものがあります。 なので今日はそれについて話したいと思います。
俺が知っている伝統的な日本の演劇みたいなものは 表現というものです。
伝統的っていうのは昔からある良いもののことです。 表現というのは日本に昔からある演劇みたいなものです。
で、どうして俺がこの表現について少し知っているのかって言うと
昔、小学校か中学校に行ってる時かな? 学校でその表現の話の一つを見たことがあるからです。
なので今日はその俺が知っている表現の話の一つを紹介したいと思います。 話のストーリーの紹介の前に表現って何かっていうのを少し説明すると
ちょっとねあの ミュージカルに似てるんですが
歌を歌うみたいにその演劇をするんですが 表現では面白い話をします。
見ていると思わず笑ってしまうことも多いので だから俺はあまり伝統的なものは見ないんですけど
この表現についてはよく覚えていました。 じゃあ俺がその子供の時に見た表現の話は何の話かって言うと
話のタイトルはブスというものです。 ブスっていうのは
昔のもので昔の日本語で毒という意味です。 毒っていうのは体にとても悪いもの
食べたら病気になるものとか食べたら死んでしまうものとか それが毒です。
ブスはその毒という意味の言葉です。 じゃあブスがどんな話なのかって言うと
あの まあ面白い話なんですけど
もしね自分でこう調べてみたり 聞いたりしたいという人は今日のポッドキャスト聞かないでくださいね
まあとても古い日本語を使うものだから自分で見るのはねとても難しいと思います けどね
ブスのストーリーは 大きな家の中での話です
ブスにはその大きな家の人とまあつまりお金持ちの人と あとはその家で働いている仕様人
仕様人っていうのは家の中のいろいろな仕事をしてくれる人 その
うちの人と仕様人との話です ある日そのうちのうちの人主人って言うんですけど
主人が砂糖を買うんですよ 砂糖って今はねみんな
あの簡単に買うことができますが昔はなかなか買うことができない とても高いものでした
みんななかなか食べることができないからとても高いし あの食べた時にはとても美味しいって思うすごくいいものだったんです
その砂糖を主人が買って家に置いておくんですけど でも
その主人がちょっと用事があって出かけなければなりませんでした 遠くに出かけるから仕様人の子供に留守番を頼むんですけど
でも仕様人は子供だから 主人はその子供の仕様人が砂糖を全部食べちゃうんじゃないかって心配なんです
それで 主人が出かけるときに仕様人の子供に嘘をつきます
砂糖のことをこれはブスという毒だから 絶対に食べてはいけない
この毒は近くにいるだけでも死んでしまうから絶対に近くに行ってはいけない と嘘をつきます
それで出かけるんですがでもその仕様人の子供は なんかねこう
そのさっき毒って言われたブスがすごく気になるんですよ どんなものか見てみたい
それでブスの近くに行ってブスを見てみたら 毒なんだけどでもなんか美味しそうに見えると思って
それでちょっとねちょっとだけブスを食べてみるんですよ そしたら
毒って言ってたはずなのにすごく美味しい あ、これは毒じゃなくて砂糖だって気づきます
それで砂糖って気づいて昔は砂糖ってなかなか食べられなかったから 美味しくて全部食べちゃうんですよ
主人が食べられないように毒だって嘘までついた すごく大切な砂糖を全部食べてしまって
どうしようってちょっと心配するんですけど でもその仕様人は頭が良くて
怒られない方法を考えます じゃあその怒られない方法ってどんなものかって言うと
びっくりするんですけどね その仕様人は主人が大切にしてたものをたくさん
壊してしまいます
どうしてだと思いますか この仕様人は主人の大切なものをたくさん壊して
そして 主人に嘘をつくんです
留守番している時に主人の大切なものを間違って壊してしまいました それで間違って大切なものを壊したから
自分はとても悪いことをした 自分は悪いことをしたから死ななければならないと思いました
それで死ぬために 毒の物をたくさん食べました
と嘘をつきます そうすると主人は
あの 自分はね
毒だっていうふうに嘘をついたから その仕様人のことを起こることができないんですよ
仕様人は悪いことをしたから謝るために死のうと思った それで毒を食べたと言ってるんです
主人はあれは嘘だったっていうのはちょっと自分からは言えないからそれで 残念だったけどでも起こることができないっていうそういうストーリーです
これがブスっていう話です なんかねこの話はアジアのいろいろな国に似ている話があるそうですね
ですからもしかしたら皆さんの国にもちょっと似ている話があるかもしれません
さあこれが俺の知っている狂言の話です 狂言ができたのは
すごく昔ですね えっと多分1000年ぐらい前かな
そのくらい昔からある日本の伝統的なものです だからすごくいいものだと思うんですが
でも狂言で使う日本語は 1000年前の古い日本語ですから
俺もね実はちょっと狂言を見てもわからない言葉がたくさんあります だから外国人が狂言を見るのはちょっと難しいかもしれませんが
でも 日本語がね上手になったら1回ぐらいは見ると日本の文化がわかるからいいかもしれませんね
はいじゃあ今日は日本の伝統的な文化 狂言についてでした
日本の文化に興味を持ってくれるのはとても嬉しいので 他にも何か日本について聞いてみたいことがある人は
リクエストとかメッセージとかね何か送ってください それじゃあ今日はこの辺で終わりにします
さようなら
