ep. 148 - 狂言(N4)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:12) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともがちょうどいい日本語で話をします。
(00:00:22) さて今日はテーマのリクエストをもらっていて、 リクエストは日本の伝統的な
(00:00:32) 演劇について話してくださいということです。 演劇っていうのはたくさんの人の前で
(00:00:43) テレビのドラマみたいなことをする。それが演劇です。 ミュージカルとかねアメリカは有名ですよね。
(00:00:52) で、日本はねあんまり昔はミュージカルとかなかったんですが、 でも演劇は昔からありました。
(00:01:01) なのでまあその演劇についてね話してくださいっていうことなんですが ちょっとね
(00:01:08) 実は俺は演劇っていうのを見たことがありません。 なのであの演劇についてね俺が話せることはあまりないんですが
(00:01:21) でも伝統的なものの話だと一つ俺が知っているものがあります。 なので今日はそれについて話したいと思います。
(00:01:34) 俺が知っている伝統的な日本の演劇みたいなものは 表現というものです。
(00:01:44) 伝統的っていうのは昔からある良いもののことです。 表現というのは日本に昔からある演劇みたいなものです。
(00:01:58) で、どうして俺がこの表現について少し知っているのかって言うと
(00:02:06) 昔、小学校か中学校に行ってる時かな? 学校でその表現の話の一つを見たことがあるからです。
(00:02:19) なので今日はその俺が知っている表現の話の一つを紹介したいと思います。 話のストーリーの紹介の前に表現って何かっていうのを少し説明すると
(00:02:34) ちょっとねあの ミュージカルに似てるんですが
(00:02:39) 歌を歌うみたいにその演劇をするんですが 表現では面白い話をします。
(00:02:47) 見ていると思わず笑ってしまうことも多いので だから俺はあまり伝統的なものは見ないんですけど
(00:02:56) この表現についてはよく覚えていました。 じゃあ俺がその子供の時に見た表現の話は何の話かって言うと
(00:03:08) 話のタイトルはブスというものです。 ブスっていうのは
(00:03:14) 昔のもので昔の日本語で毒という意味です。 毒っていうのは体にとても悪いもの
(00:03:24) 食べたら病気になるものとか食べたら死んでしまうものとか それが毒です。
(00:03:30) ブスはその毒という意味の言葉です。 じゃあブスがどんな話なのかって言うと
(00:03:39) あの まあ面白い話なんですけど
(00:03:43) もしね自分でこう調べてみたり 聞いたりしたいという人は今日のポッドキャスト聞かないでくださいね
(00:03:51) まあとても古い日本語を使うものだから自分で見るのはねとても難しいと思います けどね
(00:03:59) ブスのストーリーは 大きな家の中での話です
