ep. 149 - 関西(N2)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
さて今日はですね、リクエストまたもらってます。 最近リクエストがちょっと多くてね、あの
ちょっとエピソード作るの遅れちゃってますすいません あの気長に待っていてください
さて今日はですね あのリクエストは関西についてのお話ですね
関西についてなんですが、まあ日本人から見た関西に対してのイメージとか 関西の人の人柄とか、あとは関西弁とかについて話してくださいっていうことでした
まあ俺はね関西に住んでるわけじゃないので、住んでるわけじゃないっていうか関西に あまり行ったこともないので
実はね関西についてそんなに話せることはないんですけど でもまあ
あのせっかくリクエストもらったのでね俺の知ってることは少し話したいと思います まあ前もね実は関西についてリクエストもらったことはあるんですが
あのあまり関西について知らないけどいいですかって言ったら じゃあなんか違うテーマでもいいですって言って変えてもらったことって何回かあったんですよ
まあ今日はねあのやっぱり関西について興味がある人って結構いると思うので いつまでもね断り続けるわけにはいかないから俺の知ってることだけでも話したいと思います
じゃあまずはですね日本人から見た関西のイメージっていうことなので まあ関西のイメージ話したいと思いますがこれは日本人のイメージっていうよりも俺のイメージです
あのー誤解しないようにしてください もしかしたらね同じ日本人でも関西について違うイメージを持ってる人とかもいるかもしれません
あくまでこれは俺のイメージです じゃあ俺は関西についてどう思っているのかっていうと
そうだね関西のイメージは なんだろうあの面白いところですかね
日本の中でも関西って まあ関西だけじゃないですね日本ってこう縦に長いんですけど
細くて長いから一番上と一番下ってすごい距離があるんですよ だから結構距離があるから同じ日本国内でも文化が
全然違ったりするんですよ で関西の文化っていうと
まあいろんなものはあるんですがやっぱりね お笑いの文化
関西って言うとあれかちょっと良くないかな大阪が中心かな多分 大阪のあたりはお笑い
人を笑わせることについてすごいねー あの
プライドがあるじゃないけど あの人を笑わせるっていうことがみんなね好きな人が多いっていうイメージがあります
でこれはね日本でテレビ番組をいろいろ見てると結構わかると思うんですけど
日本のコメディーコメディアンとかですね人を笑わせる仕事をしている人って 関西弁話す人がすごく多いんですよ
最近はねあの東京とか関東とかそっちの方でもあの 結構ねその人を笑わせる仕事芸人っていうんですけど芸人の人は増えてきたと思うん
ですが でもやっぱりね関西出身の芸人ってすごく多いです
関西には芸人を育てる学校みたいなものもあるんですよ どうやって人を笑わせればいいか学ぶ学校みたいなものですね
だからやっぱりそういう学校ができちゃうぐらい あの関西の方っていうのは人を笑わせるっていうことに対して
ねまあプライドじゃないけどそれがすごく 昔から続いている文化の一つだっていうような考え方はあるかもしれないですね
で あの
まあ面白い話なんですけど これね俺は噂噂っていうかね
インターネットで見たりとかしただけなので本当かどうかわかんないし これやったらね本当にやったら関西の人に怒られるかもしれないけど
関西っていうか大阪かなぁ あの
大阪の人に ナイフとかあとは刀とかで
斬りかかる真似をすると 斬られたふりをしてくれるっていうね
ネタがあります あのもちろん本物のナイフとか刀とか持っていってはいけませんよ
何も持ってないけど刀を持ってるふりして 刀で切る音ザッとか言いながら刀で切る動きをすると
大阪の人は斬られたふりをしてくれるっていう そんな話があります
本当かどうかわかんないですけどね 大阪の人にそんな話をすると
あの誰でもそんなことするなんて思うなって怒られるかもしれないですけどね まあ大阪出身の友達とかがいたらやってみてもいいかもしれませんね
まあとにかくねそういう話があるぐらい 大阪ってあの面白い人が多いイメージがあります
あとはまあ関西についてのイメージと言ったらやっぱり あの昔からの伝統的なものが多いっていう感じですよね
お寺とかね 日本は昔はねあの大阪とか京都とか奈良とか
あっちの方が首都だったんですよ 昔の首都って結構ね場所がすぐ変わるんですけど
だから一箇所じゃないんですけど奈良とか京都とかそっちの方に首都があったので だからね日本の昔の重要なものっていうのはそっちの方に集まってます
首都が東京に移ったのは結構ねあの後の方なので だからねその
1000年前とかね1500年前とかそういう昔のものっていうのはあんまり関東の方にはないん ですよ
まあ他にもね関西についてのイメージって言ったらたくさんあるんですが やっぱりねパッと思いつくのはそういうところですね
お笑いとか伝統的なものっていう感じですね もちろん美味しい食べ物とかもたくさんあるんですけどね
まあ美味しい食べ物があるのは関西だけじゃなくって日本のどこに行ってもあるので この辺の話はちょっと
省略しておきます なんか関西にしか美味しい食べ物がないみたいな話をすると他の地方の人に怒られ
そうなので でえっとまあこのお笑いのイメージとかとちょっとつながるんですけど
関西の人の人柄関西にはどんな人が多いかっていうとやっぱりこれもね俺のイメージは っていう話になっちゃうんだけど
あのお笑いが好きな人が多いからよく話す人とかが多いんじゃないかなっていう イメージがあります
まあ人に関して言うとねちょっと もう性格なんか人によるから大阪とか
関西出身の人でも静かな人とかもたくさんいますけどね でも俺のね高校の時の友達に兵庫県っていう
まあ大阪とか京都の近くの関西出身の友達がいたんですけど その人はねまあよく話す人でしたよ
話も面白かったしやっぱりなんかこう 自分と育ってきた文化が違うのかなーっていうような
そんな感じはありました
で えっとねまあ人の話になったので今度は人の話す言葉について言うと
言葉はねやっぱり関西弁っていうのはみんな あの日本語勉強している人も知っている人が多いと思うんですが
あの教科書で勉強する普通の標準語って言われる日本語と関西弁は結構違いますね
結構 外国人が聞いたら全然違うかもしれませんね
あの日本はねさっきも言ったけど地方と地方の距離が遠いからその縦に長いからね だから文化も全然違うし言葉も全然違うんですよ
だから例えば俺が日本の一番北にある県の青森っていう人の 青森というところにいる人の話を聞いたらわかんないこともたくさんあるし
日本の一番南にある県といえば沖縄ですが 沖縄の人のね言葉もわかんないことっていうのが結構たくさんあると思います
それで関西の人の関西弁っていうのもやっぱり言葉も文法も結構違うのが多いんですよ あの発音とかね
アクセントとかももちろん違いますが 例えばね俺が面白いなーって思うものの一つに
敬語があります 関西だけの敬語
これね大阪の人も京都の人もあの結構使うと思うんですけど 春敬語っていうのがあります
これね何かと言うとね みんな敬語はもうわかると思いますが丁寧な言葉ですね
教科書で勉強する敬語っていうと例えば 何してるんですかっていう時に何をしていらっしゃるんですかっていうふうに
丁寧な言葉使いますね でこれが関西の方のその大阪とかね京都の方だと
いらっしゃるんですかよりも少しねあんまり丁寧じゃないんだけどでも普通に話すよりは ちょっと丁寧な敬語があります
それが 春っていう言葉を使うもので何してるんですかっていう時に何して春んですか
っていう風に形が変わります これはもう完全にね関西の方だけの言葉ですね
東京とかでは全然使わない言葉です で他にも例えば何食べますかっていう時に何食べ張りますかとかね
そういうふうに春っていう言葉を他の動詞とかと一緒に使うと ちょっと丁寧な敬語になります
これがね春敬語っていうやつですね こういう関西弁とかがあるのでまぁ関西の文化ってすごい面白いなぁと思います
はいってことで今日は関西についてのお話でした まあやっぱり俺も関西はね旅行でちょっとだけ行ったことがあるぐらいなので
あまり詳しくはないんですが結構テレビとかでもあの 関西の話は見ますし関西出身の人もテレビにたくさん出てるから
そんなにねこう 外国みたいに遠いところ全然違うっていうようなイメージはありません
ただまあ何度も言いますが日本は縦に長くて細長くていろんな文化があるから 関西だけに限らず他の地方のね
文化とかイメージってあの人によって結構違うと思うので そういうのがね日本の面白いところかなぁと思います
はいじゃあ今日は関西についてでしたが
何かね他にもこう日本について聞いてみたいこととかあったらぜひ皆さんも メッセージを送ってください皆さんからのメッセージ待ってます
じゃあ今日はこの辺で終わりにしたいと思いますさようなら
