ep. 149 - 関西(N2)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
(00:00:19) さて今日はですね、リクエストまたもらってます。 最近リクエストがちょっと多くてね、あの
(00:00:26) ちょっとエピソード作るの遅れちゃってますすいません あの気長に待っていてください
(00:00:32) さて今日はですね あのリクエストは関西についてのお話ですね
(00:00:41) 関西についてなんですが、まあ日本人から見た関西に対してのイメージとか 関西の人の人柄とか、あとは関西弁とかについて話してくださいっていうことでした
(00:00:55) まあ俺はね関西に住んでるわけじゃないので、住んでるわけじゃないっていうか関西に あまり行ったこともないので
(00:01:03) 実はね関西についてそんなに話せることはないんですけど でもまあ
(00:01:09) あのせっかくリクエストもらったのでね俺の知ってることは少し話したいと思います まあ前もね実は関西についてリクエストもらったことはあるんですが
(00:01:18) あのあまり関西について知らないけどいいですかって言ったら じゃあなんか違うテーマでもいいですって言って変えてもらったことって何回かあったんですよ
(00:01:29) まあ今日はねあのやっぱり関西について興味がある人って結構いると思うので いつまでもね断り続けるわけにはいかないから俺の知ってることだけでも話したいと思います
(00:01:42) じゃあまずはですね日本人から見た関西のイメージっていうことなので まあ関西のイメージ話したいと思いますがこれは日本人のイメージっていうよりも俺のイメージです
(00:01:56) あのー誤解しないようにしてください もしかしたらね同じ日本人でも関西について違うイメージを持ってる人とかもいるかもしれません
(00:02:05) あくまでこれは俺のイメージです じゃあ俺は関西についてどう思っているのかっていうと
(00:02:12) そうだね関西のイメージは なんだろうあの面白いところですかね
(00:02:19) 日本の中でも関西って まあ関西だけじゃないですね日本ってこう縦に長いんですけど
(00:02:26) 細くて長いから一番上と一番下ってすごい距離があるんですよ だから結構距離があるから同じ日本国内でも文化が
(00:02:39) 全然違ったりするんですよ で関西の文化っていうと
(00:02:45) まあいろんなものはあるんですがやっぱりね お笑いの文化
(00:02:51) 関西って言うとあれかちょっと良くないかな大阪が中心かな多分 大阪のあたりはお笑い
(00:02:59) 人を笑わせることについてすごいねー あの
(00:03:04) プライドがあるじゃないけど あの人を笑わせるっていうことがみんなね好きな人が多いっていうイメージがあります
(00:03:13) でこれはね日本でテレビ番組をいろいろ見てると結構わかると思うんですけど
(00:03:20) 日本のコメディーコメディアンとかですね人を笑わせる仕事をしている人って 関西弁話す人がすごく多いんですよ
(00:03:29) 最近はねあの東京とか関東とかそっちの方でもあの 結構ねその人を笑わせる仕事芸人っていうんですけど芸人の人は増えてきたと思うん
(00:03:40) ですが でもやっぱりね関西出身の芸人ってすごく多いです
(00:03:45) 関西には芸人を育てる学校みたいなものもあるんですよ どうやって人を笑わせればいいか学ぶ学校みたいなものですね
(00:03:55) だからやっぱりそういう学校ができちゃうぐらい あの関西の方っていうのは人を笑わせるっていうことに対して
(00:04:03) ねまあプライドじゃないけどそれがすごく 昔から続いている文化の一つだっていうような考え方はあるかもしれないですね
(00:04:13) で あの
(00:04:15) まあ面白い話なんですけど これね俺は噂噂っていうかね
(00:04:21) インターネットで見たりとかしただけなので本当かどうかわかんないし これやったらね本当にやったら関西の人に怒られるかもしれないけど
(00:04:31) 関西っていうか大阪かなぁ あの
(00:04:35) 大阪の人に ナイフとかあとは刀とかで
