ep. 150 - ことわざ(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日はですねリクエストもらってて ことわざについてですね
あのメールをもらったんですけどもメールでは 石橋を叩いて渡るってどんな意味ですかっていう質問だったんですね
でまぁあの もちろんそれの意味も知りたいんだけど他にも何か有名なことわざとかがあったらそれも
教えてくださいということなので今日は日本のことわざの紹介したいと思います ただねことわざといってももちろんすごくたくさんあるので
日本で生活してたらまあ1回は聞くんじゃないかなっていうような そういう有名なものをねいくつか紹介したいと思います
じゃあまずは最初は石橋を叩いて渡るその質問があったことわざですね 石橋っていうのは石で作った橋のことです
でそれを叩いて渡る どうして石の橋を叩いて渡るのかこれね意味はとても慎重
何をするときもすごく気をつけてやるっていう意味なんですけど じゃあどうしてそんな意味なのかというと
昔の話ですねこれは昔作った橋っていうのはまあだいたい 木とかねそういうので作ってたと思うんですがそれと比べたら
石で作った橋っていうのはすごく丈夫ですよね なかなか壊れないだから木で作った橋よりも石で作った方が丈夫だから絶対
壊れないから安心して渡ることができるはずなんですけど でもそれでもやっぱりねまだ壊れるかもしれないと思ってちょっと叩いて
それで壊れないかちゃんと丈夫にできてるかってのを確認してそれから渡るっていう 意味なんですだから
もともと丈夫な石の橋を叩いて渡るぐらいとても慎重 とてもいろんなことに小さなことでも気をつけてやるっていうそういうのを
石橋を叩いて渡るって言います こんな風にねことわざっていうのは昔の人が作った言葉で何かをね表すものなんですが
じゃあ他にね有名なことわざよく聞くのはどんなのがあるのか ちょっとねことわざっていうのでインターネットで調べてみたら有名なものがたくさん出て
きたのでそれをいくつか紹介しますね じゃあねランキングっていうのがあってそれの1位だったものがあるんですけど
それはね100分は一見にしかずって言うことわざです 100分は一見にしかず
なんか難しいですねでもこれね意味は結構簡単で100分の100は数字の100です 分は新聞の分
聞きますっていう感じですね聞く話を聞く 一見っていうのは1です数字の1
件は見るっていう感じですね見学とかの件です だから100回聞くよりも1回見たほうがよくわかるっていう意味です
まあ確かにそうですよね人の話を聞くだけじゃなくって あの何十回聞いても何百回聞いても見ないとわかんないことってありますからね
なのであの 聞くよりも見た方がいいっていうのが100分は一見にしかずの意味です
さあ他にもえっとねー 別のことわざ
2頭を追うものは1頭も得ず これもねよく見ますね
2頭っていうのは2匹のうさぎです そして1頭っていうのは1匹のうさぎこれも昔の話なんですが
まあ昔はねいろんな動物を山でとって食べてたんですが 2匹のうさぎを一緒にね取ろうとすると難しいですよね
動物を捕まえるなんて1匹でも難しいですから それなのに目の前にうさぎが2匹いたからよしじゃあその2匹一緒に捕まえてやろうと思って
それで2匹一緒にやろうとすると難しすぎて結局どっちも逃げられて1匹も取れない それが2頭を追うものは1頭も得ずですね
得ずっていうのは得るあの手に入れるとか自分のものにするっていう意味が得るっていう 言葉ですが
ずはないっていう意味ですからうさぎを1匹も取ることができないということです
えーとこれはね例えば俺の職場だとね留学生がたくさんいますが 日本に来て勉強はしたいでもアルバイトもしたい
だからどっちもやりたいっていうと あの
アルバイトですごいこう疲れて勉強は授業中に寝ちゃったりしてあんまりできない 疲れてアルバイトでも失敗して仕事が
クビになったとかねそういうふうにどっちもやろうとしてどっちもできなくなっちゃう っていうのがこのことわざです
えっとじゃあその次いきますねさあ次はこれもねよく聞く言葉ですが3日坊主 3日坊主です
3日坊主っていうのはどんなことをやっても 長く続けることができなくてすぐやめてしまうという意味の言葉なんですが
3日はまあわかりますよね あの1日2日3日の3日です
で坊主っていうのはお寺の人お寺で働く人のことなんですが じゃあどうしてすぐ辞めることを3日坊主っていうのかというと
お寺の仕事っていうのはすごく大変なんですよ 食事もなんかねあまりいいもの食べられないし仕事も大変だし朝早く起きなきゃ
いけないしやることたくさんあるし それでお寺に入ってそのお寺の人坊主っていうんですけどね
その坊主になろうと思ったけどでも大変すぎて3日で辞めてしまったっていうのが この言葉の元になった話です
だから あの例えばねダイエットこれから頑張るって言ってでも運動するのも大変だし
あまり物も食べらなくてだから3日で辞めちゃったとかそういうのを3日坊主と言います
まあこういうのはねどこの国の人でも経験あるんじゃないですかね じゃあ最後もう一つだけいきます
次は塵も積もれば山となるです 塵も積もれば山となる
これはね意味はどんなに小さなことでもたくさん集まればすごいものになるっていう 意味です
まあものだけじゃなくてね何でもいいんですけどね あの例えば日本語の勉強だったら漢字を1日1個覚えていったら
まあ1日1個毎日って結構難しいですけどね でも1日1個覚えたら1年で365個ですよね
10年漢字を1日1個覚えたら3600とかになりますから普通の日本人よりもね かける感じ多くなりますよね
こういうふうに1日1個1個だけだったらすごく少ない簡単だけどでもそれがたくさん 集まれば大きいものになる
それが塵も積もれば山となるです 塵っていうのはすっごく小さいゴミのことです
とっても小さいゴミただそれが積もる雪が積もるみたいにね たくさん集まると大きい山になるっていうのがこのことわざの意味です
あともう1個さっき最後って言ったけどもう一つ あの紹介しておきます今の季節にちょうどいいので
花より団子っていう言葉があります 花より団子っていうのは花はお花見とかのね桜の花ですね
で日本ではお花見する時に桜を見ながらいろんなものを食べたり飲んだりするんですが お花見に行った時に花を見るんじゃなくて美味しい団子を食べる
そういう人のことを花より団子って言うんです つまり見て綺麗なものよりも役に立つものの方が好きっていうのが花より団子
の言葉の意味ですね
はいじゃあこんな風にねことわざってたくさんありますが結構ね やっぱりあの有名なものっていうのは
あのことわざを知らなくても言われてみたら自分もそういうことあるなっていうのが たくさんあると思います
なのでねその自分の経験と一緒に考えながら覚えると結構ね忘れないでずっと覚えてられるん じゃないかなと思います
あともちろんよくある話だと例えばその三日坊主とかねああいうのは 日本人もね結構日常生活の中でよく使う言葉なので覚えておくと会話が楽しく
