ep. 150 - ことわざ(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:19) さて今日はですねリクエストもらってて ことわざについてですね
(00:00:25) あのメールをもらったんですけどもメールでは 石橋を叩いて渡るってどんな意味ですかっていう質問だったんですね
(00:00:35) でまぁあの もちろんそれの意味も知りたいんだけど他にも何か有名なことわざとかがあったらそれも
(00:00:43) 教えてくださいということなので今日は日本のことわざの紹介したいと思います ただねことわざといってももちろんすごくたくさんあるので
(00:00:55) 日本で生活してたらまあ1回は聞くんじゃないかなっていうような そういう有名なものをねいくつか紹介したいと思います
(00:01:04) じゃあまずは最初は石橋を叩いて渡るその質問があったことわざですね 石橋っていうのは石で作った橋のことです
(00:01:15) でそれを叩いて渡る どうして石の橋を叩いて渡るのかこれね意味はとても慎重
(00:01:23) 何をするときもすごく気をつけてやるっていう意味なんですけど じゃあどうしてそんな意味なのかというと
(00:01:31) 昔の話ですねこれは昔作った橋っていうのはまあだいたい 木とかねそういうので作ってたと思うんですがそれと比べたら
(00:01:43) 石で作った橋っていうのはすごく丈夫ですよね なかなか壊れないだから木で作った橋よりも石で作った方が丈夫だから絶対
(00:01:54) 壊れないから安心して渡ることができるはずなんですけど でもそれでもやっぱりねまだ壊れるかもしれないと思ってちょっと叩いて
(00:02:05) それで壊れないかちゃんと丈夫にできてるかってのを確認してそれから渡るっていう 意味なんですだから
(00:02:13) もともと丈夫な石の橋を叩いて渡るぐらいとても慎重 とてもいろんなことに小さなことでも気をつけてやるっていうそういうのを
(00:02:24) 石橋を叩いて渡るって言います こんな風にねことわざっていうのは昔の人が作った言葉で何かをね表すものなんですが
(00:02:35) じゃあ他にね有名なことわざよく聞くのはどんなのがあるのか ちょっとねことわざっていうのでインターネットで調べてみたら有名なものがたくさん出て
(00:02:45) きたのでそれをいくつか紹介しますね じゃあねランキングっていうのがあってそれの1位だったものがあるんですけど
(00:02:53) それはね100分は一見にしかずって言うことわざです 100分は一見にしかず
(00:03:02) なんか難しいですねでもこれね意味は結構簡単で100分の100は数字の100です 分は新聞の分
(00:03:12) 聞きますっていう感じですね聞く話を聞く 一見っていうのは1です数字の1
(00:03:20) 件は見るっていう感じですね見学とかの件です だから100回聞くよりも1回見たほうがよくわかるっていう意味です
(00:03:33) まあ確かにそうですよね人の話を聞くだけじゃなくって あの何十回聞いても何百回聞いても見ないとわかんないことってありますからね
(00:03:42) なのであの 聞くよりも見た方がいいっていうのが100分は一見にしかずの意味です
(00:03:50) さあ他にもえっとねー 別のことわざ
(00:03:54) 2頭を追うものは1頭も得ず これもねよく見ますね
(00:04:02) 2頭っていうのは2匹のうさぎです そして1頭っていうのは1匹のうさぎこれも昔の話なんですが
(00:04:12) まあ昔はねいろんな動物を山でとって食べてたんですが 2匹のうさぎを一緒にね取ろうとすると難しいですよね
(00:04:24) 動物を捕まえるなんて1匹でも難しいですから それなのに目の前にうさぎが2匹いたからよしじゃあその2匹一緒に捕まえてやろうと思って
(00:04:34) それで2匹一緒にやろうとすると難しすぎて結局どっちも逃げられて1匹も取れない それが2頭を追うものは1頭も得ずですね
(00:04:45) 得ずっていうのは得るあの手に入れるとか自分のものにするっていう意味が得るっていう 言葉ですが
(00:04:52) ずはないっていう意味ですからうさぎを1匹も取ることができないということです
(00:04:59) えーとこれはね例えば俺の職場だとね留学生がたくさんいますが 日本に来て勉強はしたいでもアルバイトもしたい
(00:05:10) だからどっちもやりたいっていうと あの
(00:05:15) アルバイトですごいこう疲れて勉強は授業中に寝ちゃったりしてあんまりできない 疲れてアルバイトでも失敗して仕事が
(00:05:25) クビになったとかねそういうふうにどっちもやろうとしてどっちもできなくなっちゃう っていうのがこのことわざです
(00:05:34) えっとじゃあその次いきますねさあ次はこれもねよく聞く言葉ですが3日坊主 3日坊主です
(00:05:43) 3日坊主っていうのはどんなことをやっても 長く続けることができなくてすぐやめてしまうという意味の言葉なんですが
(00:05:51) 3日はまあわかりますよね あの1日2日3日の3日です
(00:05:57) で坊主っていうのはお寺の人お寺で働く人のことなんですが じゃあどうしてすぐ辞めることを3日坊主っていうのかというと
(00:06:07) お寺の仕事っていうのはすごく大変なんですよ 食事もなんかねあまりいいもの食べられないし仕事も大変だし朝早く起きなきゃ
(00:06:16) いけないしやることたくさんあるし それでお寺に入ってそのお寺の人坊主っていうんですけどね
(00:06:22) その坊主になろうと思ったけどでも大変すぎて3日で辞めてしまったっていうのが この言葉の元になった話です
