ep. 152 - フィギュアスケート(N4)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日はリクエストをもらってるんですが フィギュアスケートについて話してくださいっていうことなので
ちょっとねフィギュアスケートについて何かね俺の知ってることを 話そうかなと思いますが
えーとあまりね俺フィギュアスケートって見ないんですよ実は すいませんねせっかくリクエストもらったのに
まああの 日本の中でね有名なフィギュアスケートの選手とかいますのでまぁちょっとその人に
ついてとかね何か俺の知ってることとか 話したいなと思います
じゃあまずはフィギュアスケートって何なのかっていう説明からしておきたいと思います フィギュアスケートはスケートですね
氷の上を滑るスポーツです で氷の上を滑るんですがあのレースをするわけじゃありませんね
たくさんの人が一緒に滑ってそして誰が速いかを決める スポーツじゃなくて広いスケートリンク
リンクっていうのはスケートをする場所ですね そのスケートリンクの上で基本的に一人とか
あとはまあ二人で一緒に滑ることもありますが そこでダンスみたいにこう綺麗に上手に滑ってそしてそれに点数をつけて誰が一番
良かったかっていうのを決めるそれがフィギュアスケートですね 結構ね日本で人気があるというかやってる人は少ないと思うんですけど
でも見る人は多いスポーツだと思います テレビでもよくやってますからね
日本は冬結構寒いので雪もたくさん降る場所があるし その寒いからスケートリンクを作ることができる場所も結構あるので
それで冬のスポーツは みんな
結構ね日本人は見るんじゃないかなと思います でもどうして俺が
俺はこのスポーツに興味がないかっていうと興味がないというかまぁそんなにね あまり見ないのかっていうと
自分ができないからです やっぱり自分ができるスポーツとか普段自分がするスポーツは見ていてすごく面白いんですよね
だから俺は例えばボクシングとかはねすごい好きでよく見ます あとは昔高校生の時に陸上部だったから陸上も結構見ていて面白いと思います
やっぱり自分が昔やってたからそのスポーツのルールとかね あとはそのスポーツの難しいところとかいいところとか
そういうのを全部経験しているから見ていてすごく面白いなと思うんですが スケートは
まず俺自分では 全然できないっていうわけではないんですけど
あの なんていうんですかただ滑るだけ
歩くよりちょっと早いくらいのスピードでまっすぐ滑るだけならできるんですがでも ジャンプして回ったりも全然できないし
あの 止まることもねあまりできないです上手に止まれないんですよ
だから危ないですね滑ってるとうまく止まれないから誰かにぶつかったりとかするかもしれないし なのでね自分ができないスポーツってその
楽しさがそんなにわからないから あんまり見ないんですよ
ただねやっぱりその日本は寒いから冬のスポーツっていうのが 結構ね見る人もやる人も
暑い国の人と比べたら多いと思うのでそれで あのフィギュアスケートは大きな大会があったらいつもテレビで見ることもできるし
その有名な選手のファンっていうのも結構いると思います それじゃあ日本の有名なフィギュアスケートの選手って誰がいるのかっていうと
まあ俺もそんなに知らないんですけどね まずはやっぱり現役現役っていうのは今もそのスポーツをしている人
現役の人だと ハニューゆずるっていう人が
有名かなと思います ハニューゆずる選手ですねこの人は
まだ結構若いと思うんですけど20 何歳だろう256歳ぐらいかな
すごく若い人なんですけどでもすごくスケートが上手で 世界のいろいろな大会ですごいいい順位を取っているので
日本だけじゃなくて多分世界中で有名な人だと思います この人が
まあ有名だからねあのスケートの大会に出る時とか あの
そういう時はもちろんニュースになるんですが次のいつの大会でハニューゆずる選手が 出場しますよとかね
でもそれだけじゃなくて この人が怪我をしたとか
あの次の大会に出るじゃなくて怪我で出ないとかそういうことも結構ね スポーツのニュースになったりするので
日本の人はねこの人についてよく知っていますね ハニュー選手この人は男の人なんですが
女の人でももちろん有名な人はたくさんいます 俺の知ってる女の人のその有名なフィギュアスケートの選手って言うと
この人はね現役じゃないんですけどもう引退っていうか あのオリンピックとかねそういう大きい大会には全然出ていないんですが
でもあのまだスケートの活動を続けている人で 浅田真央っていう女の選手がいます
この人はね あのやっぱり現役の時そのいろいろな大会に出ているときはオリンピックとか世界
選手権とかね そういう時にもすごいあの上手で金メダル取ったりとかね
あのしててすごく有名だったんですが この人はね結構ね俺はハニュー譲る選手よりもテレビに出たりとかしてること
多かったんじゃないかなと思うんですけど なんでこんなに有名なのかっていうとスケートが上手なだけじゃなくて
その まあ例えば世界選手権で金メダルを取ったんですけどそれまでにすごく頑張ってるとか
そのスケート以外の以外じゃないなぁ えっと大会以外の部分ですね
大会以外の部分でも その
一生懸命何かを頑張るとかそういう あの人として
魅力的なところがたくさんあるということで いろんなテレビとかで紹介されてそれで
あのこの人のファンが日本にはたくさんいるんじゃないかなと思っています この人は今現役ではないのでまあ大きい大会には出てないんですけど
でもあの自分でね なんていうんですか会社じゃないけど
このフィギュアスケートのチームみたいなのを作ってそれでスケートのショーをしたり していますね
なので 大会には出てないけどそういうショーでまあ綺麗なそのフィギュアスケートを
見たいって言ってずっとファンを続けて見に行ってる人とかもたくさんいますね ってことであの日本で有名なフィギュアスケートの選手とりあえず2人紹介してみ
ました 羽生ゆずる選手とあとは浅田真央選手ですね
まあ浅田選手はもう引退しちゃいましたけど こういうふうにあのフィギュアスケートみたいに
冬のスポーツって日本では結構人気があるんですよ 他にもスキーとかですね
やっぱり暑い国だと雪とか降らないから冬のスポーツが全然ないところもあると思うん ですが
日本は夏は暑いし冬は寒いので結構ねどんなスポーツでもできる国かなと思います だから
あのオリンピックだけじゃないですけどいろいろなね スポーツの大会があったら世界の大会があったら日本人が出ていることも結構多いと思う
ので皆さんも 日本人が出てたらぜひ応援してください
さてそれじゃあ今日はあまりにフィギュアスケートの話は その俺がね自分で
あのできないからあまり見ないっていうので大して話ができませんでしたが 俺に懲りずあの
何かね俺が知ってることで話せることがあったら話してくださいってリクエストは 皆さんから送ってもらえると嬉しいです
俺が何かこう知ってることだったらもうちょっといろいろ詳しく話したいと思います ので皆さんからのメッセージ待ってます
それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
