ep. 152 - フィギュアスケート(N4)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:21) さて今日はリクエストをもらってるんですが フィギュアスケートについて話してくださいっていうことなので
(00:00:30) ちょっとねフィギュアスケートについて何かね俺の知ってることを 話そうかなと思いますが
(00:00:39) えーとあまりね俺フィギュアスケートって見ないんですよ実は すいませんねせっかくリクエストもらったのに
(00:00:47) まああの 日本の中でね有名なフィギュアスケートの選手とかいますのでまぁちょっとその人に
(00:00:55) ついてとかね何か俺の知ってることとか 話したいなと思います
(00:01:01) じゃあまずはフィギュアスケートって何なのかっていう説明からしておきたいと思います フィギュアスケートはスケートですね
(00:01:10) 氷の上を滑るスポーツです で氷の上を滑るんですがあのレースをするわけじゃありませんね
(00:01:20) たくさんの人が一緒に滑ってそして誰が速いかを決める スポーツじゃなくて広いスケートリンク
(00:01:29) リンクっていうのはスケートをする場所ですね そのスケートリンクの上で基本的に一人とか
(00:01:36) あとはまあ二人で一緒に滑ることもありますが そこでダンスみたいにこう綺麗に上手に滑ってそしてそれに点数をつけて誰が一番
(00:01:48) 良かったかっていうのを決めるそれがフィギュアスケートですね 結構ね日本で人気があるというかやってる人は少ないと思うんですけど
(00:02:01) でも見る人は多いスポーツだと思います テレビでもよくやってますからね
(00:02:08) 日本は冬結構寒いので雪もたくさん降る場所があるし その寒いからスケートリンクを作ることができる場所も結構あるので
(00:02:21) それで冬のスポーツは みんな
(00:02:25) 結構ね日本人は見るんじゃないかなと思います でもどうして俺が
(00:02:32) 俺はこのスポーツに興味がないかっていうと興味がないというかまぁそんなにね あまり見ないのかっていうと
(00:02:40) 自分ができないからです やっぱり自分ができるスポーツとか普段自分がするスポーツは見ていてすごく面白いんですよね
(00:02:53) だから俺は例えばボクシングとかはねすごい好きでよく見ます あとは昔高校生の時に陸上部だったから陸上も結構見ていて面白いと思います
(00:03:08) やっぱり自分が昔やってたからそのスポーツのルールとかね あとはそのスポーツの難しいところとかいいところとか
(00:03:19) そういうのを全部経験しているから見ていてすごく面白いなと思うんですが スケートは
(00:03:26) まず俺自分では 全然できないっていうわけではないんですけど
(00:03:33) あの なんていうんですかただ滑るだけ
(00:03:38) 歩くよりちょっと早いくらいのスピードでまっすぐ滑るだけならできるんですがでも ジャンプして回ったりも全然できないし
(00:03:50) あの 止まることもねあまりできないです上手に止まれないんですよ
(00:03:56) だから危ないですね滑ってるとうまく止まれないから誰かにぶつかったりとかするかもしれないし なのでね自分ができないスポーツってその
(00:04:08) 楽しさがそんなにわからないから あんまり見ないんですよ
(00:04:15) ただねやっぱりその日本は寒いから冬のスポーツっていうのが 結構ね見る人もやる人も
(00:04:24) 暑い国の人と比べたら多いと思うのでそれで あのフィギュアスケートは大きな大会があったらいつもテレビで見ることもできるし
(00:04:36) その有名な選手のファンっていうのも結構いると思います それじゃあ日本の有名なフィギュアスケートの選手って誰がいるのかっていうと
(00:04:48) まあ俺もそんなに知らないんですけどね まずはやっぱり現役現役っていうのは今もそのスポーツをしている人
(00:04:58) 現役の人だと ハニューゆずるっていう人が
(00:05:03) 有名かなと思います ハニューゆずる選手ですねこの人は
(00:05:09) まだ結構若いと思うんですけど20 何歳だろう256歳ぐらいかな
(00:05:16) すごく若い人なんですけどでもすごくスケートが上手で 世界のいろいろな大会ですごいいい順位を取っているので
(00:05:27) 日本だけじゃなくて多分世界中で有名な人だと思います この人が
(00:05:34) まあ有名だからねあのスケートの大会に出る時とか あの
(00:05:41) そういう時はもちろんニュースになるんですが次のいつの大会でハニューゆずる選手が 出場しますよとかね
(00:05:51) でもそれだけじゃなくて この人が怪我をしたとか
