ep. 153 - 告白(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:22) 今日は 恋愛についてリクエストをもらっています
(00:00:29) えっとねー 恋愛の告白の仕方ですね
(00:00:35) ちょっとねメール紹介しますね えっとインドネシアの方からのメールです
(00:00:44) トモさんこんにちはインドネシア人のラニーです トモさんのポッドキャストに最近ハマってるし聞き取る力と単語上達にすごく役に
(00:00:52) 立ちます ありがとうございます
(00:00:55) 次リクエストですが日本では直接恋愛の感情を伝えると聞いたことがあり アニメでもよく見ますが仕方があまりわかりません
(00:01:05) 良ければ告白と告白の返事の仕方についてのお話をしていただけませんか とのことです
(00:01:13) ありがとうございますリクエスト えっとねこの告白の仕方については前も少し
(00:01:22) 何かのエピソードで確か話したことがあったと思いますが これは国によって違うんですよね
(00:01:31) だから面白いなという話をちょっとしたと思います まあもう一度
(00:01:37) その日本の恋愛について 説明したいと思います
(00:01:42) 日本では 好きな人がいたら
(00:01:46) どうするかというと はっきりと私はあなたが好きです
(00:01:53) 私の恋人になってくださいという話をします そしてその話がなかったら普通は恋人にはなりません
(00:02:04) だから 好きな人がいてその人とその人と2人でどこかに遊びに行ったりとか
(00:02:14) デートみたいなことをしても はっきり私の恋人になってくださいという話をしなかったら
(00:02:22) それは恋人じゃなくてずっと仲のいい友達です だからちょっと結婚のプロポーズに似てますよね
(00:02:35) 私と結婚してくださいというみたいに 私の恋人になってくださいという話をします
(00:02:43) 誰かにその好きですと言って 恋人になる
(00:02:48) 彼氏と彼女になる そのことを付き合うと言います
(00:02:54) 私はあの人と付き合っていますとかですね で
(00:03:00) リクエストにあった告白の仕方ですが まあだいたい
(00:03:07) その付き合うっていう言葉を使って 付き合ってくださいっていう風に言うことが多いんじゃないかなと思います
(00:03:17) どうだろうこれ 若い人と若いっていうかまぁ中学生とか高校生とか
(00:03:24) そういう人たちはね最近の あの学生たちはどうなのかわかんないですけどね
(00:03:30) 俺の時は 俺が中学生高校生の時はそうでしたね
(00:03:38) まあ大人になってからもそうですけどね あのやっぱりちゃんと付き合ってくださいっていうことを言わないと
(00:03:48) あの 自分の相手も私たちは友達なのかそれとも恋人なのか
(00:03:55) どっちなんだろうというのがわかりません でこの
(00:04:00) 告白する付き合ってください私はあなたが好きですっていう話をするのは どこでどうやってするかっていうと
(00:04:11) 中学生これは俺の経験ですけどね 俺が中学生の時は
(00:04:19) 学校の中の あまり人がいないところ人が全然通らない教室とかね
(00:04:28) そういうところにちょっと自分の好きな人を呼んで まあ今日学校が終わったらここに来てくださいっていうことを伝えて
(00:04:38) そしてそこで 実は俺は君が好きなんだ付き合ってみたいな話をしてましたね
(00:04:47) みんな 学校の中とかあとはあの学校の外とかでもいいですけどね
(00:04:54) あと まあ子供の時って
(00:04:58) なんでかわかんないけどあんまりね あの日本ではデートとかはそんなに付き合う前はしないんですよ
(00:05:08) 告白して あの付き合ってくださいって言っていいよって言われて恋人になってからデートをすることが多い
(00:05:15) んですがただ それがねだんだん大人になってくると
(00:05:21) あの最初にデートをしてそしてそのデートの時に 付き合ってくださいっていう話をすることも多くなってくるかなと思います
(00:05:32) やっぱりね高校生ぐらいだと俺の周りとかみんなそうでしたね 好きな人をちょっとデートに誘って一緒に遊びに行かないって言って
(00:05:42) 2人で遊びに行ったりしてそして何回かデートをしたら あのデートしてる時とか
(00:05:52) 俺は君が好きだから付き合ってっていう話をするそんな感じですね 子供の時はね子供の時というかその中学生とか高校生の時は
(00:06:03) デートをしなくても 結構一緒にいる時間が長いから
(00:06:10) だからお互いどんな人なのかっていうのが結構よくわかるんだと思うんですよ 例えば日本の俺の中学とか高校とかだと
(00:06:23) あの部活があったので 部活ってその学校が終わった後にやるクラブみたいなスポーツとかね
(00:06:33) それがあったから 学校で同じクラスの人だったら朝から
(00:06:39) あの夕方じゃないけど昼過ぎまでずっと同じ教室で勉強して 時々その授業の中で一緒にグループで何か
(00:06:51) 一緒に勉強することもあるしそれが終わってから 部活ももし一緒だったら一緒にスポーツの練習とかをしてそして
(00:07:01) あの終わったら一緒に片付けたりとかあとは うちが近かったら一緒に帰ったりとか
(00:07:09) っていうことがあるからあまりデートをしなくても あのその人がどんな人か
(00:07:17) どういうことを考えているかっていうのがわかるからそれでねあの デートしないでいきなり告白っていうことが多いのかなと思います
(00:07:29) そしてこれが大人になってくると大学生とか あとは社会人とかそうなると
(00:07:38) 中学生とか高校生の時みたいに朝から夕方までずっと一緒にいるということがない から
(00:07:46) だから 告白する前にまずはデートに誘って2人で遊びに行ったりして
(00:07:53) そしてお互いどんな人かよくわかったら その後で告白するっていう感じかなと思います
(00:08:03) こんなのがね日本の 恋愛の告白の仕方ですね
(00:08:09) そして告白された方はどうするかっていうと まあもちろんあの
(00:08:17) 両思いって言って両方の量ですね両思いだったら両方好きだったら 自分もあなたが好きあなたも私が好きっていうその両思いだったら
(00:08:30) 告白された時にその時すぐに わかりました
(00:08:35) あのお願いしますまあ付き合いましょうということですね お願いしますっていうこともあると思いますが
(00:08:44) そんなに好きじゃなかった時 まあ例えば
(00:08:49) すごくいい人でいい友達だと思うけど 恋人になることはあまり考えていなかったとかそういう時は
(00:08:59) すぐにお願いしますって言わないでちょっと考えさせてくださいっていうことも あると思います
(00:09:08) だから その人のことは嫌いじゃないから すぐに嫌だとは言わないでもすぐに ok はできない
(00:09:18) だから少し考える時間が欲しいということですね で
(00:09:24) どのくらい考える時間が欲しいかっていうのは 人によって違いますが
(00:09:32) そうだね俺だったら1週間ぐらいで返事は欲しいかな しばらく考えたらあの
(00:09:40) その人に どうやって返事をするかわかんないけど今だったらラインとかもあるかもしれませんね
(00:09:48) ラインとかメールとか電話したりとか昔だったら手紙もあったかもしれませんね あとはやっぱり直接会って話をするとかですね
(00:10:01) あの ok だったらお願いしますダメだったら なんだろうねあの
(00:10:08) 友達でいましょうとかそんな感じかなそうやって返事をします これが日本の恋愛についてまあ恋愛の告白についてですね
(00:10:20) こうやって日本みたいにはっきりと付き合ってください まあ恋人になってくださいっていうことを言う国と言わない国があるんですよね
(00:10:32) 俺はずーっと日本で生まれて日本で育ったから この恋人になってくださいという話をしないで
(00:10:42) 何もしないで自然に恋人になるっていうのが結構信じられませんでした 言わなきゃわからないじゃんって思って
(00:10:51) なのでまあこのインドネシアの人はやっぱりこういうふうに告白の仕方とかを聞くって いうことは
(00:11:00) なんだろうねデートとかをずっとしていくと一緒にいる時間が長いと自然に恋人になる っていう
(00:11:08) 考えの国なんですかね まあいろいろあって面白いですね
(00:11:12) 皆さんの国の話とかも何か面白いのがあったらぜひ教えてください はいじゃあ今日はこの辺で終わりにしたいと思いますがまた何か
(00:11:23) 日本についてねリクエストとかあったら皆さんもぜひメッセージやメールをください 待ってます
(00:11:31) それじゃあさようなら
