ep. 154 - 高校生活(N3)

(00:00:00) みなさんこんにちはトモです
(00:00:08) これは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くない
(00:00:14) でもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師のトモが
(00:00:19) ちょうどいい日本語で話をします
(00:00:22) さて今日は高校生活についてリクエストもらったので
(00:00:29) 高校生活について話したいと思います
(00:00:32) 日本の高校と同じような学校っていうのは
(00:00:36) もちろんどこの国でもあるとは思うんですけど
(00:00:39) ただその高校生活
(00:00:41) 学校でどんなことをするのかっていうのは
(00:00:45) まあ国によってね
(00:00:46) いろいろ違いがあると思うので
(00:00:48) 今日は日本の
(00:00:50) 日本のっていうか
(00:00:50) 俺が高校生の時の高校生活を紹介したいと思います
(00:00:56) まあ俺のね俺が高校生の時の高校生活と
(00:01:01) 今の高校生って違うかもしれませんけどね
(00:01:06) まああのちょっと古い日本のアニメとか
(00:01:09) そういうのが好きな人は
(00:01:11) あの面白いかもしれませんね
(00:01:14) じゃあですね
(00:01:15) あの日本の俺が高校生の時のね
(00:01:20) 俺の時代の高校生がどんなことをしてたか
(00:01:24) どんな1日だったかっていうと
(00:01:27) まずは朝学校に行って自分の教室に行きます
(00:01:33) これはこれはもう今でも昔でも
(00:01:35) ずっと同じだと思うんですけど
(00:01:37) 日本の小学校中学校高校は
(00:01:40) だいたい自分のクラスっていうのが決まってて
(00:01:44) あのいつも同じ教室で授業を受けます
(00:01:49) 時々ねあの選択授業って言って
(00:01:52) 自分が好きなクラスを選んで
(00:01:55) でそのクラスに行って勉強する時もありますが
(00:01:59) 基本的にはその自分のクラスで授業を受けるんですよ
(00:02:05) で朝行ったらその自分のクラスに行って
(00:02:08) 自分のクラスに行ったら
(00:02:09) 自分の座る場所自分の机も決まってるから
(00:02:12) いつも同じところに座ります
(00:02:15) で朝自分の席に座ってでみんなが来たら
(00:02:19) ホームルームって言ってあのそのクラスの先生
(00:02:24) クラスの担当の先生がいて
(00:02:27) その担当の先生を担任って言うんですけど
(00:02:30) その担任の先生がクラスに来て
(00:02:33) そしてあの1日のスケジュールの確認とか
(00:02:37) 何か連絡とかがあればその連絡したりとかして
(00:02:42) でまぁだいたい早ければ5分とかですぐ終わっちゃう
(00:02:47) 長くても10分とか15分ぐらいで
(00:02:50) あのホームルームが終わって
(00:02:52) でその後で授業が始まります
(00:02:56) 授業はえっとね
(00:02:58) 俺が高校生の時は確か一つの授業が50分だったかな
(00:03:04) 1コマ50分で確かね
(00:03:07) 午前中に4コマ50分かける4
(00:03:11) んで昼休みを挟んで
(00:03:14) で午後が確か2コマか3コマぐらいだったと思うんですけど
(00:03:21) ちょっとね何年も前の話だから
(00:03:24) 細かいところは俺も覚えてないんですけど
(00:03:27) まぁそんな感じであの1日に
(00:03:30) だいたいあの少なければ5コマとかで多ければ
(00:03:35) 7コマ8コマぐらい授業があります
(00:03:39) ちなみに授業の数え方をコマって言います
(00:03:42) 1コマ2コマっていう風に
(00:03:45) 授業で勉強する科目は俺は普通科だったので
(00:03:51) あのまあ普通の勉強一般的な勉強です
(00:03:55) 高校って学校によって
(00:03:57) あのちょっと勉強する内容が変わります
(00:04:00) 俺は普通科だから
(00:04:02) あの特別なことはしない学校だったんですけど
(00:04:05) 例えば工業科とか商業科とか
(00:04:10) あのいろいろな科があって工業科だったら
(00:04:14) 工業ってあの工場とか工事とかの工です
(00:04:19) で業は授業の業
(00:04:21) まあ業って仕事っていう意味なので
(00:04:23) あのその工事とか工場とかの工って
(00:04:26) なんかを作るっていう意味だから
(00:04:28) ものづくり機械とかね
(00:04:30) そういうのを使う勉強をする高校っていうのもあって
(00:04:34) それが工業科って言うんですよ
(00:04:36) 工業科だったらあの機械の使い方とかね
(00:04:39) そういう練習の授業とかもあるし
