ep. 156 - 学生生活(N2)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のともがちょうどいい日本語で話をします
さて今日は 学校シリーズの第3弾ですね
なんか最近結構あの日本の学校について聞かれることが多かったんですよ なので前々回は俺の高校生活
前回は日本の学校の種類 で今日はその日本の学校の中のシステムみたいなものですね
そういうのを教えてくださいということだったのでそれについて話したいと思います まあこれはねやっぱり学校によっていろいろ違うと思うので
あの俺の知っている学校と他の人が通っている学校って違うかもしれませんが まあこれはあの
俺の知っていることを話すだけのポッドキャストなのでその辺はご了承ください じゃあですねえっと今日はまずはあの日本の学校の中のいろいろなシステム
っていうことなんですが まずは
有名なものっていうかあのよく話に出てくるもので言うと部活ですかね あの日本の
小学校は部活ってないんですけど中学校と高校は部活というものがあります 部活って部活動のあの短くした形なんですけど
中学とか高校とかで学校が終わってから自分が好きな スポーツでもあのまあ文化的な活動でも何でもいいんですけどね
その部に入ってそしてそれの練習をするっていうのが部活です でこれは学校が終わってからやるんですけど学校の
あの 教育の一環として行われているものなので
基本的にその部活の練習は学校の中で行うときが多いですね でその部活している時の監督も学校の先生がほとんどしています
どんな部活があるかというともう本当にこれいろいろで俺は中学校と高校とどっち も陸上部だったんですけど陸上ってその走るスポーツね
俺は短距離だったので あの
100メートルとか200メートルあと一番専門で走ってたのは400メートルだったんです けど
えっとでその陸上部はもう多分ほとんどどこの学校にもあると思うんですが メジャーどころのスポーツは多分どの学校に行ってもあると思います
メジャーどころって例えばバスケとかサッカーとかバレーとか あとはまあもちろん日本なので柔道とかも
多分まあ柔道部があるところが多いんじゃないかなと思います あとはちょっとこうマイナーじゃないけど少し少ないだろうなっていうスポーツだと
ラグビーとかアメフトとかアメフトってアメリカンフットボールね そういうのは
結構の練習するために場所も必要だしあとは人数も多くないとできないし 怪我の危険とかもあるから
そんなに多くはないかなっていうイメージですね あとは相撲部とかもあんまり俺の周りにはなかったですね
あとはスキー部とかスケート部とかそういう 季節が関係あるものなんかもそんなに多くはないんじゃないかなと思います
でもまぁだいたいの あのスポーツの部活って
日本中探せばどっかにはあると思います 最近だとダンス部とか多くなってきたんじゃないかなと思います
で部活は運動だけじゃなくて文化部とか言われるんですけど 絵を描いたりする美術部とかあとは音楽系だと合唱部とか吹奏楽とか
その自分で何か音楽をする部活とかですね あとは書道部とか演劇部とか
そういうのもありますね でまぁあのスポーツでもその文化部でもどんなものでもいいんですけど
そういうものを学校でみんなで集まって練習したりして で大会に出て試合であの勝ったり負けたりしていろんな経験をしてそういう
様々な経験からその人間性を育てるみたいなそういうのが部活ですかね多分 ただまぁ最近この部活ってちょっと問題になってるんですけどね
あの 部活があるせいで先生たちの残業時間がすごい長くなってほとんど給料出ないで
仕事されてるからそれで病気になる先生とかが多いみたいな話ですね でこういう部活とかがあるんですが部活に入ってない人は何をするかっていうと
他には学校での活動だと生徒会とかがありますね 生徒会っていうのはまあわかりやすく言うと学校の中の政治をするところです
だからその日本の政治って言ったら国会があって国会で法律を作ってとか あとはその仕事によっていろんな省があるので例えば外務省とか法務省とか
あとは教育関係だったら文部科学省とかそれぞれの仕事の内容によって省が分かれてそれで みんな国の仕事をしていますが
生徒会っていうのはそれを学校の中でやるんですよ だから生徒会長って言って生徒会の一番偉い人は日本の首相みたいな人ですね
その学校の生徒の中で一番上の人なんですよ まあ偉いって言っても別にそんな特別な権利とかを与えられているわけじゃないんですけど
でもまあ学校の中で一番有名な生徒ですよね で生徒会ではどんなことをするかって言うと例えば学校の中のイベントの
運営とか学校であるイベントって言ったら体育祭とか文化祭とかそういうお祭りとかですね
そういうのがあったら生徒会がまとめ役になってであの イベントの運営をしていったりとか
あとはさっき言った部活に関して何かをまとめたりするとかもありますね さっき部活は学校の中でやる教育の一環だって言いましたけど
部活で使うお金何かを買ったりとかそういうお金って学校が出してくれるんですよ ただいくら出すかっていうのは
部によって違うので その生徒会で
生徒会の人がみんなで集まったりとかしてでどこの部にいくらお金をあげるとかそういう 会議をしたりなんかもします
であとはもちろんその学校の中のルールとかですね 校則って言うんですけどまあ学校の中の法律みたいなものですね
そういうのを 生徒が自分で作るっていうのはちょっと難しいかもしれませんけど
でも あの学校の中の生徒からこの校則はちょっと変だとか
これは古いから変えた方がいいとか何か意見が上がってきたらそれについて生徒会で話して で
その生徒会でまとまった意見をそこだけでは決められないんですけど それを上に上げるつまり先生たちに相談して生徒たちはこういう意見ですって言って
学校と先生たちと交渉して学校のルールとか制度とかを変えるとかね そういうこともできることがあります
だからもう本当に生徒会っていうのは学校の中の政治家ですね だから学校の授業のほかにその政治の仕事もあるから生徒会って結構忙しいんですけど
でもやっぱりそういう人をまとめて国を動かす練習ですね 学校を動かすっていう仕事をしてるから
自分は生徒会長をやってましたなんていうと 将来就職する時とかですねそういう時に何かいい経験をした人だなっていうふうに
プラスに評価されることが結構多いです だからそのプラスの評価のためにね
いい大学に行ったりとかいい会社に入ったりするとか そういう評価のために生徒会をやるっていう人も
まあいるみたいですね 学校っていうのはその社会に出てからのいろいろな
勉強ですよねそのためにあるところなので生徒会っていうのはその日本の政治みたいな 仕組みになっているし
あとは学校全体じゃなくて実はクラスの中でもちょっと生徒会みたいな そういう仕組みっていうのはあります
だから生徒会が日本全体の政治だとしたら 一つ一つのクラスっていうのは日本の都道府県みたいなもんですね
日本全体の政治っていうのはもちろんあるんですけど 日本の都道府県それぞれでもやっぱり県の一番偉い人がいてその県の
中だけのいろいろな法律みたいなルールとかを作ったりとかもしているので クラスはその県みたいな存在です
なのでクラスの中で一番偉い人っていうのも中学校とか高校では決められています まあ小学校でもちょっとやるかな
だいたいねそのクラスの中の一番偉い人って委員長とか言われるんですけど 一つのクラスの中で
いろいろな仕事が分かれているんですよ クラスの中の仕事っていうと例えばあの授業の準備とかですね
体育委員っていうのがあって体育委員の人は体育の授業が始まる前に その体育の先生のところに行って何か授業の準備するものありますかって聞いたりとか
あとは 中学校だと給食委員とかもありましたね
給食ってその学校が出してくれるお昼ご飯なんですけど その給食のメニューを確認したりとか給食を持ってきたりとかその給食に
関わる仕事をするっていうのが給食委員です でクラスの中でそのクラスの中の仕事をする委員っていうものがあってその委員を
いろんな委員があるからそれをまとめるのが委員長って言うんです それがクラスの中で一番偉い人
だから学校の中全部でも政治みたいな制度があるし クラスの中でもそのクラスの中をまとめるっていう小さい政治みたいな仕事があるんですよ
そうやってそのいろいろな 政治みたいな体験をしていくことで社会に出る準備をするっていうのが学校ですね
まあ子供の時はねそんな難しいこと考えないんですけどね 大人になってからその生徒会とかのシステムを改めて考えてみると
すごいよくできてたなというふうにちょっと感心します なんかね今考えると生徒会とかもっとやっとけば面白い体験できたかもなっていう気がしますね
ちなみにこの学級委員クラスの委員っていうのは1年に 1回か2回くらい決めるんですよ
1年間ずっと同じ仕事する学校もあれば1年の中でちょっとこう 別の委員に変わるっていうような学校もあります
でこの委員を決めるときって結構ドキドキするんですよ なんでかというと
まあまずねめんどくさい委員にはなりたくないんです みんな
まあそうですよねあの学校の勉強のほかにもいろんな仕事をやらなきゃいけないんだから大変ですよね
だからめんどくさいのにはなりたくない だからできるだけ楽なのを選びたいっていうのがあるんですけど
それだけじゃなくて 自分の
仲のいい友達と一緒の委員になりたいとか自分が好きな人と同じ委員になりたいとか あとは好きな人じゃないけどすごい綺麗な可愛い人がいたらその人と同じになりたいとか
いろんな 希望というか欲望というか
そういうのを持って委員を決めるんですよ だからねあのクラスの中でその学級委員を決めるときに
結構ドキドキしてる人って多かったんじゃないかなと思います さてそれじゃあですねこれが日本の学校の中のシステムです
日本のアニメとか好きな人はねこういうのを覚えておくとアニメ見るときに楽しいん じゃないかなと思うので
