ep. 156 - 学生生活(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:11) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のともがちょうどいい日本語で話をします
(00:00:21) さて今日は 学校シリーズの第3弾ですね
(00:00:27) なんか最近結構あの日本の学校について聞かれることが多かったんですよ なので前々回は俺の高校生活
(00:00:37) 前回は日本の学校の種類 で今日はその日本の学校の中のシステムみたいなものですね
(00:00:46) そういうのを教えてくださいということだったのでそれについて話したいと思います まあこれはねやっぱり学校によっていろいろ違うと思うので
(00:00:55) あの俺の知っている学校と他の人が通っている学校って違うかもしれませんが まあこれはあの
(00:01:03) 俺の知っていることを話すだけのポッドキャストなのでその辺はご了承ください じゃあですねえっと今日はまずはあの日本の学校の中のいろいろなシステム
(00:01:15) っていうことなんですが まずは
(00:01:19) 有名なものっていうかあのよく話に出てくるもので言うと部活ですかね あの日本の
(00:01:27) 小学校は部活ってないんですけど中学校と高校は部活というものがあります 部活って部活動のあの短くした形なんですけど
(00:01:40) 中学とか高校とかで学校が終わってから自分が好きな スポーツでもあのまあ文化的な活動でも何でもいいんですけどね
(00:01:51) その部に入ってそしてそれの練習をするっていうのが部活です でこれは学校が終わってからやるんですけど学校の
(00:02:00) あの 教育の一環として行われているものなので
(00:02:06) 基本的にその部活の練習は学校の中で行うときが多いですね でその部活している時の監督も学校の先生がほとんどしています
(00:02:17) どんな部活があるかというともう本当にこれいろいろで俺は中学校と高校とどっち も陸上部だったんですけど陸上ってその走るスポーツね
(00:02:27) 俺は短距離だったので あの
(00:02:31) 100メートルとか200メートルあと一番専門で走ってたのは400メートルだったんです けど
(00:02:37) えっとでその陸上部はもう多分ほとんどどこの学校にもあると思うんですが メジャーどころのスポーツは多分どの学校に行ってもあると思います
(00:02:49) メジャーどころって例えばバスケとかサッカーとかバレーとか あとはまあもちろん日本なので柔道とかも
(00:02:58) 多分まあ柔道部があるところが多いんじゃないかなと思います あとはちょっとこうマイナーじゃないけど少し少ないだろうなっていうスポーツだと
(00:03:10) ラグビーとかアメフトとかアメフトってアメリカンフットボールね そういうのは
(00:03:17) 結構の練習するために場所も必要だしあとは人数も多くないとできないし 怪我の危険とかもあるから
(00:03:26) そんなに多くはないかなっていうイメージですね あとは相撲部とかもあんまり俺の周りにはなかったですね
(00:03:34) あとはスキー部とかスケート部とかそういう 季節が関係あるものなんかもそんなに多くはないんじゃないかなと思います
(00:03:44) でもまぁだいたいの あのスポーツの部活って
(00:03:49) 日本中探せばどっかにはあると思います 最近だとダンス部とか多くなってきたんじゃないかなと思います
(00:03:56) で部活は運動だけじゃなくて文化部とか言われるんですけど 絵を描いたりする美術部とかあとは音楽系だと合唱部とか吹奏楽とか
(00:04:10) その自分で何か音楽をする部活とかですね あとは書道部とか演劇部とか
(00:04:19) そういうのもありますね でまぁあのスポーツでもその文化部でもどんなものでもいいんですけど
(00:04:26) そういうものを学校でみんなで集まって練習したりして で大会に出て試合であの勝ったり負けたりしていろんな経験をしてそういう
(00:04:38) 様々な経験からその人間性を育てるみたいなそういうのが部活ですかね多分 ただまぁ最近この部活ってちょっと問題になってるんですけどね
(00:04:49) あの 部活があるせいで先生たちの残業時間がすごい長くなってほとんど給料出ないで
(00:04:56) 仕事されてるからそれで病気になる先生とかが多いみたいな話ですね でこういう部活とかがあるんですが部活に入ってない人は何をするかっていうと
(00:05:08) 他には学校での活動だと生徒会とかがありますね 生徒会っていうのはまあわかりやすく言うと学校の中の政治をするところです
(00:05:20) だからその日本の政治って言ったら国会があって国会で法律を作ってとか あとはその仕事によっていろんな省があるので例えば外務省とか法務省とか
(00:05:34) あとは教育関係だったら文部科学省とかそれぞれの仕事の内容によって省が分かれてそれで みんな国の仕事をしていますが
(00:05:44) 生徒会っていうのはそれを学校の中でやるんですよ だから生徒会長って言って生徒会の一番偉い人は日本の首相みたいな人ですね
(00:05:56) その学校の生徒の中で一番上の人なんですよ まあ偉いって言っても別にそんな特別な権利とかを与えられているわけじゃないんですけど
(00:06:06) でもまあ学校の中で一番有名な生徒ですよね で生徒会ではどんなことをするかって言うと例えば学校の中のイベントの
(00:06:17) 運営とか学校であるイベントって言ったら体育祭とか文化祭とかそういうお祭りとかですね
(00:06:25) そういうのがあったら生徒会がまとめ役になってであの イベントの運営をしていったりとか
(00:06:33) あとはさっき言った部活に関して何かをまとめたりするとかもありますね さっき部活は学校の中でやる教育の一環だって言いましたけど
(00:06:44) 部活で使うお金何かを買ったりとかそういうお金って学校が出してくれるんですよ ただいくら出すかっていうのは
(00:06:54) 部によって違うので その生徒会で
(00:06:58) 生徒会の人がみんなで集まったりとかしてでどこの部にいくらお金をあげるとかそういう 会議をしたりなんかもします
(00:07:07) であとはもちろんその学校の中のルールとかですね 校則って言うんですけどまあ学校の中の法律みたいなものですね
