ep. 157 - 本音と建前(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日は日本人が使う本音と立て前についての質問っていうか
まあそれをねテーマにして話をしてくださいっていうリクエストがあったので 今日は本音と立て前について話したいと思います
じゃあですねこの日本人が使う本音と立て前って何なのかっていうと
まずは本音っていうのは 本音の本は本当ですね
で音は音って書くんですけどこれはまあ自分の本当の気持ちっていうことです
で立て前っていうのは何なのかっていうと 自分の本当の気持ちじゃないんだけどでも
まあだから嘘みたいなものですけどね嘘とは本当はちょっと違うんですけど 自分が本当はそうは思ってないけどでも
なんかこうその状況に合わせるとかあとは相手のためを思って それで自分の
本当の気持ちじゃないことを話すそれが立て前っていうものです
この本音と立て前って結構ねが被告の人は難しいって言うんですよ 日本人は本当のことをいつも言わない
いつも嘘をついているだからちゃんと話ができないっていうふうにね じゃあなんで日本人はその本音だけじゃなくて立て前を使うのか
自分の本当の気持ちじゃない本当の意見じゃなくて まあちょっと違うことを話すのかっていうことなんですけど
まあこのね本音と立て前については結構 あの
それについてすごい詳しく調べた あの本が出てたりとかね
日本の文化について研究している人が本音と立て前について詳しく説明したりとか そういうこともしてるんですけど
なんかこう俺のね 一般的なっていうか普通の日本人の感覚としてなんでその本音と立て前を使うのかっていうと
やっぱりねその まあ昔からの日本人としての
感覚っていうかその考え方として 相手のために
何かをするというか相手にとってねこう 不快な
ことを言いたくないっていうそういう気持ちがあるんですよ 相手にこう嫌われたくないとかねそういうのもあるし
あとはその場の空気っていうかね まあ雰囲気を悪くしたくない
だから本音とはちょっと違うけどでも 今だけ今その状況を
悪くしないように 自分の本当の気持ちじゃないけどまあ違う話をしておこうとかね
そういうのが立て前っていうものですね じゃあ例えば立て前ってどんな風に使うのかっていうと
友達に遊びに誘われた時とか 本当はねあんまり行きたくないんだけどでも
せっかく誘ってくれたのにすぐにいや私は行きたくないって言うと ちょっと相手に申し訳ないとか
あとは誘ったのに行きたくないとか嫌だって言われるとその誘った方もちょっと嫌な 気分になるだろうから
行きたくないっていうのが本音なんだけど でもその本音は言わないで例えば
行きたいけどちょっと予定が合うかどうかわかんないから ちょっと後で調べて行けるかどうか連絡するねって言ったりとか
この行きたくないっていうのが本音で で立て前は行きたいけど行けるかわかんないから後で連絡するっていうやつですね
こういうふうに話すとその行きたくないっていうふうに言わないから 誘った方もそんなに気分が悪くない
で後であの ちょっとごめんその日は予定が入ってたから行けないっていうふうに連絡をすると
誘った方も行きたくないとは言われなかった ただ予定が合わないから行けなかっただけだっていうふうに思うから
そんなにこう 断られても悪い気がしないっていう感じですね
こういうのが本音と立て前なんですよ
はっきりと行きたくないっていう気持ちを言ってしまうと相手にとっても気分があまり いいものじゃないから
だからその
ねちょっと嘘をついてそして あの相手の気分が悪くならないようにするっていう感じですね
まあこれだけで話が終わればねそんなに難しいことではないんですけど 本音と立て前の何が難しいかっていうと
そのね断られた方が その
断ってきた理由についてそれが 本音なのか立て前なのかっていうのがわからないと
例えばあっじゃあその日じゃなくて別な日にしよう 別な日に行こうっていうふうに
言ってしまうとその立て前で 断ったまあちょっと嘘をついて断った方としては
あの 行きたくないから
その日は忙しい予定があるって言って断ったのに また別の日を出されたら
あの もうね1回断ったから
もう2回目はちょっと断れないからじゃあ あの行きたくないけどしょうがないから行くかっていうふうになってしまいますよね
でそうするとあの 断る方としては行きたくないけど行かなきゃいけない
なんかこう人間関係がめんどくさいなっていうふうになってしまう でやっぱり相手に対してもその
面白くないことに誘ってくる 嫌な人っていうイメージがついてしまうから
まあそこが難しいですよねだからその断られた方が 理由を聞いた時にあこの人は忙しい予定が合わないって言ったけど
もしかしたらそれは建前で本当は行きたくないのかもしれないっていうふうに考える と
まあお互いね その
あんまり悪い空気にならないから人間関係が悪くならないっていうね そこが難しいところですね
でこれは日本人なら誰でもこの本音と建前を使ってそして相手の建前についてよく 考えることができるのかっていうとそんなことはないです
これは難しいのは外国人だけじゃないんですよ だからそのね
最近だとやっぱり日本人同士でも 建前ばっかりだと最終的にね人間関係疲れちゃうから嫌なものは嫌だって
はっきり言った方がいいとか あとはビジネス関係の話であれば
建前ばっかり使ってるとそのねやっぱり契約とかねいろいろあるから良くないから ビジネスでは本音と建前はあんまり使わないでちゃんとねはっきり言った方がいいとか
そういうふうにあの 昔と違う考え方ですね新しい考え方っていうか
今までとちょっと違うふうやり方でやりましょうっていうふうに言う人も結構多くなって いるとは思います
俺もねやっぱりその建前ばっかりだと自分も疲れるし相手もね疲れるっていうか その
本当の自分を見せることができないからねだから いい人間関係作れないから建前ばっかりっていうのは良くないんじゃないかなとは思うん
だけど まあやっぱりね時々優しい嘘みたいなのは必要だなとは思います
嫌なものは全部嫌だ はっきり言うんじゃなくて時々はねその
はっきり嫌だっていうんじゃなくてちょっと別の理由 相手が傷つかないような理由とかを言って嫌だって言った方がその
ね いい人間関係できるんじゃないかなっていう気はします
やっぱこういう考え方はその 日本人っていうかね日本の文化なのかな
やっぱり俺もね建前多すぎても良くないけど 相手のことをよく考えてちょっと優しい話をした方がいいんじゃないかなっていうような
考え方はどうしてもね抜け切らないっていうか あの
残ってしまいますね というわけでこんなのがね日本人の本音と建前ですね
やっぱりこう相手を傷つけないとか相手にちょっとこう悪いなっていう気持ちがあって それで
はっきりと自分のことを全部自分の気持ちを言ってしまうと良くないなという時には建前を 使います
ちょっとね外国の人には本音と建前って難しいかもしれないし 建前っていうのがまあやっぱり嘘みたいなものですからね
あんまり良くないイメージとかあるかもしれませんけど でも
まあその建前を使うっていうのはね あの
悪いって悪い話ばっかりじゃなくて あの他の人のために優しい嘘をつくっていうこともあるから
まあね日本人と話すときにこれが建前なのかな これは嘘なのかなと思った時もあまり悪く考えないでもしかしたら自分のために
自分が傷つかないように優しい嘘をついてくれたのかもなっていうふうにちょっと考えて みてください
はいじゃあえっと今日は本音と建前についてでした やっぱりねその日本の文化とか日本人の考え方とか難しいとは思いますが
いろんな人と考えいろんな人の考え方ってありますから まあいろんな人とかいろんな国の考え方とかねありますから
いろんな人と話をしてみてああいう考え方もあるんだな その考え方面白いなとか思えるようになるといいですね
その自分と違う考え方すべてを否定するんじゃなくてね さて今日は日本人の本音と建前についてがテーマでしたが他にも何かこう
ね日本についての質問とかね聞いてみたいことがあったら ぜひリクエストとかを送ってください皆さんからメッセージお待ちしています
じゃあ今日はこの辺で終わりにしたいと思いますさようなら
