ep. 157 - 本音と建前(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:10) 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:14) そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:20) さて今日は日本人が使う本音と立て前についての質問っていうか
(00:00:29) まあそれをねテーマにして話をしてくださいっていうリクエストがあったので 今日は本音と立て前について話したいと思います
(00:00:39) じゃあですねこの日本人が使う本音と立て前って何なのかっていうと
(00:00:47) まずは本音っていうのは 本音の本は本当ですね
(00:00:52) で音は音って書くんですけどこれはまあ自分の本当の気持ちっていうことです
(00:01:00) で立て前っていうのは何なのかっていうと 自分の本当の気持ちじゃないんだけどでも
(00:01:09) まあだから嘘みたいなものですけどね嘘とは本当はちょっと違うんですけど 自分が本当はそうは思ってないけどでも
(00:01:19) なんかこうその状況に合わせるとかあとは相手のためを思って それで自分の
(00:01:28) 本当の気持ちじゃないことを話すそれが立て前っていうものです
(00:01:35) この本音と立て前って結構ねが被告の人は難しいって言うんですよ 日本人は本当のことをいつも言わない
(00:01:45) いつも嘘をついているだからちゃんと話ができないっていうふうにね じゃあなんで日本人はその本音だけじゃなくて立て前を使うのか
(00:01:56) 自分の本当の気持ちじゃない本当の意見じゃなくて まあちょっと違うことを話すのかっていうことなんですけど
(00:02:06) まあこのね本音と立て前については結構 あの
(00:02:11) それについてすごい詳しく調べた あの本が出てたりとかね
(00:02:17) 日本の文化について研究している人が本音と立て前について詳しく説明したりとか そういうこともしてるんですけど
(00:02:26) なんかこう俺のね 一般的なっていうか普通の日本人の感覚としてなんでその本音と立て前を使うのかっていうと
(00:02:36) やっぱりねその まあ昔からの日本人としての
(00:02:42) 感覚っていうかその考え方として 相手のために
(00:02:48) 何かをするというか相手にとってねこう 不快な
(00:02:54) ことを言いたくないっていうそういう気持ちがあるんですよ 相手にこう嫌われたくないとかねそういうのもあるし
(00:03:03) あとはその場の空気っていうかね まあ雰囲気を悪くしたくない
(00:03:09) だから本音とはちょっと違うけどでも 今だけ今その状況を
(00:03:17) 悪くしないように 自分の本当の気持ちじゃないけどまあ違う話をしておこうとかね
(00:03:24) そういうのが立て前っていうものですね じゃあ例えば立て前ってどんな風に使うのかっていうと
(00:03:33) 友達に遊びに誘われた時とか 本当はねあんまり行きたくないんだけどでも
(00:03:42) せっかく誘ってくれたのにすぐにいや私は行きたくないって言うと ちょっと相手に申し訳ないとか
(00:03:51) あとは誘ったのに行きたくないとか嫌だって言われるとその誘った方もちょっと嫌な 気分になるだろうから
(00:04:00) 行きたくないっていうのが本音なんだけど でもその本音は言わないで例えば
(00:04:08) 行きたいけどちょっと予定が合うかどうかわかんないから ちょっと後で調べて行けるかどうか連絡するねって言ったりとか
(00:04:20) この行きたくないっていうのが本音で で立て前は行きたいけど行けるかわかんないから後で連絡するっていうやつですね
(00:04:32) こういうふうに話すとその行きたくないっていうふうに言わないから 誘った方もそんなに気分が悪くない
