ep. 159 - 「ワクチン(N2)」

皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さてえっと最近最近っていうか2回ぐらい前から パソコンを使わないで携帯だけで
あのポッドキャストを作ってるんですけど どうでしょうか
やっぱりパソコンで作った時と比べると ちょっと音が汚いっていうか雑音が多いかなっていう気もするんですけど
そんなに気にならないまあこれくらいなら大丈夫だって言うんであれば これからもねパソコン使わないで携帯だけで iphone だけで作れると楽なのでそうしていきたいと思いますが
もしねやっぱりパソコンでちゃんと 音を綺麗に雑音とかをなくして欲しいっていう人が多ければ
パソコン買わないといけないかな それか職場のパソコン使うかどっちかですね
まああんまりね職場のパソコンを あの自分の用事で使っちゃいけないのでねあんまそれやりたくないんですけどね
まあ携帯でも大丈夫だっていう人が多かったらこのまま続けていきます 皆さんの意見ねあの教えてください
じゃあ今日はですねえっとワクチンについて話をしたいと思います えっとこれはリクエストがあったんですけどドイツ出身の方ですね
ドイツではその赤ちゃんの時から生まれた時からいろいろなワクチンを打ってるんです けど
日本はそういう制度はないんですかっていう質問なんですが まあ最近ねワクチンっていうとコロナのワクチンの話が出てますよね
でどこかに行く時にワクチンパスポートとかが必要になるんじゃないかという話とかも ありますね
まず日本でワクチンパスポートっていうものがあるかないかというとありません 俺もねワクチンパスポートという言葉は結構最近知りました
じゃあ日本にワクチンパスポートがないから日本ではワクチンっていうのを全然使わないのか っていうとそんなことはありません
まあ日本でもねやっぱり赤ちゃんの時からいろんな病気にかからないようにワクチンっていうのは たぶんほとんどの人がやります
でワクチンパスポートというものはないんですけど 日本では子供が生まれると母子手帳っていうものを親が作ります
母子手帳っていうのは母は母親の母っていう字ね で子は子供の子
母と子供の手帳って感じで書いてそれで母子手帳って言うんですけど その手帳の中には子供が生まれてから
しばらくね大きくなるまでのいろいろな記録とかそういったものを書いていきます で生まれた時に身長が何センチ体重何グラムっていうのも書くし
それから何ヶ月の時にはそれがどのくらい大きくなったかとか何ヶ月の時に ワクチンを打ったかとか全部そこの母子手帳に書いていきます
なのでまあそれをね使って他の国に行った時にワクチンの証明とかができるという わけではないんですけどでも日本で
いつどこで何のワクチンを打ったかっていうのはすぐ分かるようにはなっています で
今回のリクエストをくれた人は 日本人の同僚がワクチンって私は打ったことがないみたいな話をしてたらしいん
ですけど 多分ね打ってると思います
その人はなんでワクチンを打ったことがあるのにないって言ったのかっていうと 多分ね日本ではワクチンっていう言葉をあんまり使わないからじゃないかなぁと思うん
ですけど あのねまあワクチンて日本語じゃないですよねカタカナで書きますね
で日本ではその病気にならないようにするための注射 それを予防接種といいます
いろんな病気の予防接種がありますインフルエンザとかもそうですし あの小さい子供の時からね何回も何回もいろんなものをやります
でその病気にならないようにするためのワクチンを打つことを予防接種って言うんです けど予防接種はね
あのみんなやってると思うんですよ もちろんあの
自分の意思で自分というか親の意思でね そういうワクチンとか予防接種って
あの時々ねそれをするとあの副作用っていうか よくないあの結果が起きることがあるからだから私は子供にそのワクチンとか予防接種
っていうのはやりたくないっていう人も たまーにいるとは思いますが
でも少ないでしょうねものすごい少数派でしょうね だからまあその母子手帳にね予防接種のスケジュールとかも全部書いてあるぐらいです
から 日本でもそのワクチンっていうのは昔からやっています
まあ今回のそのあの頃なのね 騒動のおかげでワクチンパスポートっていう言葉も日本で聞かれるようになりましたね
今までは外国に行くときまあ俺もねその 外国に住んだことがあるからその時に
その ワクチンを打ったかどうかっていう証明書それを出してくださいって言われたことがあります
で日本ではその外国で使えるようなワクチンパスポートっていうものを持ってなかった から
だから俺はあの もう1回病院に行ってそれで
まあワクチン受けたのがね小さい子供の時だったから効果がちょっと弱くなっている かもしれないから念のためにもう1回ワクチンを打ってそれでその病院でちゃんと
ワクチン打ちましたっていう証明書を出してもらってそれを その俺は台湾に行ってたんですけど台湾に出しましたね
まあそんな感じであの日本では予防接種 ワクチンですねそれをやるんですけど子供の時から
ただパスポートという形で公的な証明書としては あのあんまり特に外国では使えないので
だから日本人にとってはそのワクチンパスポートという言葉は結構 馴染みがないものかなと思います
で今回はこのコロナの騒動で外国でも使えるようなものそういうものがあった方がいいん じゃないかということでワクチンパスポートを作った方がいいかなっていう
そういう話が出てきていますね
入ってことで これがその日本のワクチンの制度ですね
だからまああのメジャーなメジャーなっていうかその ワクチンが作られている有名なそしてちょっとかかると命に関わるような危ない病気
とかは日本ではほとんどの人が赤ちゃんの時とかにね ワクチン売ってると思いますただワクチンという名前じゃなくて予防接種っていう名前で
言われているかなと思います
確かにねその予防接種ワクチンをやってないと結構ひどい病気とかになっちゃうから だいたいの国でやってると思うので
ワクチン打ってないよって言われるとねびっくりするかもしれませんね その日本の同僚の方もドイツに行ってるぐらいだから
まあだいたいの予防接種はしてると思います
はいじゃあ今日はワクチンの話でしたが やっぱりねその日本のいろいろなこういう制度とかね
結構難しいですよね日本に住んでてもあの 日本人が小さい子供の時からやってることっていうのは結構わからないことが多い
と思います だいたい日本に来るのってみんな大人になってからだから
なのでそういうね日本のいろんなことについて知りたいなぁと思ったことがあったら またこうやってぜひ皆さんもリクエストを送ってください
みなさんからのメッセージ待ってます じゃあ今日はこの辺で終わりたいと思いますさようなら
