ep. 159 - 「ワクチン(N2)」

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:15) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:25) さてえっと最近最近っていうか2回ぐらい前から パソコンを使わないで携帯だけで
(00:00:35) あのポッドキャストを作ってるんですけど どうでしょうか
(00:00:40) やっぱりパソコンで作った時と比べると ちょっと音が汚いっていうか雑音が多いかなっていう気もするんですけど
(00:00:49) そんなに気にならないまあこれくらいなら大丈夫だって言うんであれば これからもねパソコン使わないで携帯だけで iphone だけで作れると楽なのでそうしていきたいと思いますが
(00:01:03) もしねやっぱりパソコンでちゃんと 音を綺麗に雑音とかをなくして欲しいっていう人が多ければ
(00:01:13) パソコン買わないといけないかな それか職場のパソコン使うかどっちかですね
(00:01:21) まああんまりね職場のパソコンを あの自分の用事で使っちゃいけないのでねあんまそれやりたくないんですけどね
(00:01:30) まあ携帯でも大丈夫だっていう人が多かったらこのまま続けていきます 皆さんの意見ねあの教えてください
(00:01:40) じゃあ今日はですねえっとワクチンについて話をしたいと思います えっとこれはリクエストがあったんですけどドイツ出身の方ですね
(00:01:49) ドイツではその赤ちゃんの時から生まれた時からいろいろなワクチンを打ってるんです けど
(00:01:57) 日本はそういう制度はないんですかっていう質問なんですが まあ最近ねワクチンっていうとコロナのワクチンの話が出てますよね
(00:02:06) でどこかに行く時にワクチンパスポートとかが必要になるんじゃないかという話とかも ありますね
(00:02:14) まず日本でワクチンパスポートっていうものがあるかないかというとありません 俺もねワクチンパスポートという言葉は結構最近知りました
(00:02:28) じゃあ日本にワクチンパスポートがないから日本ではワクチンっていうのを全然使わないのか っていうとそんなことはありません
(00:02:38) まあ日本でもねやっぱり赤ちゃんの時からいろんな病気にかからないようにワクチンっていうのは たぶんほとんどの人がやります
(00:02:47) でワクチンパスポートというものはないんですけど 日本では子供が生まれると母子手帳っていうものを親が作ります
(00:02:58) 母子手帳っていうのは母は母親の母っていう字ね で子は子供の子
(00:03:06) 母と子供の手帳って感じで書いてそれで母子手帳って言うんですけど その手帳の中には子供が生まれてから
(00:03:16) しばらくね大きくなるまでのいろいろな記録とかそういったものを書いていきます で生まれた時に身長が何センチ体重何グラムっていうのも書くし
(00:03:27) それから何ヶ月の時にはそれがどのくらい大きくなったかとか何ヶ月の時に ワクチンを打ったかとか全部そこの母子手帳に書いていきます
(00:03:38) なのでまあそれをね使って他の国に行った時にワクチンの証明とかができるという わけではないんですけどでも日本で
(00:03:49) いつどこで何のワクチンを打ったかっていうのはすぐ分かるようにはなっています で
(00:03:56) 今回のリクエストをくれた人は 日本人の同僚がワクチンって私は打ったことがないみたいな話をしてたらしいん
(00:04:05) ですけど 多分ね打ってると思います
(00:04:11) その人はなんでワクチンを打ったことがあるのにないって言ったのかっていうと 多分ね日本ではワクチンっていう言葉をあんまり使わないからじゃないかなぁと思うん
(00:04:24) ですけど あのねまあワクチンて日本語じゃないですよねカタカナで書きますね
(00:04:30) で日本ではその病気にならないようにするための注射 それを予防接種といいます
(00:04:39) いろんな病気の予防接種がありますインフルエンザとかもそうですし あの小さい子供の時からね何回も何回もいろんなものをやります
(00:04:49) でその病気にならないようにするためのワクチンを打つことを予防接種って言うんです けど予防接種はね
(00:04:57) あのみんなやってると思うんですよ もちろんあの
(00:05:01) 自分の意思で自分というか親の意思でね そういうワクチンとか予防接種って
(00:05:09) あの時々ねそれをするとあの副作用っていうか よくないあの結果が起きることがあるからだから私は子供にそのワクチンとか予防接種
(00:05:23) っていうのはやりたくないっていう人も たまーにいるとは思いますが
(00:05:29) でも少ないでしょうねものすごい少数派でしょうね だからまあその母子手帳にね予防接種のスケジュールとかも全部書いてあるぐらいです
(00:05:40) から 日本でもそのワクチンっていうのは昔からやっています
(00:05:46) まあ今回のそのあの頃なのね 騒動のおかげでワクチンパスポートっていう言葉も日本で聞かれるようになりましたね
(00:05:56) 今までは外国に行くときまあ俺もねその 外国に住んだことがあるからその時に
(00:06:04) その ワクチンを打ったかどうかっていう証明書それを出してくださいって言われたことがあります
(00:06:13) で日本ではその外国で使えるようなワクチンパスポートっていうものを持ってなかった から
(00:06:19) だから俺はあの もう1回病院に行ってそれで
(00:06:24) まあワクチン受けたのがね小さい子供の時だったから効果がちょっと弱くなっている かもしれないから念のためにもう1回ワクチンを打ってそれでその病院でちゃんと
(00:06:36) ワクチン打ちましたっていう証明書を出してもらってそれを その俺は台湾に行ってたんですけど台湾に出しましたね
(00:06:46) まあそんな感じであの日本では予防接種 ワクチンですねそれをやるんですけど子供の時から
(00:06:54) ただパスポートという形で公的な証明書としては あのあんまり特に外国では使えないので
(00:07:04) だから日本人にとってはそのワクチンパスポートという言葉は結構 馴染みがないものかなと思います
(00:07:11) で今回はこのコロナの騒動で外国でも使えるようなものそういうものがあった方がいいん じゃないかということでワクチンパスポートを作った方がいいかなっていう
(00:07:21) そういう話が出てきていますね
(00:07:26) 入ってことで これがその日本のワクチンの制度ですね
(00:07:32) だからまああのメジャーなメジャーなっていうかその ワクチンが作られている有名なそしてちょっとかかると命に関わるような危ない病気
(00:07:45) とかは日本ではほとんどの人が赤ちゃんの時とかにね ワクチン売ってると思いますただワクチンという名前じゃなくて予防接種っていう名前で
(00:07:55) 言われているかなと思います
(00:07:59) 確かにねその予防接種ワクチンをやってないと結構ひどい病気とかになっちゃうから だいたいの国でやってると思うので
(00:08:09) ワクチン打ってないよって言われるとねびっくりするかもしれませんね その日本の同僚の方もドイツに行ってるぐらいだから
(00:08:18) まあだいたいの予防接種はしてると思います
(00:08:22) はいじゃあ今日はワクチンの話でしたが やっぱりねその日本のいろいろなこういう制度とかね
(00:08:31) 結構難しいですよね日本に住んでてもあの 日本人が小さい子供の時からやってることっていうのは結構わからないことが多い
(00:08:41) と思います だいたい日本に来るのってみんな大人になってからだから
(00:08:46) なのでそういうね日本のいろんなことについて知りたいなぁと思ったことがあったら またこうやってぜひ皆さんもリクエストを送ってください
(00:08:54) みなさんからのメッセージ待ってます じゃあ今日はこの辺で終わりたいと思いますさようなら
