ep. 166 - いただきます(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日はまたリクエストをもらったんですが いただきますっていう言葉の使い方について教えてくださいっていうリクエストでした
いただきますは 多分ね日本語の勉強を
している人は 結構初級のね最初の方で覚えた言葉だと思うんですよ
いただきますとあとごちそうさまとかですね このメールをくれた方は日本語すごく上手だったのでいただきますっていう言葉の意味は
もちろん知ってる 日本のドラマとかもね見るみたいなんですけども
そのドラマとかではいただきますっていうのを聞くし あとは多分自分で教科書とかでもね勉強をしたとは思うんですよ
でも実際に日本に行った時にレストランとかでいただきますって言ってる人がいなかった っていうことなんですよ
だから テレビとかでは見るし教科書の勉強する
でも本当に使うのっていうそういう疑問ですよね 確かにねその教科書では勉強するけど実際にはあまり使わない言葉とか
あとはドラマとか映画とかではねその日本の文化みたいなのがちょっと強調されて 実際のものとは違うような描写が出てきたりとか
そういうことってまああると思うんですよ だから
その要するにいただきますという言葉はフィクションじゃないけどその実際の日本人の 生活とは違うんじゃないか
実はもうあまり使わない言葉なんじゃないかっていう そういうふうにねあの感じるかもしれないですよね
なので今日はその疑問を解決したいと思います じゃあですね
最初にもう いただきますって本当に使うのかっていう疑問だと思うんですけどそれを解決しちゃいます
いただきますは使います 人にもよると思いますが毎日いただきますっていう言葉を
3色全部言う人も結構いるんじゃないかなと思います で
じゃあどうしてねそのレストランでいただきますっていう言葉を聞かなかったのかっていうと 大人になるとねその
人前で 特に知らない人がいるところで大きい声でいただきますっていうのは
多分あんまり言わないかなーっていう気がします
ただそれがねあの人前じゃないっていうか家族でね家でご飯を食べるとか あとは友達とかと集まってねご飯を食べるとかそういうところになると
結構ねこのいただきますっていう言葉はよく出てくるんじゃないかなと思います
ほんとねあと まあ飲み会だと言わないかもしれないなぁ
俺もねいただきますはあの家族のね食べる時は言います ただ
友達とかまぁちょっとねあのたくさんの人が集まってそれで飲み会する時っていただきます じゃなくて飲み会だからまあ酒がメインですよね
だから 酒を飲む時にみんなで乾杯するんですよ
乾杯って言ってそれで 最初にちょっとお酒を飲んでそれからご飯とかねまあご飯というか酒飲んでる
からつまみみたいなのが多いんですけど つまみを食べ始めるから
乾杯がいただきますの代わりになっちゃってそれでいただきますを言わないっていうことは 結構あるような気がします
なのであの いただきますがね本当によく使う言葉だと思います
特にこれはね子供だと本当に毎日しっかりいただきますって言ってると思います
今の小学校とか中学校も多分同じだと思うんですけど 中学校だとねちょっと
思春期に入るからそういうのは恥ずかしがってやんない人も出てくるかもしれませんが 小学校でね小学校ってだいたい給食があると思うんですけど
給食を食べる前に 絶対に
みんなでねそのクラスみんなで一緒に手を合わせていただきますって言ってからそれから 食べると思うんですよ
多分だけどね俺の時代の時はもう100%みんなそうしてました で
子供の時に小学校だから日本の小学校6年ね 6年間毎日毎日そうやって手を合わせてみんなで一緒にいただきますって言って
昼ご飯食べるし 朝もね
うちの中ではやっぱりご飯食べる時にいただきます 朝ご飯とか夜ご飯ね
いうので その習慣がね大人になってからもずっと続いてるっていう人は
絶対多いと思います まあ少なくとも俺はいただきますあとごちそうさまは使います
一人で食べる時は言わないかな あの家族でみんなで一緒に食べるとかねそういう時は使います
まあレストランとかではねその あんまり効かないのはもうしょうがないかなという気がします
その乾杯がねいただきますの代わりになったりとか あとはその小学校とかでね
小さい子供の時からの習慣だから大人になってから大きい声でいただきますっていうのは 子供みたいでちょっと恥ずかしいっていうのもあるかもしれません
あとはレストランみたいな公共の場所だとその自分の話し声とかが周りにね あんまり大きく聞こえてしまうと迷惑になるから
だから その大きい声でねいただきますって言わないっていうのもあると思います
まあ確かにねあの外国の人が旅行に来てそれで日本人がいただきますって言ってるのを 目にする目にするというか耳にする機会ってそんなにはないかもしれませんが
でもね多分珍しくないと思いますよ結構注意して 探してみるといただきますはいろんなところで出てくると思います
例えばねあの 仕事中とかでも多分使います仕事中であの
会社にね誰かお客さんが来てそれでお客さんにお茶とか何か飲み物とか出しますよね そうすると
あのもらった時はまずはあすみませんとか言うんですけど 飲む前にじゃあせませんいただきますって言ってから一言言ってから口にします
そうしないとやっぱりね失礼な感じがするので だからあのそういうところではしっかりいただきます使いますし
あとねレストランじゃなくて街中とか歩いててもね 例えば日本だとねあんまり食べ歩きとかはしないんですけど
たこ焼きとかクレープとかそういう食べ物だと その街中にね時々小さい
あの車とかで移動販売してたりとか あとはたこ焼きなんてねあのだいたい
大きいお店とかじゃなくて小さい店で あの店内で食べるところとかなくて持ち帰り専門でやっているところの方が多いから
そういうのだと 持ち帰りじゃなくて店の前でちょっとベンチとかで食べるとかね
そういうところでも結構食べる時にいただきますって言うと思うんですよね でえっといただきますが
普通の言葉だったらもちろんその 対になる言葉っていうかね反対に終わった時のごちそうさまっていうのもやっぱりこれは
ね そんなに珍しい習慣じゃないというか今でもやっている人はたくさんいるんじゃないかなと思います
特にレストランとかでもいただきますはね そんなに周りの人に聞こえないかもしれませんがごちそうさまっていうのは
食べ終わった時っていうよりもお店を出る時ですね 食べ終わってそれでお会計してでお店を出る時にお店の人にごちそうさまでした
っていう人なんかは結構多いんじゃないかなと思います 俺もねあの
一人でね外でご飯食べた時とかね まあ俺が一人で外でご飯食べるってだいたい牛丼屋とかなんですけど
牛丼屋行って食べるんですけど食べる時はいただきますは言わないんですが 帰る時にねお店の人にごちそうさまでしたって言ってから帰りますね
ってことであの いただきますごちそうさま
そのドラマとかで見るいただきますいただきますとごちそうさまって家の中でね みんなでご飯食べるとかそういうシーンが多いかもしれませんから
外国の人が日本に旅行に来た時って同じ場面はあんまり見ないかもしれない だからいただきますって本当に使うのかなっていうふうに思うかもしれませんが
あの で特にあとレストランとかねレストランで大きい声でいただきますってあまり言わないからね
だから本当にこの言葉は存在するのかって疑いたくなる気持ちもわかるんですが でもねあの
結構使いますなので日本に来て
誰かに食べ物とか飲み物を出してもらったとかね 日本の知り合いと一緒にご飯食べるとかそういう時には普通にいただきますって言っちゃって
全然問題ないと思います そんな全然使わない死語みたいなやつとかね
死語ってその 死んでしまった言葉っていう意味なんですけど
死語じゃないからいただきますって結構いろんなところで使っても全然恥ずかしくないと思います なので
日本でね何か食べるときは皆さんもいただきますとかごちそうさまでしたっていうのを 使ってみてください
はいじゃあ今日はねこんなのがいただきますについてでした このメールくれた方は本当にね日本語上手なすごい上手なメールだったんですけど
やっぱりそういう中級者とかね上級者とかねそういう風になっても 日本で生活してみないとわからない日本の文化とかって結構あると思うので皆さんも
何かこう疑問に思ったこととかねあったらぜひ メッセージとかメールとかください
皆さんからのメッセージいつもね楽しく読ませてもらってます 何かコメントとかもらえると嬉しいのでね
いつでも待ってます大歓迎です じゃあ今日はこの辺で終わりにしたいと思いますさようなら
