ep. 166 - いただきます(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:23) さて今日はまたリクエストをもらったんですが いただきますっていう言葉の使い方について教えてくださいっていうリクエストでした
(00:00:37) いただきますは 多分ね日本語の勉強を
(00:00:41) している人は 結構初級のね最初の方で覚えた言葉だと思うんですよ
(00:00:48) いただきますとあとごちそうさまとかですね このメールをくれた方は日本語すごく上手だったのでいただきますっていう言葉の意味は
(00:00:58) もちろん知ってる 日本のドラマとかもね見るみたいなんですけども
(00:01:06) そのドラマとかではいただきますっていうのを聞くし あとは多分自分で教科書とかでもね勉強をしたとは思うんですよ
(00:01:15) でも実際に日本に行った時にレストランとかでいただきますって言ってる人がいなかった っていうことなんですよ
(00:01:24) だから テレビとかでは見るし教科書の勉強する
(00:01:31) でも本当に使うのっていうそういう疑問ですよね 確かにねその教科書では勉強するけど実際にはあまり使わない言葉とか
(00:01:41) あとはドラマとか映画とかではねその日本の文化みたいなのがちょっと強調されて 実際のものとは違うような描写が出てきたりとか
(00:01:53) そういうことってまああると思うんですよ だから
(00:01:58) その要するにいただきますという言葉はフィクションじゃないけどその実際の日本人の 生活とは違うんじゃないか
(00:02:07) 実はもうあまり使わない言葉なんじゃないかっていう そういうふうにねあの感じるかもしれないですよね
(00:02:15) なので今日はその疑問を解決したいと思います じゃあですね
(00:02:21) 最初にもう いただきますって本当に使うのかっていう疑問だと思うんですけどそれを解決しちゃいます
(00:02:29) いただきますは使います 人にもよると思いますが毎日いただきますっていう言葉を
(00:02:36) 3色全部言う人も結構いるんじゃないかなと思います で
(00:02:43) じゃあどうしてねそのレストランでいただきますっていう言葉を聞かなかったのかっていうと 大人になるとねその
(00:02:53) 人前で 特に知らない人がいるところで大きい声でいただきますっていうのは
(00:02:59) 多分あんまり言わないかなーっていう気がします
(00:03:04) ただそれがねあの人前じゃないっていうか家族でね家でご飯を食べるとか あとは友達とかと集まってねご飯を食べるとかそういうところになると
(00:03:18) 結構ねこのいただきますっていう言葉はよく出てくるんじゃないかなと思います
(00:03:26) ほんとねあと まあ飲み会だと言わないかもしれないなぁ
(00:03:32) 俺もねいただきますはあの家族のね食べる時は言います ただ
(00:03:40) 友達とかまぁちょっとねあのたくさんの人が集まってそれで飲み会する時っていただきます じゃなくて飲み会だからまあ酒がメインですよね
(00:03:51) だから 酒を飲む時にみんなで乾杯するんですよ
(00:03:57) 乾杯って言ってそれで 最初にちょっとお酒を飲んでそれからご飯とかねまあご飯というか酒飲んでる
(00:04:06) からつまみみたいなのが多いんですけど つまみを食べ始めるから
(00:04:10) 乾杯がいただきますの代わりになっちゃってそれでいただきますを言わないっていうことは 結構あるような気がします
(00:04:20) なのであの いただきますがね本当によく使う言葉だと思います
(00:04:26) 特にこれはね子供だと本当に毎日しっかりいただきますって言ってると思います
(00:04:34) 今の小学校とか中学校も多分同じだと思うんですけど 中学校だとねちょっと
(00:04:42) 思春期に入るからそういうのは恥ずかしがってやんない人も出てくるかもしれませんが 小学校でね小学校ってだいたい給食があると思うんですけど
(00:04:53) 給食を食べる前に 絶対に
(00:04:58) みんなでねそのクラスみんなで一緒に手を合わせていただきますって言ってからそれから 食べると思うんですよ
(00:05:08) 多分だけどね俺の時代の時はもう100%みんなそうしてました で
(00:05:14) 子供の時に小学校だから日本の小学校6年ね 6年間毎日毎日そうやって手を合わせてみんなで一緒にいただきますって言って
(00:05:24) 昼ご飯食べるし 朝もね
(00:05:27) うちの中ではやっぱりご飯食べる時にいただきます 朝ご飯とか夜ご飯ね
(00:05:34) いうので その習慣がね大人になってからもずっと続いてるっていう人は
(00:05:40) 絶対多いと思います まあ少なくとも俺はいただきますあとごちそうさまは使います
(00:05:48) 一人で食べる時は言わないかな あの家族でみんなで一緒に食べるとかねそういう時は使います
(00:05:56) まあレストランとかではねその あんまり効かないのはもうしょうがないかなという気がします
(00:06:03) その乾杯がねいただきますの代わりになったりとか あとはその小学校とかでね
(00:06:10) 小さい子供の時からの習慣だから大人になってから大きい声でいただきますっていうのは 子供みたいでちょっと恥ずかしいっていうのもあるかもしれません
(00:06:20) あとはレストランみたいな公共の場所だとその自分の話し声とかが周りにね あんまり大きく聞こえてしまうと迷惑になるから
(00:06:30) だから その大きい声でねいただきますって言わないっていうのもあると思います
(00:06:38) まあ確かにねあの外国の人が旅行に来てそれで日本人がいただきますって言ってるのを 目にする目にするというか耳にする機会ってそんなにはないかもしれませんが
(00:06:52) でもね多分珍しくないと思いますよ結構注意して 探してみるといただきますはいろんなところで出てくると思います
(00:07:02) 例えばねあの 仕事中とかでも多分使います仕事中であの
(00:07:10) 会社にね誰かお客さんが来てそれでお客さんにお茶とか何か飲み物とか出しますよね そうすると
(00:07:19) あのもらった時はまずはあすみませんとか言うんですけど 飲む前にじゃあせませんいただきますって言ってから一言言ってから口にします
(00:07:30) そうしないとやっぱりね失礼な感じがするので だからあのそういうところではしっかりいただきます使いますし
(00:07:39) あとねレストランじゃなくて街中とか歩いててもね 例えば日本だとねあんまり食べ歩きとかはしないんですけど
(00:07:49) たこ焼きとかクレープとかそういう食べ物だと その街中にね時々小さい
(00:07:57) あの車とかで移動販売してたりとか あとはたこ焼きなんてねあのだいたい
(00:08:04) 大きいお店とかじゃなくて小さい店で あの店内で食べるところとかなくて持ち帰り専門でやっているところの方が多いから
(00:08:14) そういうのだと 持ち帰りじゃなくて店の前でちょっとベンチとかで食べるとかね
(00:08:20) そういうところでも結構食べる時にいただきますって言うと思うんですよね でえっといただきますが
(00:08:28) 普通の言葉だったらもちろんその 対になる言葉っていうかね反対に終わった時のごちそうさまっていうのもやっぱりこれは
(00:08:37) ね そんなに珍しい習慣じゃないというか今でもやっている人はたくさんいるんじゃないかなと思います
(00:08:45) 特にレストランとかでもいただきますはね そんなに周りの人に聞こえないかもしれませんがごちそうさまっていうのは
(00:08:55) 食べ終わった時っていうよりもお店を出る時ですね 食べ終わってそれでお会計してでお店を出る時にお店の人にごちそうさまでした
(00:09:06) っていう人なんかは結構多いんじゃないかなと思います 俺もねあの
(00:09:12) 一人でね外でご飯食べた時とかね まあ俺が一人で外でご飯食べるってだいたい牛丼屋とかなんですけど
(00:09:21) 牛丼屋行って食べるんですけど食べる時はいただきますは言わないんですが 帰る時にねお店の人にごちそうさまでしたって言ってから帰りますね
(00:09:34) ってことであの いただきますごちそうさま
(00:09:38) そのドラマとかで見るいただきますいただきますとごちそうさまって家の中でね みんなでご飯食べるとかそういうシーンが多いかもしれませんから
(00:09:49) 外国の人が日本に旅行に来た時って同じ場面はあんまり見ないかもしれない だからいただきますって本当に使うのかなっていうふうに思うかもしれませんが
(00:10:00) あの で特にあとレストランとかねレストランで大きい声でいただきますってあまり言わないからね
(00:10:07) だから本当にこの言葉は存在するのかって疑いたくなる気持ちもわかるんですが でもねあの
(00:10:15) 結構使いますなので日本に来て
(00:10:20) 誰かに食べ物とか飲み物を出してもらったとかね 日本の知り合いと一緒にご飯食べるとかそういう時には普通にいただきますって言っちゃって
(00:10:29) 全然問題ないと思います そんな全然使わない死語みたいなやつとかね
(00:10:35) 死語ってその 死んでしまった言葉っていう意味なんですけど
(00:10:40) 死語じゃないからいただきますって結構いろんなところで使っても全然恥ずかしくないと思います なので
(00:10:47) 日本でね何か食べるときは皆さんもいただきますとかごちそうさまでしたっていうのを 使ってみてください
(00:10:56) はいじゃあ今日はねこんなのがいただきますについてでした このメールくれた方は本当にね日本語上手なすごい上手なメールだったんですけど
(00:11:07) やっぱりそういう中級者とかね上級者とかねそういう風になっても 日本で生活してみないとわからない日本の文化とかって結構あると思うので皆さんも
(00:11:18) 何かこう疑問に思ったこととかねあったらぜひ メッセージとかメールとかください
(00:11:25) 皆さんからのメッセージいつもね楽しく読ませてもらってます 何かコメントとかもらえると嬉しいのでね
(00:11:33) いつでも待ってます大歓迎です じゃあ今日はこの辺で終わりにしたいと思いますさようなら
