ep. 168 - 不安の克服(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日はですねまたリクエストもらったんですけど
あの 日本語日本語というか外国語ですね外国語を
話すときに 間違えることを恐れちゃってそれでうまく話せない
どうしても自信が持てないどうしたらいいですかっていう まあリクエストというかねそういう質問ですね
なのでその自信が持ってない時はどうすればいいのかっていうのが今日のテーマです これはね難しいテーマですよね
あの俺もねやっぱり あの外国語の学習者の一人ですからね
日本では日本ではというか学校にいたらもちろん俺は先生としての立場で話をしているから 日本語だけなんですけどこれが旅行に行った時とか
あとはちょっと前まで何年か前は台湾に住んでましたからね そういう時にはもう俺も先生じゃなくて学習者の立場ですよね
で外国語で話をするんだけど あの
その時の気持ちっていうのはだから俺もよくわかるんですよ 例えばねえっと2年ぐらい前だとちょっとハワイに旅行に行ったのでそこでは英語を
使いますね 英語で話すのがやっぱり少し
あの怖い怖いじゃないけど まあ少し緊張する感じですよねということもあるし
台湾に住んでいる時もあの 最初ねやっぱり中国語で話すのがちょっと緊張するっていうかあのそもそも話すことすら
ね ためらってたというか
住み始めて何ヶ月かは 外で話をするなんていうことはほとんどありませんでしたからね
だからその外国語を話す時の不安とか緊張とかそういう気持ちはよくわかります じゃあねこれはねあの
どうすればいいのかっていうのは結構ね人それぞれ違うんですよやっぱり あの
最初からねもう全然日本語が話せない時からすごい下手な時から何にも気にしないで たくさん話す人もいれば
1年2年3年って長い間勉強してるけどそれでも人前で話すのがあんまり得意じゃないから ずっと不安だっていう人もいると思います
だから あの
人それぞれ 一番適したアドバイスっていうのは絶対違うんですよね
だから俺も今日提案はします ただそれがねすべての人に適しているかどうかはちょっとわかりません
8でねただすべての人に適しているかどうかはわかんないけど 多分すべての人に当てはまる
方法っていうのが一つだけあります それは何かというと
なれることです いやーなんかこれあんまりアドバイスにならないかもしれないけど
やっぱりねその 不安ってあの
それがね大丈夫だっていう 根拠っていうか自信というかねそういうものが持てない限りその不安はずっとつきまとうん
ですよ だからどうすればいいかというと
日本語で日本語というかね外国語で話をして 間違えたとしても大丈夫だっていうことがわかるまで
たくさん話をしてたくさん慣れるしかないと思うんですよね でねあの
これねちょっと 間違えるのが怖くて話せないっていう人に聞いてみたいんですけど
外国語で話すときに 文法とかね言葉とかを
間違えて 何か
悪いことありますか ねいや
間違えることがそれ自体が怖いって言われたらもうそれで終わりなんですけど 俺はねその日本人として日本語を勉強している人の話を
聞いたときにね 全然間違った日本語とか言葉とか文法とかをね間違ってても
気にしないんですよ
それはもちろんね俺が日本語の先生だからっていうのもあると思うんですけど でも
あの まあ子供の時からですねその日本語の先生になる前もずっと
あの外国の人がね日本に旅行に来てそれで日本語で話しかけたりとかしてきたときに 待ちふえても全然
あの 旅行に来たくせに
下手な日本語を使うななんて怒ったり絶対しませんからね むしろ日本語の勉強頑張ってんだな頑張って日本語で話してるんだなって思うと
逆に好意的な気持ちにすらなります
で あの
もしね間違いが多くてわかんなくても
ごめんちょっとわかんなかったそれどういう意味っていうふうに聞き返すことはあると思うん ですけど
それをねあの
