ep. 168 - 不安の克服(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:17) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:26) さて今日はですねまたリクエストもらったんですけど
(00:00:30) あの 日本語日本語というか外国語ですね外国語を
(00:00:37) 話すときに 間違えることを恐れちゃってそれでうまく話せない
(00:00:44) どうしても自信が持てないどうしたらいいですかっていう まあリクエストというかねそういう質問ですね
(00:00:51) なのでその自信が持ってない時はどうすればいいのかっていうのが今日のテーマです これはね難しいテーマですよね
(00:01:01) あの俺もねやっぱり あの外国語の学習者の一人ですからね
(00:01:08) 日本では日本ではというか学校にいたらもちろん俺は先生としての立場で話をしているから 日本語だけなんですけどこれが旅行に行った時とか
(00:01:19) あとはちょっと前まで何年か前は台湾に住んでましたからね そういう時にはもう俺も先生じゃなくて学習者の立場ですよね
(00:01:30) で外国語で話をするんだけど あの
(00:01:35) その時の気持ちっていうのはだから俺もよくわかるんですよ 例えばねえっと2年ぐらい前だとちょっとハワイに旅行に行ったのでそこでは英語を
(00:01:46) 使いますね 英語で話すのがやっぱり少し
(00:01:51) あの怖い怖いじゃないけど まあ少し緊張する感じですよねということもあるし
(00:01:59) 台湾に住んでいる時もあの 最初ねやっぱり中国語で話すのがちょっと緊張するっていうかあのそもそも話すことすら
(00:02:10) ね ためらってたというか
(00:02:14) 住み始めて何ヶ月かは 外で話をするなんていうことはほとんどありませんでしたからね
(00:02:21) だからその外国語を話す時の不安とか緊張とかそういう気持ちはよくわかります じゃあねこれはねあの
(00:02:32) どうすればいいのかっていうのは結構ね人それぞれ違うんですよやっぱり あの
(00:02:39) 最初からねもう全然日本語が話せない時からすごい下手な時から何にも気にしないで たくさん話す人もいれば
(00:02:48) 1年2年3年って長い間勉強してるけどそれでも人前で話すのがあんまり得意じゃないから ずっと不安だっていう人もいると思います
(00:03:00) だから あの
(00:03:03) 人それぞれ 一番適したアドバイスっていうのは絶対違うんですよね
(00:03:10) だから俺も今日提案はします ただそれがねすべての人に適しているかどうかはちょっとわかりません
(00:03:20) 8でねただすべての人に適しているかどうかはわかんないけど 多分すべての人に当てはまる
(00:03:31) 方法っていうのが一つだけあります それは何かというと
(00:03:37) なれることです いやーなんかこれあんまりアドバイスにならないかもしれないけど
(00:03:44) やっぱりねその 不安ってあの
(00:03:51) それがね大丈夫だっていう 根拠っていうか自信というかねそういうものが持てない限りその不安はずっとつきまとうん
(00:04:01) ですよ だからどうすればいいかというと
(00:04:06) 日本語で日本語というかね外国語で話をして 間違えたとしても大丈夫だっていうことがわかるまで
