ep. 169 - ライブ(N4)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:19) そんな人のために日本語教師のトモがちょうどいい日本語で話をします 今日は
(00:00:26) ライブについて話してくださいというリクエストをもらったので 日本でのライブの楽しみ方について話したいと思います
(00:00:40) どこの国でも 音楽を楽しむ人はたくさんいると思います
(00:00:46) 日本でもいろいろな人がいろいろな音楽を楽しんでいます それで今日はその音楽の楽しみ方ですが音楽もいろいろあって
(00:00:58) その音楽によって楽しみ方が結構違うので 今日は
(00:01:05) 俺の好きなロックについて話をしたいと思います
(00:01:11) 日本でもロックをする人、ロックを聴く人たくさんいます ロックはもともと日本の音楽じゃありませんが
(00:01:23) でも 30年ぐらい前からかな日本でもロックを聴く人がとても多くなりました
(00:01:33) それで 今日本では
(00:01:38) だいたいそうだな中学生とか高校生ぐらいになると ロックに興味を持って自分でもいろいろなロックを聴いたり
(00:01:50) あとは自分で楽器をやる人も多くなってきます それで
(00:01:58) 多分だけど 俺の周りの人だと
(00:02:03) 初めてライブを楽しむライブをするとかライブを聴くとか 初めてそのライブっていうものに参加するのは
(00:02:14) 日本だといつなのかっていうと 学校の文化祭ですね
(00:02:21) 文化祭ってまあ学校のお祭りなんですけど その学校のお祭りで
(00:02:29) ライブをする それが初めてのライブという人が
(00:02:33) 多いんじゃないかなと思います俺もそうでした 初めて見たのも自分で初めてしたのも学校のライブが初めてでした
(00:02:46) それでまあだいたい高校生ぐらいから 学校だけじゃなくて
(00:02:54) いろいろな ライブをするお店ですね
(00:02:59) ライブ なんていうかな
(00:03:03) まあライブの店ですそのライブをするお店で あの
(00:03:09) 自分たちのライブをする人が高校生ぐらいから多くなります ただ
(00:03:15) その自分たちだけ自分のバンドだけではライブはできないから 他の人と他のバンドと一緒にすることが多いですね
(00:03:26) それでその学校の文化祭とかあとはその自分たちのライブっていうのは まああまり大きくないライブですね
(00:03:37) 聞く人も少ないし 場所もあまり広くない
(00:03:43) でも日本ではもっと大きなライブもあります だいたいね夏なんですけど
(00:03:52) まあ今はねちょっとコロナでできないんですが夏になると フェスっていう音楽のお祭りを毎年いろいろなところでやります
(00:04:05) その学校の文化祭とかあとは小さいライブのお店でやるライブっていうのは 全然有名じゃない趣味で音楽をしている人のライブですけど
(00:04:18) そのフェス音楽のお祭りでやるライブっていうのは 日本の有名なバンドとか世界で有名なバンドをたくさん読んで
(00:04:30) 2日とか3日とかちょっと長い期間で 朝から夜までずっと
(00:04:37) いろんな人がライブをします そのフェスには
(00:04:43) もう毎年ね何千人何万人と人が集まって 本当に
(00:04:50) 広い場所でたくさんの人で 音楽を楽しむ大きいお祭りですね
(00:04:57) そういうふうにその自分の友達とかと趣味でライブをやって それを楽しむっていう楽しみ方もあるし
(00:05:06) プロの世界で有名の人たちのライブを楽しむっていうのもあります それから
(00:05:14) あのもっと気軽に楽しめるライブ 夏にやるフェスだと
(00:05:21) やっぱり1年に1回だけとかとても少ないし場所も遠いし 行くのにね時間もお金もかかるからあまり気軽に楽しむことができません
(00:05:35) ですからもっと気軽に楽しみたかったら そうだなバンドが聴ける
(00:05:43) バンドの音楽が聴ける 居酒屋みたいなところがあります
(00:05:49) 居酒屋とかあとはバーとかですね
(00:05:55) 居酒屋っていうのは前にこのポッドキャストでも話をしたことがありますがお酒を飲む ところですね
(00:06:02) バーもお酒を飲むところだけどバーは お酒を飲むのが中心であまり食べたりはしない居酒屋は半分ご飯半分お酒っていう感じの
(00:06:15) お店ですね そういう居酒屋とかあとはバーとかで
(00:06:21) そのライブを楽しむことができる場所もあります
(00:06:28) まあそういうね居酒屋とかで ライブをする人っていうのはやっぱり
(00:06:34) フェスに来るようなすごく有名な人じゃなくて その街の中で趣味で音楽をやってる人とかそういうのが多いんですけど
(00:06:43) まあたまにねそれでも有名な人が来たりするお店もあるので そういうので楽しむのもいいですね
(00:06:52) でそのお店でねお酒を飲むようなところで楽しむライブっていうのは 結構
(00:07:00) 気軽に お酒を飲むついでに音楽を聞くっていう感じですね
(00:07:06) だから もちろんお店の中だから天気も関係ないし
(00:07:12) お酒のついで だから
(00:07:15) そのお金もそんなに高くない それで気軽に楽しめるっていうのが多いですね
(00:07:22) ただ その
(00:07:25) ライブが聞けるお店そんなに多くはないですけどね 俺の住んでる
