ep. 170 - 日本の医療制度(N3)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日のテーマのリクエストは日本の医療制度についてです これはブラジルのお医者さんからもらったリクエストのテーマです
それじゃあですね日本の医療制度について話していきたいとおもいますが ちょっとね難しい言葉が多いですけど頑張って聞いてください
まず医療についてですけど医療っていうのはその病気や怪我の時に治すこと つまりまあ病院の仕事ですねそれが医療なんですけど
日本のこの医療の特徴というとやっぱり国民介保険ですね 国民ってまあそのつまり日本に住んでいる人ですね
そして介保険介っていうのはみんなっていうことです だから日本は日本に住んでいる人
日本に住んでいる人がみんな保険に入らなければならない それが日本の医療制度です
日本にねその留学とかねあと仕事とかで住んでいる人はみんなわかると思うんですけど 日本に来ると必ず
健康保険証っていうものをもらいます 病院に行ってその保険証を見せると
その病院で治療するお金が安くなるんです で日本ではその保険証を必ずもらうんですけどそれは必ず保険のお金をみんな払うから
なんです 日本にいる人は
その健康保険を必ず払わなければならない そして日本ではそのお金を払うからみんな保険証がもらえる
これが日本の医療制度ですね 基本的にはこの日本の医療制度その健康保険では
入っている人はね保険証を見せると 自己負担額
自己負担額っていうのは自分でお金を払う そのお金があの3割だけなんです
つまり30%ですね だから病院に行って
何か 医者に見てもらってお金が1万円かかったとしても自分で払うお金は
3000円だけでいい で普通は3割なんですけど収入が少ない
人 例えばお年寄りとかですねそういう人は3割じゃなくて2割とか
あのその人の生活に合わせて負担する額っていうのは変わります 元気でしっかり働いてしっかりお金をもらっている人は3割だけどそうじゃない人は
自分で払うお金はもっと少ない だから
日本では国民会保険すべての人が保険に入って 元気な人もねそうじゃない人もみんなこの健康保険のお金を払いますがみんな病気になった
時に払うお金は少なくて済むし 収入が少なくなっても
あの負担額が少なくなるからだから誰でも病院に行って見てもらうことができる こういうシステムです
あとはね 国の制度ではないんですけど
大体のね自治体って言って あの都道府県ですね
例えば青森県とか東京都とかね そういういろんなところで
それぞれの自治体で 子どもの医療費についてのシステムっていうのもあります
これは場所によって違うんですけどまあ大体のところが まあ子どもっていうか18歳までですね
大体高校を卒業するぐらいまで それまで医療費が全然かからないっていうところが多いです
病院に行ったりとかあとは 病院で薬を出してもらったりとかするお金が全部かからない
そういうシステムがあります
あの薬のお金かかんないって言っても自分で医者には見てもらわないで 薬局っていうかドラッグストアですね
そういうところで自分で自分の欲しい薬を買うっていう時にはお金はもちろんかかりますが
病院に行って医者に見てもらって医者にじゃあ今日はこの薬を3日分出しますねとか言って
薬を出してもらうんですけどそういう医者にもらった薬のお金はかからない そういうシステムです
でこれがね日本の医療制度についてなんですが まあこれだとねあの
元気な人もずーっとお金を健康保険のお金を払わなきゃいけないから だから
全然病気も怪我もしない人はね ちょっと損をするっていうか
お金を払いたくないっていう人もねいるかもしれませんが でもねやっぱり病気とか怪我っていつどこでなるかわからないですからね
だからあの やっぱりこのシステムって安心できていいかなと思います
それにねそんなに高くないんですねやっぱり あの
外国人っていうかまあ俺の学校にいる留学生なんかも 1ヶ月
いくらぐらいだろう1000円とか2000円とかそのぐらい であの
それだけで保険証をもらえますからね だからあの
他の国だと結構病院で見てもらう保険て高かったりとか するところもあると思うんですが
日本の猫の 保険の制度は
安くていいんじゃないかなって俺は思ってます 税金とかはねちょっと高くて嫌な時ありますけどね
この保険に関してはまあ俺はいいシステムだなって思ってます はいってことで今日はね日本の医療制度についてでした
日本ではその国民会保険 国民全員が健康保険に入らなければならないっていうそういうシステムを取ってます
んでえっとまぁちょっとね人によって働き方によって入る保険は少し変わるんです けども
まあみんな基本的には 病院に行った時に払うお金は3割だけでいい
30%だけでいいっていうのが日本の病院です 皆さんもね日本で働くとか日本に留学で来るとか
そういう時があったらこの健康保険のお金をしっかり払っておいてください さてじゃあ今日はこの辺で終わりにしたいと思いますが皆さんも他にも何か日本について
知りたいこととかあったらぜひテーマのリクエストを送ってください 皆さんからのメッセージとかコメントとか色々待ってます
それじゃあさようなら
