ep. 170 - 日本の医療制度(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:15) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:26) さて今日のテーマのリクエストは日本の医療制度についてです これはブラジルのお医者さんからもらったリクエストのテーマです
(00:00:38) それじゃあですね日本の医療制度について話していきたいとおもいますが ちょっとね難しい言葉が多いですけど頑張って聞いてください
(00:00:49) まず医療についてですけど医療っていうのはその病気や怪我の時に治すこと つまりまあ病院の仕事ですねそれが医療なんですけど
(00:01:03) 日本のこの医療の特徴というとやっぱり国民介保険ですね 国民ってまあそのつまり日本に住んでいる人ですね
(00:01:17) そして介保険介っていうのはみんなっていうことです だから日本は日本に住んでいる人
(00:01:27) 日本に住んでいる人がみんな保険に入らなければならない それが日本の医療制度です
(00:01:37) 日本にねその留学とかねあと仕事とかで住んでいる人はみんなわかると思うんですけど 日本に来ると必ず
(00:01:46) 健康保険証っていうものをもらいます 病院に行ってその保険証を見せると
(00:01:53) その病院で治療するお金が安くなるんです で日本ではその保険証を必ずもらうんですけどそれは必ず保険のお金をみんな払うから
(00:02:04) なんです 日本にいる人は
(00:02:07) その健康保険を必ず払わなければならない そして日本ではそのお金を払うからみんな保険証がもらえる
(00:02:18) これが日本の医療制度ですね 基本的にはこの日本の医療制度その健康保険では
(00:02:28) 入っている人はね保険証を見せると 自己負担額
(00:02:34) 自己負担額っていうのは自分でお金を払う そのお金があの3割だけなんです
(00:02:43) つまり30%ですね だから病院に行って
(00:02:48) 何か 医者に見てもらってお金が1万円かかったとしても自分で払うお金は
(00:02:56) 3000円だけでいい で普通は3割なんですけど収入が少ない
(00:03:04) 人 例えばお年寄りとかですねそういう人は3割じゃなくて2割とか
(00:03:12) あのその人の生活に合わせて負担する額っていうのは変わります 元気でしっかり働いてしっかりお金をもらっている人は3割だけどそうじゃない人は
(00:03:24) 自分で払うお金はもっと少ない だから
(00:03:28) 日本では国民会保険すべての人が保険に入って 元気な人もねそうじゃない人もみんなこの健康保険のお金を払いますがみんな病気になった
(00:03:39) 時に払うお金は少なくて済むし 収入が少なくなっても
(00:03:44) あの負担額が少なくなるからだから誰でも病院に行って見てもらうことができる こういうシステムです
(00:03:53) あとはね 国の制度ではないんですけど
(00:03:58) 大体のね自治体って言って あの都道府県ですね
(00:04:05) 例えば青森県とか東京都とかね そういういろんなところで
(00:04:12) それぞれの自治体で 子どもの医療費についてのシステムっていうのもあります
(00:04:20) これは場所によって違うんですけどまあ大体のところが まあ子どもっていうか18歳までですね
(00:04:30) 大体高校を卒業するぐらいまで それまで医療費が全然かからないっていうところが多いです
(00:04:40) 病院に行ったりとかあとは 病院で薬を出してもらったりとかするお金が全部かからない
(00:04:48) そういうシステムがあります
(00:04:52) あの薬のお金かかんないって言っても自分で医者には見てもらわないで 薬局っていうかドラッグストアですね
(00:05:01) そういうところで自分で自分の欲しい薬を買うっていう時にはお金はもちろんかかりますが
(00:05:07) 病院に行って医者に見てもらって医者にじゃあ今日はこの薬を3日分出しますねとか言って
(00:05:15) 薬を出してもらうんですけどそういう医者にもらった薬のお金はかからない そういうシステムです
(00:05:24) でこれがね日本の医療制度についてなんですが まあこれだとねあの
(00:05:32) 元気な人もずーっとお金を健康保険のお金を払わなきゃいけないから だから
(00:05:39) 全然病気も怪我もしない人はね ちょっと損をするっていうか
(00:05:46) お金を払いたくないっていう人もねいるかもしれませんが でもねやっぱり病気とか怪我っていつどこでなるかわからないですからね
(00:05:57) だからあの やっぱりこのシステムって安心できていいかなと思います
(00:06:05) それにねそんなに高くないんですねやっぱり あの
(00:06:11) 外国人っていうかまあ俺の学校にいる留学生なんかも 1ヶ月
(00:06:19) いくらぐらいだろう1000円とか2000円とかそのぐらい であの
(00:06:25) それだけで保険証をもらえますからね だからあの
(00:06:31) 他の国だと結構病院で見てもらう保険て高かったりとか するところもあると思うんですが
(00:06:39) 日本の猫の 保険の制度は
(00:06:42) 安くていいんじゃないかなって俺は思ってます 税金とかはねちょっと高くて嫌な時ありますけどね
(00:06:50) この保険に関してはまあ俺はいいシステムだなって思ってます はいってことで今日はね日本の医療制度についてでした
(00:07:00) 日本ではその国民会保険 国民全員が健康保険に入らなければならないっていうそういうシステムを取ってます
(00:07:10) んでえっとまぁちょっとね人によって働き方によって入る保険は少し変わるんです けども
(00:07:17) まあみんな基本的には 病院に行った時に払うお金は3割だけでいい
(00:07:23) 30%だけでいいっていうのが日本の病院です 皆さんもね日本で働くとか日本に留学で来るとか
(00:07:32) そういう時があったらこの健康保険のお金をしっかり払っておいてください さてじゃあ今日はこの辺で終わりにしたいと思いますが皆さんも他にも何か日本について
(00:07:44) 知りたいこととかあったらぜひテーマのリクエストを送ってください 皆さんからのメッセージとかコメントとか色々待ってます
(00:07:53) それじゃあさようなら
