ep. 171 - 土用丑の日(N1)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
今回はちょうどいい日本語って言っても、リクエストN1ぐらいっていうことなので、ほとんど気にせず普通の日本語で話したいと思いますが
今日はですね土曜の牛の日について教えてくださいというリクエストなので 今年の土曜の牛の日、もう終わっちゃったんですけどね
来年からのために土曜牛の日の話をしておきたいと思います じゃあねまずこの土曜って何なのかっていうと
土曜日の土曜じゃありません これはね俺も日本人だけど子供の時はずっと土曜日だと思ってました
でもそうじゃないんです。漢字も違うしね。土曜の土は 土曜日の土と同じだけど曜っていうのは
曜日の曜ですね でこの土曜の牛の日、土曜っていうのは簡単に言うと季節の変わり目です
で今は一般的には土曜牛の日っていうと夏なんですけど まあ土曜っていうと季節の変わり目だから春夏秋冬の4回ですね
で その土曜の中の牛の日、牛っていうのは
あれですねえっとですね 日本のその
都市の話をするときに まあ日本語勉強している人はね日本の文化についてある程度していると思うからわかる
と思うんですけど獣医師っていうのがありますね 牛、虎、タツミっていうやつね
ねとか動物のことですねネズミとか 今はじゃない昔からいないけど本当にいない動物とかもありますね
でその中の 牛ですね土曜っていうのはその季節の変わり目なんですけど1日だけじゃなくてある
程度長い期間 えっと2、3週間ぐらいあるんですけどその土曜の期間の中で
その獣医師が あってでその中の牛の日ですね
でこの土曜の牛の日っていうのはまあさっきも言った通り土曜ってその季節の変わり目 だから1年に4回あるんですけど
ただ あの
一般的にね今は土曜牛の日って言うと夏の土曜牛の日だけです でこの土曜牛の日夏の土曜の牛の日って言うと日本人が真っ先に思い浮かべるのが
ウナギですね これはね日本で生まれ育った人はね
土曜牛の日って言ったらウナギっていうのは もうすっごい当たり前のことで
なんかねこう俺も外国人と接する前はね 土曜牛の日って
あの何って言われて 全然ねそんなことを考えたこともなかったから
ウナギ食べる日でしょっていうそれぐらいにしか思ってなかったんですけど まあ外国の人からしたらね
は何それなんでウナギ食べんのって感じですよね えっとんでねこの
ウナギなんですけど ウナギはみんなわかるかな
ウナギってねまぁ魚ですね 魚だよねあれは魚だねヒレとかあるしね
ちょっとヘビみたいに長い形の魚なんですけどね でそのウナギを
土曜牛の日に食べるなんでウナギなのかっていうと ウナギは栄養がすごい高いから
夏の熱い日が続くとすごい疲れるんだけどでもウナギを食べれば栄養が高いから だから元気に過ごせますよっていうそういう意味でウナギを食べます
ただねこのウナギを食べるっていう話なんですけど 栄養価が高い食べ物って別にウナギに限った話じゃないんですよね
じゃあなんでウナギを食べるのかっていうと なんかね
まあいろんな説があってその中の一つだとね ウナギがなかなかね売れなくて
ウナギ屋さんが困っててその時に 夏の暑い時にウナギを食べたら元気になるっていう
そういうねキャッチコピーみたいなものを作ってそれで売り出したら すごいたくさん売れるようになってでそれから毎年毎年
土曜牛の日だからよしじゃあウナギ売ろうって言って 牛の日にウナギを食べるっていうのが習慣になっていったっていう
そういう話がねまあ今のところ有力じゃないかなと思います 俺がよく聞く話もねやっぱりそれです
んでこれねまあ最初も言った通り 日本でね生まれ育った俺にとって
もう当たり前すぎてね 何の疑問も持たなかったんですけど
なんでそんなに当たり前になったかというと土曜牛の日に 日本の牛の日に限らずか
えっと牛の日のちょっと前ぐらいからかな ちょっと前じゃないな結構前からやってるな
土曜牛の日のためのウナギの予約とかね そういうのを牛の日が近づいてくるとスーパーとかコンビニとかでやり始まって
で前日とか牛の日当日は本当にねウナギがねたくさん売られてるんですよ コンビニでもそうだしスーパーもそうだし
あのお弁当屋さんとか行ってもウナギ弁当とか出てくるしね だから
もうそれが毎年だから 土曜牛の日はウナギっていうのがもう俺にとっての当たり前の
ことなんですよ まあ日本でね
生活したことがない人には 全然馴染みのない習慣だと思いますけど
まあだいたい7月ぐらいですね土曜牛の日 そのくらいに日本に来たらこの土曜牛の日のね
ウナギのイベントが見られると思いますから あの
ぜひ皆さんも日本に来たら土曜牛の日にねウナギ食べてみてください ちなみにこのウナギですけどさっきもヘビみたいな形の魚って言いましたが
形がねヘビみたいだから嫌いだっていう人が時々います 俺はね結構
あの 魚なんだけど
なんていうんだろう食感が 柔らかくてふわっとした感じで
ねまぁ美味しいかなと思ってねあの嫌いじゃないから出されたら食べるんですけど 俺のばあちゃんなんかはね
ばあちゃんが好き嫌いなく何でも食べるんだけどウナギだけは絶対食べないって言ってるんですよ あの
あれは魚じゃなくてヘビと同じだって言ってね食べないんですよ なのでもしかしたらねこの話を聞いている人の中でも
気持ち悪くて食べたくないっていう人もいるかもしれませんが まあ形はヘビみたいだけど魚ですあの変な毒もないしね
安心して皆さんも食べてください じゃあ今日は猫の土曜牛の日の話でした
8 この土曜牛の日って宗教とか関係なく
なんていうんだろうたまたまで来た日本の習慣の一つですよね 例えばクリスマスみたいなイベントっていうのは
その宗教的な行事の一つじゃないですか だから
日本に限って日本じゃえっと そのどっか一つの国に限らずねいろんなところでやっているものですものだし
あの宗教的なイベントだから違う宗教の人には関係ないものですけど でもこの土曜牛の日は
本当にもう たまたまできたたまたまというかねそのうなぎ屋さんがうなぎ食べようって言い始めてできたもの
だから 宗教関係なく日本に住んでいる人みんなのイベント
なので 日本の外に出たら
全然関係のない全くそういうイベントがないっていうことになるので まあなかなか面白い
話じゃないかなと思います皆さんの国もどうですかねこういう 宗教とかね何もない何も関係ないんだけどなんかこうたまたまね
できたイベントみたいなのってあるでしょうか何か面白い話があったらぜひ教えてください じゃあ今日はこの辺で終わりにしたいと思いますさようなら
