ep. 172 - 「土用丑の日(N1)」]

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:13) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともが、ちょうどいい日本語で話をします。
(00:00:22) 今回はちょうどいい日本語って言っても、リクエストN1ぐらいっていうことなので、ほとんど気にせず普通の日本語で話したいと思いますが
(00:00:31) 今日はですね土曜の牛の日について教えてくださいというリクエストなので 今年の土曜の牛の日、もう終わっちゃったんですけどね
(00:00:42) 来年からのために土曜牛の日の話をしておきたいと思います じゃあねまずこの土曜って何なのかっていうと
(00:00:51) 土曜日の土曜じゃありません これはね俺も日本人だけど子供の時はずっと土曜日だと思ってました
(00:00:59) でもそうじゃないんです。漢字も違うしね。土曜の土は 土曜日の土と同じだけど曜っていうのは
(00:01:07) 曜日の曜ですね でこの土曜の牛の日、土曜っていうのは簡単に言うと季節の変わり目です
(00:01:15) で今は一般的には土曜牛の日って言うと夏なんですけど まあ土曜っていうと季節の変わり目だから春夏秋冬の4回ですね
(00:01:26) で その土曜の中の牛の日、牛っていうのは
(00:01:32) あれですねえっとですね 日本のその
(00:01:37) 都市の話をする時に まあ日本語勉強している人はね日本の文化についてある程度していると思うからわかる
(00:01:45) と思うんですけど獣医師っていうのがありますね 牛、虎、タツミっていうやつね
(00:01:50) ねとか動物のことですねネズミとか 今はじゃない昔からいないけど本当にいない動物とかもありますね
(00:02:00) でその中の 牛ですね土曜っていうのはその季節の変わり目なんですけど1日だけじゃなくてある
(00:02:08) 程度長い期間 えっと2、3週間ぐらいあるんですけどその土曜の期間の中で
(00:02:16) その獣医師が あってでその中の牛の日ですね
(00:02:21) でこの土曜の牛の日っていうのはまあさっきも言った通り土曜ってその季節の変わり目 だから1年に4回あるんですけど
(00:02:30) ただ あの
(00:02:32) 一般的にね今は土曜牛の日って言うと夏の土曜牛の日だけです でこの土曜牛の日夏の土曜の牛の日って言うと日本人が
(00:02:44) 真っ先に思い浮かべるのがウナギですね これはね日本で生まれ育った人はね
(00:02:54) 土曜牛の日って言ったらウナギっていうのは もうすっごい当たり前のことで
(00:03:00) なんかねこう俺も外国人と接する前はね 土曜牛の日って
(00:03:07) あの何って言われて 全然ねそんなことを考えたこともなかったから
(00:03:14) ウナギ食べる日でしょっていうそれぐらいにしか思ってなかったんですけど まあ外国の人からしたらね
(00:03:20) は何それなんでウナギ食べんのって感じですよね えっとんでねこの
(00:03:26) ウナギなんですけど ウナギはみんなわかるかな
(00:03:31) ウナギってねまぁ魚ですね 魚だよねあれは魚だねヒレとかあるしね
(00:03:38) ちょっとヘビみたいに長い形の魚なんですけどね でそのウナギを
(00:03:46) 土曜牛の日に食べるなんでウナギなのかっていうと ウナギは栄養がすごい高いから
(00:03:54) 夏の熱い日が続くとすごい疲れるんだけどでもウナギを食べれば 栄養が高いから
(00:04:03) だから元気に過ごせますよっていうそういう意味でウナギを食べます ただねこのウナギを食べるっていう話なんですけど
(00:04:13) 栄養価が高い食べ物って別にウナギに限った話じゃないんですよね じゃあなんでウナギを食べるのかっていうと
(00:04:22) なんかね まあいろんな説があってその中の一つだとね
(00:04:27) ウナギがなかなかね売れなくて ウナギ屋さんが困っててその時に
(00:04:35) 夏の暑い時にウナギを食べたら元気になるっていう そういうねキャッチコピーみたいなものを作ってそれで売り出したらすごいたくさん売れるよう
(00:04:45) になって でそれから毎年土曜牛の日だからよしじゃあウナギ売ろうって言ってあの
(00:04:52) 牛の日にウナギを食べるっていうのが習慣になっていったっていう そういう話がねまあ今のところ有力じゃないかなと思います
(00:05:00) 俺がよく聞く話もねやっぱりそれです でこれねまぁ最初も言った通り
(00:05:08) 日本でね生まれ育った俺にとって もう当たり前すぎてね
(00:05:14) 何の疑問も持たなかったんですけどなんでそんなに当たり前になったかというと 土曜牛の日に日本の牛の日に限らずか
(00:05:24) えっと牛の日のちょっと前ぐらいからかな ちょっと前じゃないな結構前からやってるな
(00:05:30) 土曜牛の日のためのウナギの予約とかね そういうのを牛の日が近づいてくるとスーパーとかコンビニとかでやり始まって
(00:05:40) で前日とか牛の日当日は本当にねウナギがねたくさん売られてるんですよ コンビニでもそうだしスーパーもそうだし
(00:05:51) あのお弁当屋さんとか行ってもウナギ弁当とか出てくるしね だから
(00:05:57) もうそれが毎年だから 土曜牛の日はウナギっていうのがもう俺にとっての当たり前の
(00:06:05) ことなんですよ まあ日本でね
(00:06:11) 生活したことがない人には 全然馴染みのない習慣だと思いますけど
(00:06:18) まあだいたい7月ぐらいですね土曜牛の日 そのくらいに日本に来たらこの土曜牛の日のね
(00:06:25) ウナギのイベントが見られると思いますから あの
(00:06:31) ぜひ皆さんも日本に来たら土曜牛の日にねウナギ食べてみてください ちなみにこのウナギですけどさっきもヘビみたいな形の魚って言いましたが
(00:06:43) 形がねヘビみたいだから嫌いだっていう人が時々います 俺はね結構
(00:06:51) あの 魚なんだけど
(00:06:55) なんていうんだろう食感が 柔らかくてふわっとした感じで
(00:07:00) ねまぁ美味しいかなと思ってねあの嫌いじゃないから出されたら食べるんですけど 俺のばあちゃんなんかはね
(00:07:08) ばあちゃんが好き嫌いなく何でも食べるんだけどウナギだけは絶対食べないって言ってるんですよ あの
(00:07:15) あれは魚じゃなくてヘビと同じだって言ってね食べないんですよ なのでもしかしたらねこの話を聞いている人の中でも
(00:07:23) 気持ち悪くて食べたくないっていう人もいるかもしれませんが まあ形はヘビみたいだけど魚ですあの変な毒もないしね
(00:07:32) 安心して皆さんも食べてください じゃあ今日は猫の土曜牛の日の話でした
(00:07:40) えっと この土曜牛の日って宗教とか関係なく
(00:07:47) なんていうんだろうたまたまで来た日本の習慣の一つですよね 例えばクリスマスみたいなイベントっていうのは
(00:07:56) その宗教的な行事の一つじゃないですか だから
(00:08:01) 日本に限って日本じゃえっと そのどっか一つの国に限らずねいろんなところでやっているものですものだし
(00:08:09) あの宗教的なイベントだから違う宗教の人には関係ないものですけど でもこの土曜牛の日は
(00:08:17) 本当にもう たまたまできたたまたまというかねそのうなぎ屋さんがうなぎ食べようって言い始めてできたもの
(00:08:26) だから 宗教関係なく日本に住んでいる人みんなのイベント
(00:08:32) なので 日本の外に出たら
(00:08:36) 全然関係のない全くそういうイベントがないっていうことになるので まあなかなか面白い
(00:08:45) 話じゃないかなと思います皆さんの国もどうですかねこういう 宗教とかね何もない何も関係ないんだけどなんかこうたまたまね
(00:08:54) できたイベントみたいなのってあるでしょうか何か面白い話があったらぜひ教えてください じゃあ今日はこの辺で終わりにしたいと思いますさようなら
