ep. 174 - 飲み会(N2)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともがちょうどいい日本語で話をします。
さて今日のリクエストはですね飲み会についてですね 飲み会についてどう思いますかっていう質問なのでそれに答えたいと思います
飲み会ってまあみんなわかるとは思いますけどお酒を飲む会ですね みんなで一緒にお酒を飲むのが飲み会って言うんですけど
これはね昔からの日本人の習慣ですね だいたいまあ職場の人との飲み会が多いと思うんですけど仕事が終わった後に
どっかで一緒に軽く何かを食べながらお酒を飲む それが飲み会ですね
で 昔はこの飲み会って特に職場の飲み会は
ほとんど強制参加 絶対行かなきゃいけないっていうものじゃないんだけど行かないと結構ね
周りの視線が痛い その職場にねすごい居づらくなる
だから 強制じゃないけどほとんど強制みたいなものだったんですよ
でそれがね結構頻度がね週に何回かあるとかね 多かったりする職場も昔はあったので
なのでね まあこの飲み会が嫌だっていう人なんかも結構いると思うんですけど
まあ昔はねこの飲み会ってそのほとんど強制参加みたいなものだったんですけど 最近はそうじゃない職場っていうのが結構多くなってきたんじゃないかなと思います
まあ俺の職場なんかもそうですね もともと俺の職場って飲み会すごい少ないんですよ
年に2,3回ぐらい であの
年に2,3回でかつそれも全員出席っていうことは たぶんほとんどないんじゃないですかね
用事があって行けない人なんかはすいませんその日ちょっと行けないんでって言って簡単に断れます
で断ったからといって何か悪いことがあるわけでもない でその俺の職場みたいにそういうふうにそんなに多くもないし
そして断ることも あのそんなに難しくないところっていうのが多くなっているようなイメージがあります
まあこれは 昔と今とでの
その 考え方の変化ですよね
昔はその 仕事ってだいたい5時ぐらいに終わるところが多いんですけど
その時間が終わっても残業するのは当たり前だし あの会社の人と仕事の後で一緒にね
何かお酒を飲みながらとか話をするのも大事なコミュニケーションの一つだっていう ふうに思われてた
時もありました なので強制参加あったんですけど
今は 結構ねそこが変わってきて仕事の時間が5時で終わったら
その後の時間はプライベートの時間 そのプライベートな時間を
仕事の話とかねその職場の人と一緒に過ごすっていうのは 時間がもったいない
時間を無駄にしている だからそういうのは良くないから5時になったらもうさっさと帰ってそして自分の
趣味とかねそういうことに時間を使った方がいいっていう考え方がすごく多くなって きましたね
なので 昔は飲み会って
すっごいこう断りづらかったんですけど今はねそれが大丈夫で あの断っても結構大丈夫なんですよ
でもしね断って 何かこう嫌な顔されるとか職場にすごい居づらい雰囲気になったりとか
怒られたりとかももちろんそうだし あいつは飲み会に行かないからって言ってちょっと他の人から悪く言われたりとか
そういうことをすると パワハラって言って法律違反になっちゃうんですよ
あの セクハラっていう言葉ねみんな聞いたことあるかもしれませんが
パワハラ パワーを使ってハラスメントをする
つまり自分よりも力の強い人上司とかですね その人が自分のその力ってあの職場での力ですよ
権力ですねその自分の権力を使って他の人に何か嫌がらせをしたりとか 良くないことを思い通りにやらせようっていうのがそういうのが
あのパワハラって言うんですけどそのパワハラを防ぐための法律っていうのがあるので もしね断ってそれで嫌な雰囲気になったりとか
あのそういうことがあったらそれは法律違反だからやってはいけない なので
その職場の人もね私はちょっと飲み会にはいけませんって言われても ああそうですかっていうふうにね普通にしなきゃいけないんですよ
であとはあのたまにはね飲み会に行ってもいいなっていう人もいると思うんですが このリクエストをくれた方もね私はビールが飲めないんですけど
大丈夫ですかっていうことを心配してるんですが これもね昔は
日本人はね最初はビールっていうルールみたいなものがあったんですよ 暗黙の了解って言うんですけどどこかにそういうルールが書いてあるわけじゃないけど
でもみんなでなんとなくそれをやらなきゃいけないなと思ってそういうふうにしてること それで最初の1杯目はみんなビールを飲まなきゃいけないっていう
ねそういう ルールじゃないけどそれがあったんですけど今はねビール苦手だからって言って最初から
ビールじゃないお酒を飲んだりとかあとはちょっと今日は 体調があんまり良くないからお酒はやめときますって言ってソフトドリンク
アルコールが入ってないものですね 普通のジュースとかそういうのそういうのを飲むっていう人も
今はね昔と比べて結構いるんじゃないかなと思います まあうちの職場の飲み会でもね最初にビールを飲むっていう人は
半分か もしかしたらもうちょっと少ないかもしれません
俺なんかはね甘いお酒ってあんまり好きじゃないから あのほとんどね
最初は絶対ビールででその後もあの 甘くないハイボールとかねそういうお酒を飲むんですけど
やっぱり逆にその苦いお酒っていうのが苦手だからって言ってビールとかは全然 飲まないでちょっと甘いカクテルみたいなのとかをずっと飲む人っていうのもいます
なので まあそうだね20年前とか30年前そのぐらいだったら
飲み会についてちょっと心配した方がいいかもしれませんが 今はねそんなに心配しなくてもいいんじゃないかなっていう気がします
まあさっきも言ったけどその 嫌がることをするパワハラっていうのが法律で禁止されてて昔と比べて
すごいねあの法律とかで従業員が守らず守られている ところが
多いかなという気がします多いかなっていうか法律があるんだから働く人はね 守られなきゃいけないんですよ
だからあの まあ昔のその日本の飲み会がすごい
たくさんあって絶対行かなきゃいけないみたいな その飲み会しか知らない人はちょっと心配するかもしれませんが意外とね
最近の飲み会は大丈夫です 頻度も少ないし断ることもできるし言ってもね昔ほどその
いろんな強制とかがないと思います最初はビールとかね その
