ep. 178 - 宗教(N3)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。
そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
さて今日もリクエストをもらっています。 今日は日本人の宗教についての考え方についてリクエストをもらいました。
まあ今までねこの宗教に関係がある トピックっていうのは何回かあったんですけど
やっぱりねあの日本人の宗教についての考え方って 他の国の人から見るとちょっと不思議な
ところはあるかもしれませんね 逆にね日本人から見て他の国の人の宗教ってすごい不思議だなっていうこともあるんですよもちろん
だからやっぱりね国とかその文化が違うと お互いのね文化ってすごく不思議に見えるものなんですよね
んで今日のリクエストでその 不思議に思われてたことって何かって言うと
日本人は そのいろんな宗教が混ざるっていうのがなかなかね理解できないみたいですね
その例として出されてたのが 日本では神道の家に生まれて
そしてカトリックの人と結婚をして そして死んだ後は仏教のやり方でお葬式をしたりとかねお墓を作ったりする
もう生まれてから死ぬまでいろんな宗教が全部混ざっている これがねやっぱり不思議みたいですね
日本人の俺からするとね まあ日本人というかその日本で生まれ育った
俺の考え方としては 今みたいな話は全然不思議じゃないんですよ
これはやっぱりねその日本人の昔からの神様についての考え方なんですけど 日本って
神様一人じゃないんですよ たくさんいる 前に神道のエピソードの時にも話しましたけど
神道って八百万の神様って言って とにかく神様がねたくさんいるんです
いろんなものに神様がいる だから自分の宗教の神様だけじゃなくて他の宗教の神様も受け入れるんですよ
だから 自分の宗教だけじゃなくて他の国から宗教が入ってきた時に
自分の宗教もあるけどでもそっちの宗教 他の宗教の神様も一緒に信じようっていう
そういう考え方なんですよね 特に日本では神道と仏教っていうのはもう昔からずっと日本にあったもので
この2つはねほとんどね 一緒になっているようなものですね
もちろんちゃんと別々にね神道だけ仏教だけっていう人もたくさんいますけど でも神道と仏教一緒に考えている人も結構たくさんいると思います
実は俺も子供の時ね子供っていうか中学校とか高校生とかそのぐらいまで 神社とお寺の違いってよくわかりませんでした
神道も仏教も同じようなものだろうって思ってました だからとにかくね日本で生活をしていると
神様は一人じゃないたくさんいる だからどんな宗教でも
あの 一緒にしちゃっても大丈夫っていう考え方がすごい強いんじゃないかなと思います
で 結構ねこの宗教について日本人に話を聞くと
いや俺は宗教は何もない神様なんて信じてないっていう人とかが 結構ね多いとは思うんですけど
これはねあの なんていうかな
ちょっと違うんじゃないかなとは思います 日本人はね何か一つの宗教を信じているわけじゃないんだけど
でも例えば神社とかお寺とかね そういうところの
まあそういう例えば神社とかお寺の中のねその建物の中を
汚したりとか なんか
お寺の奥にしまってあるものを勝手に開けてみたりとか そういうことは
絶対できないっていう 考え方の日本人はね結構多いんじゃないかなと思います
他にもね例えばお墓とかね あの
日本にあるお墓ってまあ仏教のお墓がすごく多いと思うんですけど 例えばお墓の上にね
立ったり座ったりとか そういうことをすると
あの 神様じゃないですけどねその亡くなった人に申し訳ないっていうような
そういう意識はみんなすごく強いと思います だから
何か一つの宗教神様誰か一人を信じているわけじゃないけど その神社とかお寺を汚しちゃいけないとかそれを大切にしなきゃいけないとか
お墓を大切にするとかね そういう考え方は結構あるから
だからそういう意味では日本人は宗教っていうのはあるんじゃないかなと思ってます ただ何か一つではない
全部一緒に何でもこいっていう感じですね 仏教も神道もキリスト教も全部信じると
これが日本人の宗教に対しての考え方で一番多いんじゃないかなと思います 多分ですけどね
まあ俺はね本当にもうそういう感じで
何か一つ選べって言われたら俺は神道です ただ
あの お寺に行くのも全然抵抗がありません
お寺に行ってねお巡りとかもできるし教会に入ることもできます だからやっぱりそういうところは日本人としての感覚が強いなあっていうふうに思ってます
じゃあこれがねその 前にも同じような話はしたことはありますが日本人のその宗教についての考え方ですね
違う国の人で特にね何か一つの宗教だけをずっと信じている人にとってはこの考え方ってね すごい理解できないかもしれないんですけど
やっぱり日本人にとっては逆ですね何か一つの宗教ずっと持ってる人っていうのは 理解できないというか不思議な感じがしますね
これも文化の違いですね はいじゃあ今日は宗教についての話でしたが他にもこういうふうにね
日本人の考え方とか感覚とか何か不思議なところがあって話を聞いてみたいっていうのが あったらぜひリクエストで送ってください
皆さんからのリクエスト待ってます じゃあ今日はこれで終わりにしたいと思いますさようなら
