ep. 178 - 宗教(N3)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。
(00:00:28) そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:34) さて今日もリクエストをもらっています。 今日は日本人の宗教についての考え方についてリクエストをもらいました。
(00:00:44) まあ今までねこの宗教に関係がある トピックっていうのは何回かあったんですけど
(00:00:53) やっぱりねあの日本人の宗教についての考え方って 他の国の人から見るとちょっと不思議な
(00:01:03) ところはあるかもしれませんね 逆にね日本人から見て他の国の人の宗教ってすごい不思議だなっていうこともあるんですよもちろん
(00:01:16) だからやっぱりね国とかその文化が違うと お互いのね文化ってすごく不思議に見えるものなんですよね
(00:01:26) んで今日のリクエストでその 不思議に思われてたことって何かって言うと
(00:01:33) 日本人は そのいろんな宗教が混ざるっていうのがなかなかね理解できないみたいですね
(00:01:43) その例として出されてたのが 日本では神道の家に生まれて
(00:01:50) そしてカトリックの人と結婚をして そして死んだ後は仏教のやり方でお葬式をしたりとかねお墓を作ったりする
(00:02:02) もう生まれてから死ぬまでいろんな宗教が全部混ざっている これがねやっぱり不思議みたいですね
(00:02:12) 日本人の俺からするとね まあ日本人というかその日本で生まれ育った
(00:02:19) 俺の考え方としては 今みたいな話は全然不思議じゃないんですよ
(00:02:26) これはやっぱりねその日本人の昔からの神様についての考え方なんですけど 日本って
(00:02:36) 神様一人じゃないんですよ たくさんいる 前に神道のエピソードの時にも話しましたけど
(00:02:45) 神道って八百万の神様って言って とにかく神様がねたくさんいるんです
(00:02:52) いろんなものに神様がいる だから自分の宗教の神様だけじゃなくて他の宗教の神様も受け入れるんですよ
(00:03:03) だから 自分の宗教だけじゃなくて他の国から宗教が入ってきた時に
(00:03:10) 自分の宗教もあるけどでもそっちの宗教 他の宗教の神様も一緒に信じようっていう
(00:03:19) そういう考え方なんですよね 特に日本では神道と仏教っていうのはもう昔からずっと日本にあったもので
(00:03:29) この2つはねほとんどね 一緒になっているようなものですね
(00:03:35) もちろんちゃんと別々にね神道だけ仏教だけっていう人もたくさんいますけど でも神道と仏教一緒に考えている人も結構たくさんいると思います
(00:03:47) 実は俺も子供の時ね子供っていうか中学校とか高校生とかそのぐらいまで 神社とお寺の違いってよくわかりませんでした
(00:03:59) 神道も仏教も同じようなものだろうって思ってました だからとにかくね日本で生活をしていると
(00:04:08) 神様は一人じゃないたくさんいる だからどんな宗教でも
(00:04:15) あの 一緒にしちゃっても大丈夫っていう考え方がすごい強いんじゃないかなと思います
(00:04:24) で 結構ねこの宗教について日本人に話を聞くと
(00:04:30) いや俺は宗教は何もない神様なんて信じてないっていう人とかが 結構ね多いとは思うんですけど
(00:04:40) これはねあの なんていうかな
(00:04:45) ちょっと違うんじゃないかなとは思います 日本人はね何か一つの宗教を信じているわけじゃないんだけど
(00:04:54) でも例えば神社とかお寺とかね そういうところの
(00:04:59) まあそういう例えば神社とかお寺の中のねその建物の中を
(00:05:07) 汚したりとか なんか
(00:05:11) お寺の奥にしまってあるものを勝手に開けてみたりとか そういうことは
(00:05:17) 絶対できないっていう 考え方の日本人はね結構多いんじゃないかなと思います
(00:05:24) 他にもね例えばお墓とかね あの
(00:05:29) 日本にあるお墓ってまあ仏教のお墓がすごく多いと思うんですけど 例えばお墓の上にね
(00:05:37) 立ったり座ったりとか そういうことをすると
(00:05:41) あの 神様じゃないですけどねその亡くなった人に申し訳ないっていうような
(00:05:49) そういう意識はみんなすごく強いと思います だから
(00:05:55) 何か一つの宗教神様誰か一人を信じているわけじゃないけど その神社とかお寺を汚しちゃいけないとかそれを大切にしなきゃいけないとか
(00:06:06) お墓を大切にするとかね そういう考え方は結構あるから
(00:06:12) だからそういう意味では日本人は宗教っていうのはあるんじゃないかなと思ってます ただ何か一つではない
(00:06:21) 全部一緒に何でもこいっていう感じですね 仏教も神道もキリスト教も全部信じると
(00:06:29) これが日本人の宗教に対しての考え方で一番多いんじゃないかなと思います 多分ですけどね
(00:06:38) まあ俺はね本当にもうそういう感じで
(00:06:43) 何か一つ選べって言われたら俺は神道です ただ
(00:06:48) あの お寺に行くのも全然抵抗がありません
(00:06:54) お寺に行ってねお巡りとかもできるし教会に入ることもできます だからやっぱりそういうところは日本人としての感覚が強いなあっていうふうに思ってます
(00:07:08) じゃあこれがねその 前にも同じような話はしたことはありますが日本人のその宗教についての考え方ですね
(00:07:20) 違う国の人で特にね何か一つの宗教だけをずっと信じている人にとってはこの考え方ってね すごい理解できないかもしれないんですけど
(00:07:33) やっぱり日本人にとっては逆ですね何か一つの宗教ずっと持ってる人っていうのは 理解できないというか不思議な感じがしますね
(00:07:43) これも文化の違いですね はいじゃあ今日は宗教についての話でしたが他にもこういうふうにね
(00:07:51) 日本人の考え方とか感覚とか何か不思議なところがあって話を聞いてみたいっていうのが あったらぜひリクエストで送ってください
(00:07:59) 皆さんからのリクエスト待ってます じゃあ今日はこれで終わりにしたいと思いますさようなら
