ep. 179 - 台湾の経験(N3)

皆さんこんにちはトモですこれは日本語の勉強をしている人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて今日はですねリクエストをもらったんですけど 台湾での
その経験とかね生活について話してくださいということなんですが まあ今までね何回かその台湾でのね
何だろう例えばカルチャーショックだったりとかねそういうこととかも話してきたので 今日は
台湾っていうかねあの外国で暮らすっていうことについて ちょっと話をしてみたいと思います
外国っていうかまあつまり違う文化の中で生活するということですね 今まで
外国で生活したことがある人って そんなに多くはないと思うんですけど昔と比べたらね今は外国に行きやすくなったから
その留学だったりとかねその違う国に行って仕事をするとかそういう人増えてきた と思うんですけど
でも日本では日本ではっていうかまあ俺の周りですね 俺の周りでは日本語教師以外の人だと
海外で生活したことがある人っていうのはまだまだねとても少ないと思います 日本語教師はね海外に行ったことある人の方が多いんですけどね
であのまあどちらかというとその珍しい経験なので その経験を
あの その経験したことによってどんな
変化があったかとかねそういうことについてちょっと話したいと思います でねじゃあまずはその違う文化で生活するっていうのは
どうだったかっていうと これはね台湾じゃなくてもどこの国に行っても同じだと思うんですけど
最初は楽しいです
最初はね
あのねやっぱり新しいものばかりだから周りにあるものがね だから
もう目にするもの あの見るもの聞くものすべてが新しいからすごい新鮮で面白いんですよ
ただね 最初は楽しいんですけどだんだん疲れてきます
やっぱり自分の国とこう考え方とかねもうすべてが違うから だからね
疲れるんですよ 台湾はね日本と近いし
あの 結構ね似てる文化とかもあるから
だからねまだ良かったと思うんですけど日本人にはすごい馴染みやすい国だと思うん ですけどそれでもね
ちょっと 日本と違うなと思って疲れることはありましたね
ただねそれもね最初は楽しくてだんだん疲れてきて嫌になってくるんですけど その後でね台湾の生活に慣れてくると
これはこれでいいなって思うようになります
あの 違う国に行ってそしてねその
楽しいとか逆に嫌だって思うことをカルチャーショックって言うんですけど 日本に帰ってきて
逆カルチャーショック 日本のこういうとこは嫌だなって自分の国なのに思っちゃうことを逆カルチャーショックって言うん
ですけど やっぱりね
4年3年とか4年とかねある程度長い期間 暮らしていると逆カルチャーショックってのもあるんですよ
そんなにね俺はその日本に帰ってきた時に嫌だなって思うほどではなかったけど なんでこんなことするんだろうってねすごい思ったのが
すみませんっていう言葉ですね 今は俺もね日本に帰ってきてもう結構長いしもともと日本人だからね
その日本語で話すことに全然抵抗もないし 普通になってるんだけどでもね日本に帰ってきたばかりの時って
日本人がねすっごいいろんなところですいませんすいませんすいませんっていうのが なんでこんなに謝ってんだろうって思っちゃったことがあります
俺も日本人なのにね多分今だとね俺も結構すいませんという言葉を使うんだと思うん ですけど
でもね まあこれが一番印象に残った逆カルチャーショックですね
あとはねカルチャーショックじゃないんだけど日本に帰ってきた時に嫌だなと思ったのは 消費税が高くなってたことですね
ちょうど俺が日本にいない時に消費税が高くなってたから いろんなものがねすごい高くなってて
なんか嫌な感じでした でまぁちょっとこれは日本に帰ってきた時の話なのでまた海外の生活とは別ですけど
とにかくねそのカルチャーショックって言って最初は楽しいでも後で嫌になってくる でその後でまたそれに慣れてきてそっちの生活が普通になってくる
そうすると すごいねこれは
あの俺はね良い経験だったと思うことがあるんですけど 考え方の幅が
めちゃくちゃ広がります
昔だったらねその例えば日本にいる時ね 海外の生活っていうものを全く知らない時に
台湾の 働き方を見たらね
なんだこれ この人らこんなことしてていいのって思うことって多分あったと思うんですよ
それが何かっていうとあの コンビニとかのねお店の人がお客さんいない時に座ってたりとかちょっと
携帯見たりとかご飯食べてたりとか それってね日本じゃありえないんですよ
ただ その
考え方をちょっと変えるとねお客さんいない時に別に座ってても何も問題ないですね それは他に仕事があるんだったらね何も仕事しないであのずっと座ってたらダメですけど
でも あの例えばコンビニの仕事だと商品も出し終わって掃除も終わって本当に何もやることが
ないってなった時に別にちょっとぐらい座っててもいいじゃんって思うんですよね だから
あのそういうふうに同じ仕事っていうものに対しての考え方っていうのが すごいいろんな角度から見られるようになって
それでねあの なんだろう人間としての幅が広がった気がしますね
あとね あのこれは台湾の生活だけではないんですけどね
今の仕事もいろんな国の人と接する機会が多いからそれももちろん影響はしてるんですが 自分の
その自分の国にない文化とか習慣とかねそういうものを受け入れやすくなった気がします
これね今の世の中すっごい大事なスキルだと思うんですけど ずーっとね日本の中で暮らしていて日本人とだけ生していた人って
違う文化とか違う習慣て 結構ね受け入れがたいものが多いと思うんですよ
でも今日本にたくさん外国人も入ってきていろんな国の人と接することが多くなったと思う ので
それなのにその違う文化とかを全く受け入れられないってなると もう日本で生活してるのにストレスがすごいと思うんですよね
で俺は結構ね やっぱり慣れてきて
