ep. 179 - 台湾の経験(N3)

(00:00:00) 皆さんこんにちはトモですこれは日本語の勉強をしている人のためのポッドキャストです
(00:00:17) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:27) さて今日はですねリクエストをもらったんですけど 台湾での
(00:00:33) その経験とかね生活について話してくださいということなんですが まあ今までね何回かその台湾でのね
(00:00:42) 何だろう例えばカルチャーショックだったりとかねそういうこととかも話してきたので 今日は
(00:00:51) 台湾っていうかねあの外国で暮らすっていうことについて ちょっと話をしてみたいと思います
(00:01:01) 外国っていうかまあつまり違う文化の中で生活するということですね 今まで
(00:01:09) 外国で生活したことがある人って そんなに多くはないと思うんですけど昔と比べたらね今は外国に行きやすくなったから
(00:01:19) その留学だったりとかねその違う国に行って仕事をするとかそういう人増えてきた と思うんですけど
(00:01:25) でも日本では日本ではっていうかまあ俺の周りですね 俺の周りでは日本語教師以外の人だと
(00:01:35) 海外で生活したことがある人っていうのはまだまだねとても少ないと思います 日本語教師はね海外に行ったことある人の方が多いんですけどね
(00:01:48) であのまあどちらかというとその珍しい経験なので その経験を
(00:01:55) あの その経験したことによってどんな
(00:02:00) 変化があったかとかねそういうことについてちょっと話したいと思います でねじゃあまずはその違う文化で生活するっていうのは
(00:02:11) どうだったかっていうと これはね台湾じゃなくてもどこの国に行っても同じだと思うんですけど
(00:02:19) 最初は楽しいです
(00:02:23) 最初はね
(00:02:26) あのねやっぱり新しいものばかりだから周りにあるものがね だから
(00:02:31) もう目にするもの あの見るもの聞くものすべてが新しいからすごい新鮮で面白いんですよ
(00:02:40) ただね 最初は楽しいんですけどだんだん疲れてきます
(00:02:47) やっぱり自分の国とこう考え方とかねもうすべてが違うから だからね
(00:02:54) 疲れるんですよ 台湾はね日本と近いし
(00:02:59) あの 結構ね似てる文化とかもあるから
(00:03:03) だからねまだ良かったと思うんですけど日本人にはすごい馴染みやすい国だと思うん ですけどそれでもね
(00:03:11) ちょっと 日本と違うなと思って疲れることはありましたね
(00:03:17) ただねそれもね最初は楽しくてだんだん疲れてきて嫌になってくるんですけど その後でね台湾の生活に慣れてくると
(00:03:28) これはこれでいいなって思うようになります
(00:03:32) あの 違う国に行ってそしてねその
(00:03:37) 楽しいとか逆に嫌だって思うことをカルチャーショックって言うんですけど 日本に帰ってきて
(00:03:47) 逆カルチャーショック 日本のこういうとこは嫌だなって自分の国なのに思っちゃうことを逆カルチャーショックって言うん
(00:03:54) ですけど やっぱりね
(00:03:57) 4年3年とか4年とかねある程度長い期間 暮らしていると逆カルチャーショックってのもあるんですよ
(00:04:06) そんなにね俺はその日本に帰ってきた時に嫌だなって思うほどではなかったけど なんでこんなことするんだろうってねすごい思ったのが
(00:04:16) すみませんっていう言葉ですね 今は俺もね日本に帰ってきてもう結構長いしもともと日本人だからね
(00:04:26) その日本語で話すことに全然抵抗もないし 普通になってるんだけどでもね日本に帰ってきたばかりの時って
(00:04:35) 日本人がねすっごいいろんなところですいませんすいませんすいませんっていうのが なんでこんなに謝ってんだろうって思っちゃったことがあります
(00:04:45) 俺も日本人なのにね多分今だとね俺も結構すいませんという言葉を使うんだと思うん ですけど
(00:04:52) でもね まあこれが一番印象に残った逆カルチャーショックですね
(00:04:59) あとはねカルチャーショックじゃないんだけど日本に帰ってきた時に嫌だなと思ったのは 消費税が高くなってたことですね
(00:05:08) ちょうど俺が日本にいない時に消費税が高くなってたから いろんなものがねすごい高くなってて
(00:05:15) なんか嫌な感じでした でまぁちょっとこれは日本に帰ってきた時の話なのでまた海外の生活とは別ですけど
(00:05:26) とにかくねそのカルチャーショックって言って最初は楽しいでも後で嫌になってくる でその後でまたそれに慣れてきてそっちの生活が普通になってくる
(00:05:36) そうすると すごいねこれは
(00:05:40) あの俺はね良い経験だったと思うことがあるんですけど 考え方の幅が
(00:05:48) めちゃくちゃ広がります
(00:05:51) 昔だったらねその例えば日本にいる時ね 海外の生活っていうものを全く知らない時に
(00:06:00) 台湾の 働き方を見たらね
(00:06:05) なんだこれ この人らこんなことしてていいのって思うことって多分あったと思うんですよ
(00:06:13) それが何かっていうとあの コンビニとかのねお店の人がお客さんいない時に座ってたりとかちょっと
(00:06:22) 携帯見たりとかご飯食べてたりとか それってね日本じゃありえないんですよ
(00:06:31) ただ その
(00:06:35) 考え方をちょっと変えるとねお客さんいない時に別に座ってても何も問題ないですね それは他に仕事があるんだったらね何も仕事しないであのずっと座ってたらダメですけど
(00:06:48) でも あの例えばコンビニの仕事だと商品も出し終わって掃除も終わって本当に何もやることが
(00:06:56) ないってなった時に別にちょっとぐらい座っててもいいじゃんって思うんですよね だから
(00:07:04) あのそういうふうに同じ仕事っていうものに対しての考え方っていうのが すごいいろんな角度から見られるようになって
(00:07:13) それでねあの なんだろう人間としての幅が広がった気がしますね
(00:07:21) あとね あのこれは台湾の生活だけではないんですけどね
(00:07:28) 今の仕事もいろんな国の人と接する機会が多いからそれももちろん影響はしてるんですが 自分の
(00:07:38) その自分の国にない文化とか習慣とかねそういうものを受け入れやすくなった気がします
(00:07:48) これね今の世の中すっごい大事なスキルだと思うんですけど ずーっとね日本の中で暮らしていて日本人とだけ生していた人って
(00:07:58) 違う文化とか違う習慣て 結構ね受け入れがたいものが多いと思うんですよ
(00:08:07) でも今日本にたくさん外国人も入ってきていろんな国の人と接することが多くなったと思う ので
(00:08:15) それなのにその違う文化とかを全く受け入れられないってなると もう日本で生活してるのにストレスがすごいと思うんですよね
