ep. 184 - 上級国民(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
はいじゃあ今日はですねえっとリクエストもらったんですが 上級国民っていう言葉についてね話をしてくださいっていうそういうリクエストですね
えっとこれはね日本のニュースを見てる人じゃないと ちょっとね聞いたことがないかもしれませんが
ちょっと前までね上級国民っていう言葉が よく使われる事件がありました
これはね事件っていうか事故なんですけど えっと何年前だっけな2年ぐらい前に
日本のね東京の池袋っていうところで車の事故があったんですよ で
その事故で たくさんの人が怪我をしたり亡くなったりしたんですがその事故を起こした人が
ちょっとね偉い人で まあ昔すごいことをした人でそれで事故を起こしたのに逮捕されなかった
でそれは何でかっていうとその人が偉い人だから だから普通の人とは違うあの人は上級国民だから逮捕されなかったんだって言って
それであの日本でねいろんな人が 日本はその上級国民とかまあ上級とか普通とかね
そういう身分の差っていうのはないはずなのになんでそういう特別扱いを受ける人が いるんだって言っていろんな人が文句を言ってたんですよ
それがこの上級国民っていうのが最近よく使われた使われていたっていう話です でね
あの じゃあこの上級国民ねその日本では上級国民っていうものがそういう立場が本当にあるの
かっていうと これはもうはっきり言っておきますがありません
日本では あの身分のねさっていうものは基本的にはないんですよ
みんな平等でなければならないそういう考え方が日本にはあります じゃあみんな平等なのになんでそういう特別扱いをされる人がいるのかって
いうことなんですが この
事件についてはそのね えっと特に上級国民っていうのが
どうしてそんな風に言われたかっていうとこれは似たような事故を起こした人が他にも いるのにその人は逮捕されてその池袋の事故の人だけは逮捕されなかったって
いうことがあるからなんですよ なんかね似たような車の事故でねその運転していて運転
ミスであの事故を起こしてそして誰かが亡くなってしまったっていうね そういう事故が
実は近い時期にも結構あったんですけど だいたいだいたいっていうかまあほぼ全てだね
あの大きな事故を起こした時って運転してた人は逮捕されるんですよ1回 でそれなのにもうほぼ同じような条件で事故を起こして
むしろその池袋の事故の方がひどい事故だったっていう部分もあるんですけど それなのに逮捕されなかった
まあこういう事実があってであの偉い人は逮捕されない 普通の人とは違う特別扱いされている上級国民だなんていうふうに言われてたんですよ
でねあの 実際には日本にはそのね
あの身分の違いっていうのはないはずなのに その逮捕されないっていうつまり扱いが違ったっていうのは
まあね日本人としては 納得のいかないところなんですよねでねじゃあその
上級国民だから特別扱いされる 偉い人は逮捕はされないっていうことが本当にありえるのかっていうと
まあこれはねあり得るみたいなんですよ あの
身分によって猫差別とか特別扱いがあるっていうのは あってはいけないし日本人もね日本国民もそれは全然納得いかないんだろうけど
逮捕する時の 条件っていうかまあいろいろね決まりみたいなものがあって
逮捕っていうのは何か悪いことをした時にその犯人が 逃げてしまう恐れがある時とかね
あのそういう時には逃げられないように逮捕するけど でも逃げる心配がない時にはまあそれはね
あの逃げられないように逮捕するんだから逃げる心配がないなら逮捕はしなくてもいい で
その上級国民っていうものはないんだけど身分の違いっていうのはないんだけどでもね 偉い人とか有名な人とかはどこに行っても逃げられるものではない
あの 例えばねその今まですごいいろんな功績があっていろんな
実績を残した人なんかは 逃げたらそういうのが全てなくなってしまうから心理的にも逃げられないっていうのもあるし
有名な人だからどこに行ってもすぐに見つかってしまう だから逃げられない
そういうことがあるからだから なんかね有名な人なんかは
逃げられないからまあ逃げる心配はないだろう っていうことで逮捕がされないらしいんですよ
まあ確かにねこの説明 聞くとちょっとね納得というかなるほどなって思う部分はありますが
それでもやっぱり あの
逮捕されないっていうのは 特別扱いじゃないかそんなことしていいのかって言って納得がいかない人がすごく多かった
ため その上級国民っていう言葉がよくね言われるようになったと
そういう話です
ちょっとあの長くて難しい 説明になってしまいましたがまあ一応ねこれでその上級国民という言葉の説明は終わり
なんですが 説明だけじゃなくてねじゃあ俺がそれについてどう思うのかっていうコメントを
ちょっと付け足しておくと まあ日本ではねその
身分とかそういうものがないから 上級国民というものも
存在しないというかしてはいけないというふうに俺は思うんですが まあねこの
身分はみんな平等だったとしても人によってこういろいろと なんだろう扱いっていうかねそういうものが変わるっていうのは
ありますよねそんな多分どこの国でもあるとは思うんですが あの例えば
首相みたいな偉い人とかね あとは有名な会社の
社長だったりとかすごくねお金がある人とか あの社会的にね地位のある人っていうのは
いろんなところで はっきりは見えなかったとしてもね特別扱いっていうのはやっぱりされてしまい
ますよね よくないんだろうけどね
まあ日本ではねその そういうね目にはっきり見えない
なんだろう制度じゃなくて習慣というかねそういうのも あるんだけどでもそういうのを一人一人が
変えられるように その日本の政治っていうのはすべての国民がね参加できるようなシステムを作って
はいるので だから
その やばいちょっと話がねいろんなところに広がってきちゃったけど上級国民ということについて
俺がどう思うかっていうと あってはならないけどでも実際にはそういう特別扱いっていうのがあるだろう
から できるだけねそういうのがなくなるようにみんなで平等な
世の中をね作っていけるようにしっかりと あの一人一人がそういうことはダメだっていうのを意識して
その上で日本だと 選挙っていうのがあって政治に参加できるようになってるからみんなで国のこと考えて
いろんなことをしていかなきゃいけないんだろうなと思います はいちょっと難しい話になってきてしまいましたが
こんなところが あの俺の上級国民についてのコメントです
8 まあこういうねあのニュースの話題とかも時々はいいですね
日本のニュース見てる人には あのニュースだけじゃなくてそれについてね他の人がどう思っているのかっていう話を
聞く機会っていうのも大事だと思うので時々こうやって なんかね日本の出来事とかについても話していけたらいいなと思います
はいじゃあ今日はあのこの辺で終わりにしたいと思いますがまたね何かリクエストとか あったらぜひ皆さんもコメントメッセージ送ってください待ってます
それじゃあさようなら
