ep. 184 - 上級国民(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:14) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:24) はいじゃあ今日はですねえっとリクエストもらったんですが 上級国民っていう言葉についてね話をしてくださいっていうそういうリクエストですね
(00:00:36) えっとこれはね日本のニュースを見てる人じゃないと ちょっとね聞いたことがないかもしれませんが
(00:00:46) ちょっと前までね上級国民っていう言葉が よく使われる事件がありました
(00:00:54) これはね事件っていうか事故なんですけど えっと何年前だっけな2年ぐらい前に
(00:01:03) 日本のね東京の池袋っていうところで車の事故があったんですよ で
(00:01:09) その事故で たくさんの人が怪我をしたり亡くなったりしたんですがその事故を起こした人が
(00:01:17) ちょっとね偉い人で まあ昔すごいことをした人でそれで事故を起こしたのに逮捕されなかった
(00:01:28) でそれは何でかっていうとその人が偉い人だから だから普通の人とは違うあの人は上級国民だから逮捕されなかったんだって言って
(00:01:40) それであの日本でねいろんな人が 日本はその上級国民とかまあ上級とか普通とかね
(00:01:49) そういう身分の差っていうのはないはずなのになんでそういう特別扱いを受ける人が いるんだって言っていろんな人が文句を言ってたんですよ
(00:01:59) それがこの上級国民っていうのが最近よく使われた使われていたっていう話です でね
(00:02:07) あの じゃあこの上級国民ねその日本では上級国民っていうものがそういう立場が本当にあるの
(00:02:15) かっていうと これはもうはっきり言っておきますがありません
(00:02:21) 日本では あの身分のねさっていうものは基本的にはないんですよ
(00:02:27) みんな平等でなければならないそういう考え方が日本にはあります じゃあみんな平等なのになんでそういう特別扱いをされる人がいるのかって
(00:02:40) いうことなんですが この
(00:02:44) 事件についてはそのね えっと特に上級国民っていうのが
(00:02:50) どうしてそんな風に言われたかっていうとこれは似たような事故を起こした人が他にも いるのにその人は逮捕されてその池袋の事故の人だけは逮捕されなかったって
(00:03:02) いうことがあるからなんですよ なんかね似たような車の事故でねその運転していて運転
(00:03:10) ミスであの事故を起こしてそして誰かが亡くなってしまったっていうね そういう事故が
(00:03:17) 実は近い時期にも結構あったんですけど だいたいだいたいっていうかまあほぼ全てだね
(00:03:26) あの大きな事故を起こした時って運転してた人は逮捕されるんですよ1回 でそれなのにもうほぼ同じような条件で事故を起こして
(00:03:37) むしろその池袋の事故の方がひどい事故だったっていう部分もあるんですけど それなのに逮捕されなかった
(00:03:46) まあこういう事実があってであの偉い人は逮捕されない 普通の人とは違う特別扱いされている上級国民だなんていうふうに言われてたんですよ
(00:04:00) でねあの 実際には日本にはそのね
(00:04:04) あの身分の違いっていうのはないはずなのに その逮捕されないっていうつまり扱いが違ったっていうのは
(00:04:14) まあね日本人としては 納得のいかないところなんですよねでねじゃあその
(00:04:22) 上級国民だから特別扱いされる 偉い人は逮捕はされないっていうことが本当にありえるのかっていうと
(00:04:32) まあこれはねあり得るみたいなんですよ あの
(00:04:37) 身分によって猫差別とか特別扱いがあるっていうのは あってはいけないし日本人もね日本国民もそれは全然納得いかないんだろうけど
(00:04:48) 逮捕する時の 条件っていうかまあいろいろね決まりみたいなものがあって
(00:04:56) 逮捕っていうのは何か悪いことをした時にその犯人が 逃げてしまう恐れがある時とかね
(00:05:04) あのそういう時には逃げられないように逮捕するけど でも逃げる心配がない時にはまあそれはね
(00:05:14) あの逃げられないように逮捕するんだから逃げる心配がないなら逮捕はしなくてもいい で
(00:05:22) その上級国民っていうものはないんだけど身分の違いっていうのはないんだけどでもね 偉い人とか有名な人とかはどこに行っても逃げられるものではない
(00:05:36) あの 例えばねその今まですごいいろんな功績があっていろんな
(00:05:42) 実績を残した人なんかは 逃げたらそういうのが全てなくなってしまうから心理的にも逃げられないっていうのもあるし
(00:05:52) 有名な人だからどこに行ってもすぐに見つかってしまう だから逃げられない
(00:05:58) そういうことがあるからだから なんかね有名な人なんかは
(00:06:03) 逃げられないからまあ逃げる心配はないだろう っていうことで逮捕がされないらしいんですよ
(00:06:13) まあ確かにねこの説明 聞くとちょっとね納得というかなるほどなって思う部分はありますが
(00:06:22) それでもやっぱり あの
(00:06:26) 逮捕されないっていうのは 特別扱いじゃないかそんなことしていいのかって言って納得がいかない人がすごく多かった
(00:06:34) ため その上級国民っていう言葉がよくね言われるようになったと
(00:06:41) そういう話です
(00:06:44) ちょっとあの長くて難しい 説明になってしまいましたがまあ一応ねこれでその上級国民という言葉の説明は終わり
(00:06:52) なんですが 説明だけじゃなくてねじゃあ俺がそれについてどう思うのかっていうコメントを
(00:06:59) ちょっと付け足しておくと まあ日本ではねその
(00:07:05) 身分とかそういうものがないから 上級国民というものも
(00:07:10) 存在しないというかしてはいけないというふうに俺は思うんですが まあねこの
(00:07:18) 身分はみんな平等だったとしても人によってこういろいろと なんだろう扱いっていうかねそういうものが変わるっていうのは
(00:07:29) ありますよねそんな多分どこの国でもあるとは思うんですが あの例えば
(00:07:36) 首相みたいな偉い人とかね あとは有名な会社の
(00:07:42) 社長だったりとかすごくねお金がある人とか あの社会的にね地位のある人っていうのは
(00:07:50) いろんなところで はっきりは見えなかったとしてもね特別扱いっていうのはやっぱりされてしまい
(00:07:57) ますよね よくないんだろうけどね
(00:08:02) まあ日本ではねその そういうね目にはっきり見えない
(00:08:10) なんだろう制度じゃなくて習慣というかねそういうのも あるんだけどでもそういうのを一人一人が
(00:08:17) 変えられるように その日本の政治っていうのはすべての国民がね参加できるようなシステムを作って
(00:08:25) はいるので だから
(00:08:28) その やばいちょっと話がねいろんなところに広がってきちゃったけど上級国民ということについて
(00:08:34) 俺がどう思うかっていうと あってはならないけどでも実際にはそういう特別扱いっていうのがあるだろう
(00:08:41) から できるだけねそういうのがなくなるようにみんなで平等な
(00:08:46) 世の中をね作っていけるようにしっかりと あの一人一人がそういうことはダメだっていうのを意識して
(00:08:53) その上で日本だと 選挙っていうのがあって政治に参加できるようになってるからみんなで国のこと考えて
(00:09:02) いろんなことをしていかなきゃいけないんだろうなと思います はいちょっと難しい話になってきてしまいましたが
(00:09:10) こんなところが あの俺の上級国民についてのコメントです
(00:09:17) 8 まあこういうねあのニュースの話題とかも時々はいいですね
(00:09:26) 日本のニュース見てる人には あのニュースだけじゃなくてそれについてね他の人がどう思っているのかっていう話を
(00:09:34) 聞く機会っていうのも大事だと思うので時々こうやって なんかね日本の出来事とかについても話していけたらいいなと思います
(00:09:45) はいじゃあ今日はあのこの辺で終わりにしたいと思いますがまたね何かリクエストとか あったらぜひ皆さんもコメントメッセージ送ってください待ってます
(00:09:54) それじゃあさようなら
