ep. 185 - 歯医者(N2)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:00:13) 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:17) そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:23) さて今日はですねエピソード2つ目ですね
(00:00:27) 先週実はちょっと風邪をひいて体調を崩してしまったので
(00:00:34) ポッドキャストもね何もできなかったので
(00:00:37) 今日はその分2週間分ということで2つ目のエピソードです
(00:00:42) 今日はですねリクエストもらってまして
(00:00:45) 日本で初めて歯医者に行くから
(00:00:49) だからその歯医者についてのエピソードね
(00:00:52) 何か作ってくださいっていうことだったので
(00:00:55) 今日はその歯医者に行ってね日本の歯医者に行って
(00:00:58) どんなことをするのかっていう話をしたいと思います
(00:01:03) このね外国で歯医者とか歯医者だけじゃなくて
(00:01:08) あの病院全部ですけどね
(00:01:10) その病院に行くって結構緊張するっていうか怖いですよね
(00:01:20) 俺がそうだったんですけど
(00:01:21) 俺もね前に外国に住んでましたが
(00:01:24) やっぱりねその国の言葉がわからないと
(00:01:30) 病院ってねなんか怖いですよね
(00:01:33) 自分の体になんか例えば注射だったら
(00:01:37) 何か薬を入れるわけだけど
(00:01:39) それがどんな薬なのかも分かんないのに
(00:01:42) 入れられるってなったら絶対怖いと思うんですよ
(00:01:46) で他にもどんなことするのかね
(00:01:51) 注射以外にもいろんな治療がありますからね
(00:01:53) それがわからないと怖いですよね
(00:01:58) なので今日はねその初めて歯医者に行く人が緊張しなくなるように
(00:02:05) どんなことをするのかっていうのを説明しておきたいと思います
(00:02:10) どこの国に行っても
(00:02:13) 歯医者でやることなんて同じだとは思うんですよ
(00:02:17) ただ一応ねやること確認しておいた方が安心だと思いますので
(00:02:23) 歯医者に行ってからねやることをどんどん説明していきたいと思います
(00:02:29) じゃあねまずは行く前なんですけど
(00:02:34) 日本の歯医者ってね大体予約しないと待ち時間が結構長いですね
(00:02:40) なので歯医者に行きたい人はしっかりと予約をしてください
(00:02:46) ただねその歯医者に行く人って定期検診
(00:02:53) 痛いところとかは何もないけど
(00:02:55) 定期的に見てもらうために行くっていう人もいれば
(00:02:59) 検診じゃなくて歯が痛くてだから見てもらいたいっていう人と
(00:03:03) まあそういう人がね
(00:03:05) あの二つのパターンがあると思うんですけど
(00:03:08) 歯が痛くて今すぐ見てもらいたいっていう人は
(00:03:13) 歯医者に行く前にちょっと電話とかをしてね
(00:03:17) 今日見てもらうことできますかっていうのを
(00:03:19) 最初に聞くといいですね
(00:03:22) 結構ね今日はちょっと予約がいっぱいで
(00:03:25) 無理ですって言われることが多いと思います
