ep. 188 - 不動産(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
最近ちょっと忙しくてね新しいエピソード遅くなってすみませんでした
今日はまたリクエストをもらっています 不動産についてっていうテーマなんですけど
不動産について何か適当に話してくださいっていうね なんかこう
ふんわりとしたリクエストですが まあこういうのもね俺は嫌いじゃないですけどね
なんかあんまりね具体的な特定のテーマじゃなくて 漠然としたもので適当に話すだと
まあ俺も気楽に話せるからね はいじゃあですね不動産についてなんですけど
まあそもそも不動産って何かっていうのを軽く説明しておくと 簡単に言うと土地とか建物とかそういう動かないもの
不動産の不は不便とか不幸の不で 動は動くだから不動っていうのは動かないっていう意味で
産は
例えば産って生まれるっていう出産の産とか あとは
お土産っていうのにもこの漢字入ってますね でその生まれるっていう漢字なんですけどこの漢字の意味って生まれるだけじゃなくて
自分の持っている お金とかものとかねそういうものっていう意味もあるんですよ
まあ財産とかいう言葉もありますからね なので不動産っていうのはその自分の持ってる動かないもの
でまぁだいたいはね不動産っていうと家とか土地の話が多いんですけどね 逆に不動産不じゃなくて動産っていうと
まあその他のもの全部ですけどね動くもの で今日はその不動産についてなんですけど
まあ不動産ってねやっぱり今言ったようにだいたいは家とかね土地の話なんですが これ結構まあタイムリーな話で実はね俺今年
家を買ったんですよ 今年っていうか買ったのは去年でで契約が去年で家を作り始めて完成したのが今年
だから最近ね引っ越したばっかりだったりするんですけど 結構ねやっぱり家を買うって
大きな決断ですよね やっぱりやっぱり人生の中で一番高い買い物が家だっていう人も
少なくないですよねむしろほとんどの人がそうだと思うんですけど
まあねやっぱり 緊張しましたよね契約するときは
あのもちろん家とか土地って高い買い物だからその1回でお金を全部払うわけじゃなくて ローンを組んでね買うわけですけど
いやーこんなね高い額の長期間のローンなんてやっぱり今までしたことないからね 契約書にサインするときに手が震えました
でね俺は家を買ったんですけど 日本でねその働いてる人ってまあ特に結婚してる人とか子供がいる人ってね
俺みたいにその家を買うかどうかってすごい悩んでる人ってすごく多いと思うんですよ なんでかっていうとあの
アパートとかマンションでね暮らしててももちろんいいんですよ で特に仕事の関係で引っ越しをね時々しなきゃいけない人
転勤がある人なんかは家を買うとあの 買ったのに引っ越しなきゃいけないっていう状況になっちゃうからだからなかなか買えないと思うんですが
俺の仕事はね転勤ってないからずっとほとんど同じ場所に 住むことができて
でそうなると アパートとかねマンションの家賃を
毎月毎月払って何万円っていう高い額ですよ で
何十年て払って でその後引っ越ししようってなったら今までずっとお金を払ってきたのに何一つ自分の
ものにならないわけじゃないですかアパートって まあ賃貸のものだったらねマンションでもそうなんですけど
だから ずーっとねお金を払うなら
家を買ってでローンでお金を払えば そのマンションに住むのと同じぐらいの金額か
まあもしくはねそれよりももうちょっと安いぐらいの金額で済むし 何十年か経ってねローンを払い終わったら
その家と土地は全部自分のもの だから自由にできるしもしいらなかったら売ればいいしね
ってことであの 家をね買った方がいいんじゃないかでももしかしたらこれから引っ越しするかも
しれないし どうしようっていうふうに悩んでる人がすごく多いんじゃないかなーって思うん
ですよ で俺はまあ引っ越しはね絶対しないだろうし
あのアパートだとねやっぱり狭いから だったら
ちゃんとね自分のものになる 自分のものにお金を払った方がいいなぁと思って
買ったんですよ
いやー大きい決断でした でね俺の場合は田舎に住んでるからね
すごい田舎の方だと土地が余ってるから あの土地とあとは家っていう選択肢の方がね
選ばれる ことが多いと思うんですけど
そうじゃない場合ってあの家を買うんじゃなくてマンションをね 買う人ってのも結構いると思うんですよ
マンションか振ってそのマンションの建物全部じゃないですよ まあその中の一部屋ですね
俺もね最初はそれ結構迷ったんですよ 土地と家を買うよりマンション買った方がもうお金はね全然安いですからね
安いしあとは やっぱりそのうちの周り
周りっていうかマンションだと通路とかですけどね そういうところの掃除も管理人がしてくれるし
まあいいマンションだったらねそのマンションの中に あの遊ぶところとか子供の遊ぶところとかね
あとはジムとかプールとかそういうのがついてるっていうところももちろんあるし だからねその楽さ快適さで言うと
マンションもねいいなって思って そこをすごい悩んだんですけど
でもやっぱりねその土地 が欲しいなと思ってね
その自分で自由に好きなものを作れる土地があった方がいいなっていうことで 結局ね
家にしました でまぁ引っ越しをしてからね結構何ヶ月かは経ちますがやっぱり新しい家ってね
快適ですね でその今快適に暮らしができているっていうのもあるし
それだけじゃなくてその ローンを払い終わったらね
このうちまぁだいぶ古くはなりますから でもしねその子供とかがいてもそんなローン払い終わる頃にはどうせね
子供も大人になって 引っ越しをしてね子供は子供だけで生活をするってなると
ねその年寄りだけでそんなでっかい家に住むのも そんなにね場所もいらないしね
広いと疲れるからだったら売ったりとかしてまた新しい家に引っ越しとかもできるから そういうねいろんなことを考えられる
選択肢ですごいまぁ 結局黒を選んでよかったなというふうに思ってます
でまぁ不動産っていうとねあの今の俺の状況だとやっぱりそのうちの話しか なかなか出てこないんですけど
もしねもっと すごいたくさんお金があったら
アパートとかマンションとかを自分で作る あの今度は一部屋じゃなくてね建物全部自分で立てたりとか建物を買ったりして
そしてそれを貸して部屋を貸して そしてね家賃収入を得るっていう
そういう選択肢が出てくるんですよね まあこれ憧れですよねあの
家賃収入って要するに何も仕事しなくても建物があればお金が入ってくるわけですから でアパートとか管理はその
不動産会社の人とかねそういう人に任せておけば本当に自分は何もしなくてもいい わけですからね
だからまあそれだけで生活はできなかったとしてもフルタイムでしっかり働かないで バイトとかパートとかでねちょっと仕事をして
であとは家賃の収入だけで生活っていうこともできるだろうから まあそれはね憧れではありますが
ちょっと元出がないと元になるお金がないとできないので 今俺の中にはその話をするっていう選択肢があんまりない状態ですね
はいじゃあこんなのがちょっと不動産の話で本当に今の俺だとね うちを買ったばっかりだからうちの話ばっかりになってしまいますが
あの
まあうちってね結構文化を表すものだから その日本人のうちとね
近い国でも韓国のうちとか中国のうちとかそういうところでも全然違ううちがね あのうちの中の仕組みっていうか構造とかねそういうのが全然違うものがたくさんあるから
結構そのうちだけの あの
話っていうかねそれだけでも面白いところがあるんじゃないかなというような気がします なのでねあの
ちょっと不動産の話とは少しずれますが 皆さんもね日本人のうちとかね日本のうちを見てこんなうちを作るのかとか
あの自分の国だとちょっとねこういう特別なうちの作りとかありますよとかそんな話が あったらぜひ教えてください
うんじゃあ8今日はねこの辺で終わりにしたいと思いますがまた皆さんも何かリクエスト とかあったらぜひメッセージとか送ってください待ってます
それじゃあさようなら
