ep. 188 - 不動産(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:25) 最近ちょっと忙しくてね新しいエピソード遅くなってすみませんでした
(00:00:30) 今日はまたリクエストをもらっています 不動産についてっていうテーマなんですけど
(00:00:37) 不動産について何か適当に話してくださいっていうね なんかこう
(00:00:44) ふんわりとしたリクエストですが まあこういうのもね俺は嫌いじゃないですけどね
(00:00:50) なんかあんまりね具体的な特定のテーマじゃなくて 漠然としたもので適当に話すだと
(00:00:59) まあ俺も気楽に話せるからね はいじゃあですね不動産についてなんですけど
(00:01:05) まあそもそも不動産って何かっていうのを軽く説明しておくと 簡単に言うと土地とか建物とかそういう動かないもの
(00:01:17) 不動産の不は不便とか不幸の不で 動は動くだから不動っていうのは動かないっていう意味で
(00:01:26) 産は
(00:01:29) 例えば産って生まれるっていう出産の産とか あとは
(00:01:35) お土産っていうのにもこの漢字入ってますね でその生まれるっていう漢字なんですけどこの漢字の意味って生まれるだけじゃなくて
(00:01:45) 自分の持っている お金とかものとかねそういうものっていう意味もあるんですよ
(00:01:51) まあ財産とかいう言葉もありますからね なので不動産っていうのはその自分の持ってる動かないもの
(00:02:00) でまぁだいたいはね不動産っていうと家とか土地の話が多いんですけどね 逆に不動産不じゃなくて動産っていうと
(00:02:11) まあその他のもの全部ですけどね動くもの で今日はその不動産についてなんですけど
(00:02:18) まあ不動産ってねやっぱり今言ったようにだいたいは家とかね土地の話なんですが これ結構まあタイムリーな話で実はね俺今年
(00:02:30) 家を買ったんですよ 今年っていうか買ったのは去年でで契約が去年で家を作り始めて完成したのが今年
(00:02:41) だから最近ね引っ越したばっかりだったりするんですけど 結構ねやっぱり家を買うって
(00:02:49) 大きな決断ですよね やっぱりやっぱり人生の中で一番高い買い物が家だっていう人も
(00:02:58) 少なくないですよねむしろほとんどの人がそうだと思うんですけど
(00:03:04) まあねやっぱり 緊張しましたよね契約するときは
(00:03:10) あのもちろん家とか土地って高い買い物だからその1回でお金を全部払うわけじゃなくて ローンを組んでね買うわけですけど
(00:03:21) いやーこんなね高い額の長期間のローンなんてやっぱり今までしたことないからね 契約書にサインするときに手が震えました
(00:03:32) でね俺は家を買ったんですけど 日本でねその働いてる人ってまあ特に結婚してる人とか子供がいる人ってね
(00:03:43) 俺みたいにその家を買うかどうかってすごい悩んでる人ってすごく多いと思うんですよ なんでかっていうとあの
(00:03:54) アパートとかマンションでね暮らしててももちろんいいんですよ で特に仕事の関係で引っ越しをね時々しなきゃいけない人
(00:04:03) 転勤がある人なんかは家を買うとあの 買ったのに引っ越しなきゃいけないっていう状況になっちゃうからだからなかなか買えないと思うんですが
(00:04:14) 俺の仕事はね転勤ってないからずっとほとんど同じ場所に 住むことができて
(00:04:21) でそうなると アパートとかねマンションの家賃を
(00:04:28) 毎月毎月払って何万円っていう高い額ですよ で
(00:04:34) 何十年て払って でその後引っ越ししようってなったら今までずっとお金を払ってきたのに何一つ自分の
(00:04:45) ものにならないわけじゃないですかアパートって まあ賃貸のものだったらねマンションでもそうなんですけど
(00:04:54) だから ずーっとねお金を払うなら
(00:04:59) 家を買ってでローンでお金を払えば そのマンションに住むのと同じぐらいの金額か
(00:05:08) まあもしくはねそれよりももうちょっと安いぐらいの金額で済むし 何十年か経ってねローンを払い終わったら
(00:05:16) その家と土地は全部自分のもの だから自由にできるしもしいらなかったら売ればいいしね
(00:05:25) ってことであの 家をね買った方がいいんじゃないかでももしかしたらこれから引っ越しするかも
(00:05:33) しれないし どうしようっていうふうに悩んでる人がすごく多いんじゃないかなーって思うん
(00:05:38) ですよ で俺はまあ引っ越しはね絶対しないだろうし
(00:05:44) あのアパートだとねやっぱり狭いから だったら
(00:05:49) ちゃんとね自分のものになる 自分のものにお金を払った方がいいなぁと思って
(00:05:56) 買ったんですよ
(00:05:59) いやー大きい決断でした でね俺の場合は田舎に住んでるからね
(00:06:04) すごい田舎の方だと土地が余ってるから あの土地とあとは家っていう選択肢の方がね
(00:06:12) 選ばれる ことが多いと思うんですけど
(00:06:16) そうじゃない場合ってあの家を買うんじゃなくてマンションをね 買う人ってのも結構いると思うんですよ
(00:06:24) マンションか振ってそのマンションの建物全部じゃないですよ まあその中の一部屋ですね
(00:06:31) 俺もね最初はそれ結構迷ったんですよ 土地と家を買うよりマンション買った方がもうお金はね全然安いですからね
(00:06:41) 安いしあとは やっぱりそのうちの周り
(00:06:45) 周りっていうかマンションだと通路とかですけどね そういうところの掃除も管理人がしてくれるし
(00:06:52) まあいいマンションだったらねそのマンションの中に あの遊ぶところとか子供の遊ぶところとかね
(00:07:00) あとはジムとかプールとかそういうのがついてるっていうところももちろんあるし だからねその楽さ快適さで言うと
(00:07:11) マンションもねいいなって思って そこをすごい悩んだんですけど
(00:07:18) でもやっぱりねその土地 が欲しいなと思ってね
(00:07:23) その自分で自由に好きなものを作れる土地があった方がいいなっていうことで 結局ね
(00:07:30) 家にしました でまぁ引っ越しをしてからね結構何ヶ月かは経ちますがやっぱり新しい家ってね
(00:07:39) 快適ですね でその今快適に暮らしができているっていうのもあるし
(00:07:47) それだけじゃなくてその ローンを払い終わったらね
(00:07:51) このうちまぁだいぶ古くはなりますから でもしねその子供とかがいてもそんなローン払い終わる頃にはどうせね
(00:08:01) 子供も大人になって 引っ越しをしてね子供は子供だけで生活をするってなると
(00:08:08) ねその年寄りだけでそんなでっかい家に住むのも そんなにね場所もいらないしね
(00:08:16) 広いと疲れるからだったら売ったりとかしてまた新しい家に引っ越しとかもできるから そういうねいろんなことを考えられる
(00:08:27) 選択肢ですごいまぁ 結局黒を選んでよかったなというふうに思ってます
(00:08:35) でまぁ不動産っていうとねあの今の俺の状況だとやっぱりそのうちの話しか なかなか出てこないんですけど
(00:08:44) もしねもっと すごいたくさんお金があったら
(00:08:49) アパートとかマンションとかを自分で作る あの今度は一部屋じゃなくてね建物全部自分で立てたりとか建物を買ったりして
(00:09:01) そしてそれを貸して部屋を貸して そしてね家賃収入を得るっていう
(00:09:09) そういう選択肢が出てくるんですよね まあこれ憧れですよねあの
(00:09:17) 家賃収入って要するに何も仕事しなくても建物があればお金が入ってくるわけですから でアパートとか管理はその
(00:09:27) 不動産会社の人とかねそういう人に任せておけば本当に自分は何もしなくてもいい わけですからね
(00:09:34) だからまあそれだけで生活はできなかったとしてもフルタイムでしっかり働かないで バイトとかパートとかでねちょっと仕事をして
(00:09:44) であとは家賃の収入だけで生活っていうこともできるだろうから まあそれはね憧れではありますが
(00:09:52) ちょっと元出がないと元になるお金がないとできないので 今俺の中にはその話をするっていう選択肢があんまりない状態ですね
(00:10:03) はいじゃあこんなのがちょっと不動産の話で本当に今の俺だとね うちを買ったばっかりだからうちの話ばっかりになってしまいますが
(00:10:12) あの
(00:10:15) まあうちってね結構文化を表すものだから その日本人のうちとね
(00:10:22) 近い国でも韓国のうちとか中国のうちとかそういうところでも全然違ううちがね あのうちの中の仕組みっていうか構造とかねそういうのが全然違うものがたくさんあるから
(00:10:37) 結構そのうちだけの あの
(00:10:42) 話っていうかねそれだけでも面白いところがあるんじゃないかなというような気がします なのでねあの
(00:10:50) ちょっと不動産の話とは少しずれますが 皆さんもね日本人のうちとかね日本のうちを見てこんなうちを作るのかとか
(00:11:01) あの自分の国だとちょっとねこういう特別なうちの作りとかありますよとかそんな話が あったらぜひ教えてください
(00:11:12) うんじゃあ8今日はねこの辺で終わりにしたいと思いますがまた皆さんも何かリクエスト とかあったらぜひメッセージとか送ってください待ってます
(00:11:22) それじゃあさようなら
