ep. 190 - 雪国(N3)

皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
さて皆さん日本はすごく寒くなってきましたが 元気でしょうか
俺は風邪をひきました 去年も年末風邪ひいたんですけど今年もね風邪ひいちゃいました
まさか2年連続で風邪ひくと思いませんでした まあ風邪ひいたって言ってもそんなにひどい風邪じゃないんですけど熱もないし
ただ喉が痛いし鼻水も出るしで まあ嫌な感じですね早く治るといいんですけど
さて先週末かな 日本ではね雪がたくさん降ったんですけど
今週末も 土曜日の夜ぐらいからかな
すごく寒くなるんですよ それでまたたくさん雪が降るっていう天気予報なんですけど
皆さんは雪国ってわかりますか
雪の国ですけどそんな本当の国じゃなくて日本の中で雪がたくさん降る地方のことを 雪国って言うんですけど
日本は結構場所によってその 気候とかねつまり天気とかその暑い寒いとかが全然違うから
同じ日本の中だけどでも習慣とかね結構変わるんです それで雪国の習慣と
あとは雪が少ない例えば東京とかねそういうところの習慣では 冬はねかなり違いがあるんですけど
そのね習慣っていうのかなまあこれは習慣か 俺の住んでるところ俺の生まれたところも雪国っていうほどではないけど
でもまあ雪がね あの少し降るところなんですよ
1年に1回ぐらいまあ20センチとか30センチぐらい積もるところなので 東京なんかと比べると結構雪には慣れてるんですけど
それでねあの 昔東京に住んでた時に
雪道の歩き方が 東京の人は下手だっていうことに気づいたんですよ
あの なんでかっていうと
東京もねそんなに雪は多くないんですけどたまーに雪が降るんですよ まあ何年かに1回ぐらい
10センチとかね20センチとか積もる時があるんですけど 俺が東京住んでる時にもねそういう時があって
で雪が降ってその次の日の朝は道が凍るんですよ で
雪国に住んでる人はねその雪道とかあとは凍った道の歩き方っていうのを よくわかってるんですよ
滑らないように歩く その歩き方っていうのがあるんですけど東京の人って
それができないんですよね雪道でも普通の道でも同じように歩く そうするとすごくね滑りやすくて
転びやすいから だからその雪道の歩き方を知らない人ってすごくゆっくりじゃないと凍ったところを歩けないんですよ
で俺は雪に慣れてるからその東京でね 凍った道も普通の速さで歩いてたんですけど
そしたら東京の人がそれを見て なんでこんなに凍ってるところをそんな早く歩けるのってびっくりしてたんですよ
でまぁねその 東京ってやっぱりその習慣が全然違うんだなっていうのを実感したんですけど
他にもその今は東京の話ばっかりですけどね東京みたいに雪が降らないところと雪が 降るところでの違いっていうのが結構いろいろあって
あの 俺がね大人になってから驚いたのは
東京の人って 車のタイヤをあんまり交換しないんですけど
雪国に住んでる人はだいたいね11月ぐらいになると 冬のタイヤ雪道を走るタイヤにみんな交換するんですよ
であのそのタイヤを履いてないと 車もタイヤを履くって言うんですけどね
そのタイヤを履いてないと雪がねちょっとでも積もったら すごく滑るから事故が起きやすくて危ないんですよ
だから雪道をその普通のタイヤじゃ走っちゃいけないんですけど 東京はそんなに雪が降らないからみんなタイヤは交換しない
で俺が住んでいるところみたいな雪が降るところではみんなタイヤを買える でそうするとどんな違いが起きるかっていうと
東京はとにかく雪が降ると交通手段がなくなります
電車もねちょっと雪が降るとすぐ止まっちゃうし 車もタイヤを交換してないから雪が積もっちゃうと外はなかなか走ることができないから
まあ走ってもいいんだけどすっごくゆっくり 歩くのと同じぐらいゆっくりじゃないと事故起きちゃうから
だからあんまり車にも乗れない で当然その
雪道を歩くのにも慣れてない人だから東京の人ってやっぱり自転車もね 雪道の自転車の乗り方もそんなに知らないみたいなんですよね
だから自転車もすぐ転んじゃうから危ない それで
あの 東北とかね北海道とかねそっちの方の人は多分ね雪がちょっとぐらい降っても
まあ10センチくらい積もっても あの普段とあんまり変わらないいつも通りに出かけたりできるんですけど
東京だともうねそんな雪が10センチも積もっちゃったら 電車も車も使えない自転車も乗れない
それで 交通手段がなくなってしまうんですよ
なのでねそういう 雪道と東京の違いですねそんなのがあって
東京に住んでた時にちょっと面白いなというふうに思いました
で今はねあの今日話したのは冬なのでその 雪があるところとないところでの違いっていう話をしたんですけど
他にもねあの日本って例えば山があるところと 山があるっていうか山の上に住んでいる人とそうじゃない人とか
海の近くに住んでる人とかねそういうところでみんな生活習慣というのが違うので 日本旅行に来たらその
その地域の習慣 えっとねその地形とかねつまり地面の形とか近くに何があるかとか
そういうところから日本のいろいろな習慣を見てみると面白いかもしれません
はいじゃああの 皆さんも今日の俺の声を聞いてわかったと思うんですけど
ちょっと風邪ひいてね喉も痛いので少し短めですけど今日はこの辺で終わりにしたい と思います
皆さんは風邪ひかないように気をつけてください 日本に住んでいる人はこの土曜日と日曜日
来週の月曜日ぐらいまでかな雪がたくさん降るっていう天気予報なので 風邪だけじゃなくてね事故とかそういうのにも気をつけて生活してください
はいじゃあまた 次回のちょっとね次回のポッドキャストいつになるかわかんないんですけど
時間があったら来週もしかしたら年末忙しくて来月になっちゃうかもしれませんが 年が変わる前にね1回ぐらいは新しいエピソードまた作りたいと思いますので
その時まで待っててください それじゃあさようなら
