ep. 190 - 雪国(N3)

(00:00:00) 皆さんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:26) さて皆さん日本はすごく寒くなってきましたが 元気でしょうか
(00:00:32) 俺は風邪をひきました 去年も年末風邪ひいたんですけど今年もね風邪ひいちゃいました
(00:00:40) まさか2年連続で風邪ひくと思いませんでした まあ風邪ひいたって言ってもそんなにひどい風邪じゃないんですけど熱もないし
(00:00:50) ただ喉が痛いし鼻水も出るしで まあ嫌な感じですね早く治るといいんですけど
(00:00:59) さて先週末かな 日本ではね雪がたくさん降ったんですけど
(00:01:07) 今週末も 土曜日の夜ぐらいからかな
(00:01:12) すごく寒くなるんですよ それでまたたくさん雪が降るっていう天気予報なんですけど
(00:01:20) 皆さんは雪国ってわかりますか
(00:01:25) 雪の国ですけどそんな本当の国じゃなくて日本の中で雪がたくさん降る地方のことを 雪国って言うんですけど
(00:01:34) 日本は結構場所によってその 気候とかねつまり天気とかその暑い寒いとかが全然違うから
(00:01:45) 同じ日本の中だけどでも習慣とかね結構変わるんです それで雪国の習慣と
(00:01:53) あとは雪が少ない例えば東京とかねそういうところの習慣では 冬はねかなり違いがあるんですけど
(00:02:03) そのね習慣っていうのかなまあこれは習慣か 俺の住んでるところ俺の生まれたところも雪国っていうほどではないけど
(00:02:14) でもまあ雪がね あの少し降るところなんですよ
(00:02:19) 1年に1回ぐらいまあ20センチとか30センチぐらい積もるところなので 東京なんかと比べると結構雪には慣れてるんですけど
(00:02:29) それでねあの 昔東京に住んでた時に
(00:02:35) 雪道の歩き方が 東京の人は下手だっていうことに気づいたんですよ
(00:02:43) あの なんでかっていうと
(00:02:47) 東京もねそんなに雪は多くないんですけどたまーに雪が降るんですよ まあ何年かに1回ぐらい
(00:02:55) 10センチとかね20センチとか積もる時があるんですけど 俺が東京住んでる時にもねそういう時があって
(00:03:03) で雪が降ってその次の日の朝は道が凍るんですよ で
(00:03:10) 雪国に住んでる人はねその雪道とかあとは凍った道の歩き方っていうのを よくわかってるんですよ
(00:03:20) 滑らないように歩く その歩き方っていうのがあるんですけど東京の人って
(00:03:26) それができないんですよね雪道でも普通の道でも同じように歩く そうするとすごくね滑りやすくて
(00:03:35) 転びやすいから だからその雪道の歩き方を知らない人ってすごくゆっくりじゃないと凍ったところを歩けないんですよ
(00:03:47) で俺は雪に慣れてるからその東京でね 凍った道も普通の速さで歩いてたんですけど
(00:03:56) そしたら東京の人がそれを見て なんでこんなに凍ってるところをそんな早く歩けるのってびっくりしてたんですよ
(00:04:04) でまぁねその 東京ってやっぱりその習慣が全然違うんだなっていうのを実感したんですけど
(00:04:13) 他にもその今は東京の話ばっかりですけどね東京みたいに雪が降らないところと雪が 降るところでの違いっていうのが結構いろいろあって
(00:04:25) あの 俺がね大人になってから驚いたのは
(00:04:30) 東京の人って 車のタイヤをあんまり交換しないんですけど
(00:04:37) 雪国に住んでる人はだいたいね11月ぐらいになると 冬のタイヤ雪道を走るタイヤにみんな交換するんですよ
(00:04:48) であのそのタイヤを履いてないと 車もタイヤを履くって言うんですけどね
(00:04:54) そのタイヤを履いてないと雪がねちょっとでも積もったら すごく滑るから事故が起きやすくて危ないんですよ
(00:05:01) だから雪道をその普通のタイヤじゃ走っちゃいけないんですけど 東京はそんなに雪が降らないからみんなタイヤは交換しない
(00:05:10) で俺が住んでいるところみたいな雪が降るところではみんなタイヤを買える でそうするとどんな違いが起きるかっていうと
(00:05:19) 東京はとにかく雪が降ると交通手段がなくなります
(00:05:27) 電車もねちょっと雪が降るとすぐ止まっちゃうし 車もタイヤを交換してないから雪が積もっちゃうと外はなかなか走ることができないから
(00:05:38) まあ走ってもいいんだけどすっごくゆっくり 歩くのと同じぐらいゆっくりじゃないと事故起きちゃうから
(00:05:44) だからあんまり車にも乗れない で当然その
(00:05:49) 雪道を歩くのにも慣れてない人だから東京の人ってやっぱり自転車もね 雪道の自転車の乗り方もそんなに知らないみたいなんですよね
(00:05:59) だから自転車もすぐ転んじゃうから危ない それで
(00:06:03) あの 東北とかね北海道とかねそっちの方の人は多分ね雪がちょっとぐらい降っても
(00:06:12) まあ10センチくらい積もっても あの普段とあんまり変わらないいつも通りに出かけたりできるんですけど
(00:06:20) 東京だともうねそんな雪が10センチも積もっちゃったら 電車も車も使えない自転車も乗れない
(00:06:28) それで 交通手段がなくなってしまうんですよ
(00:06:34) なのでねそういう 雪道と東京の違いですねそんなのがあって
(00:06:40) 東京に住んでた時にちょっと面白いなというふうに思いました
(00:06:46) で今はねあの今日話したのは冬なのでその 雪があるところとないところでの違いっていう話をしたんですけど
