ep. 194 - おすすめの漫画5(N2)

ん
皆さんこんにちは友ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日はですね俺のおすすめの漫画の紹介をしたいと思います 前にも何回かしてるんですけどね
あの前回のエピソードで最近すごい自炊してるっていう話をしたんですけど それでねあの昔読んでた漫画とかも
ずっと持ってるのも邪魔だからね電子化してパソコンにデータを入れてそれをもう全部 処分しちゃおうと思って
それでね昔の漫画をすごい奥の方から引っ張り出してたくさん自炊してるんですけどね 久しぶりにその漫画を見たらなんかねあのまた読みたくなって
ちょっとちょっとずつ読んでるんですけど まあ昔の漫画でもねやっぱり面白いものはすごい面白いですね
ということであの おすすめの漫画をいくつか紹介していきたいと思います
じゃあまず早速一つ目ですけど一つ目はアームズっていう漫画です アームズはね
20年以上前かな結構昔ですね俺が子供の時の漫画なんですけど でもね今読んでもすごく面白いです最近これもう一度読んでます
これはどんな話かっていうと アームズアームっていうのは腕っていう意味じゃなくて武器っていう方の意味のアーム
なんですけど あの自分の体の一部腕とか足とかねそういうところに
あの武器を移植されてしまった 少年たちが
敵と戦う漫画なんですよ こういうふうに言うとね全然
大して面白くなさそうに聞こえるかもしれないんですけど このね移植された武器っていうのが
あの すごいね普通の武器じゃなくて
なんかいろんな形に変わったりとかするものすごい ナノマシンっていうものすごい小さな機械ででねあの
まあとにかくすごいんですよなんでもできちゃうんですよ でそのねあの
アームズっていうまあ武器の体に移植された武器なんですけどそれを狙う もう世界で一番大きい
悪い組織みたいなところが狙ってくるんですよ アームズを捕まえてそして研究して自分たちの組織の武器にしようっていうふうに
でその移植された少年たちは あのまあ要するにその敵の組織っていうのは
人体実験ですよね そんなことをして自分たちの人生も喰らわせてしまってそんなの許せないって言って
あの 普通の生活に戻るために戦っていくんですけど
まあこれがね面白いんですよ でね最初はね
結構話は単純なんですけどどんどんどんどん難しくなっていって あの子供の時に読んだんですけど
最後の方はね話が難しすぎてよくわかんないところが結構ありました だからねこれは
まあ子供が読む雑誌に載ってたと思うんですけど でもね内容は特に後半は結構大人向けだと思います
あのまあ話がちゃんとわかるとねすごく面白いと思うのでぜひ読んでみてください 20年ぐらい前って言ったけど全然古臭い感じはしないと思います
この漫画を書いている人はねあの 結構有名っていうかいろんなヒット作を作っている人で
もう一つね俺がこの漫画を書いた人の作品で好きなのがあって それはねドライブっていう漫画ですね
あの ドライブってもちろんそのもともとの意味は英語の車を運転するというそのドライブ
なんですけど このドライブに出てくる主人公は車だけじゃなくてどんな乗り物でも
もう本当に8 どんなといってもエンジンがあるものだけなんだけどエンジンがある乗り物だったら
なんでも すべてね
プロ級もプロ普通のプロよりももっとすごい 例えば車だったら f 1に乗れるぐらい
とにかくもう何でも上手に運転できちゃうっていうそういうすごい主人公なんですよ で例えば車とかねバイクもそうだし
あとは船とかね飛行機なんかも何でも乗れちゃってでそのすごい能力を使って あの
いろいろなあその少年はね 高校生なんですけど会社でアルバイトをしていてその会社っていうのはいろいろな問題を
解決する 何か問題があった時にお客さんから依頼が来てでそこに対してその
何でも運転できる人とかねあの何でも知ってるすごい人とかそういうすごい人たちを 派遣して問題を解決するという会社で
でそこでいろいろな依頼をこなしていくっていうそういう漫画なんですけど まあこの人の漫画はね最初はそういう結構単純な話が多いんですけど
後からどんどんどんどんねー 大きな敵の組織が出てきてさっきのアームズみたいにね
でどんどんその大きい組織と戦っていくっていう話に発展していって 最後やっぱり結構難しい
まあアームズほどじゃないけどね話になってくるので読みごたえがすごいあると思います
ってことでねあのとりあえずまずは2つですね アームズとドライブっていう漫画この2つの漫画は同じ人が書いたもので
アームズが面白いという人はドライブも絶対面白いと思うのでぜひ読んでみてください えっとじゃああともう一つね紹介しておきます
なんか今日はその敵と戦う話が多いのでじゃあついでにもう1個 戦う漫画なんですけど
これはねまあ少年漫画ですねあの小学生中学生ぐらいが メインターゲットの漫画なんですけど
ただね俺は今でも結構読んでて面白いなって思います ネットタイトルは何かっていうと
ゴーストスイーパー三上極楽大作戦っていう話ですね これはどんな話かというと
幽霊とかまあゴーストですからね ゴーストスイーパー幽霊とか妖怪とかそういうのを倒すっていう漫画なんですけど
その漫画の中の世界ではあの幽霊がね たくさんいてでその幽霊がいろんな悪いこととかをするから何かあった時に
あの ゴーストスイーパーっていう仕事の人ですねその人に依頼をしてで幽霊を倒してもらう
でその主人公のゴーストスイーパーが三上っていう人なんですけど えっと基本的にはね1話完結でいろんな幽霊とかお化けとかを倒していく
で問題を解決するんですが これはねまぁ戦う漫画とはいったんですけど
半分アクション半分ギャグの漫画ですね まあ面白いんですよ
あの 漫画家の人ってねすごいと思うんですよ
これ少年漫画なんだけどでもあの 書いてる人はね
多分すっごくねいろんな本を読んだりいろんな映画を見たりとかして でいろんな知識を持っている人だと思うんですよ
でねギャグ一つ一つも面白いんですけどでもねその中に実は結構ね あの有名な文学作品のパロディーとかをね
紛れ込ませたりとかしてして あの
なんか頭が良さそうな人だなーっていう印象です 例えばねそう思わせるシーンの一つで
