ep. 195 - ただいま

皆さんこんにちはともです お久しぶりです
なんとか元気になって戻ってきました えっとねまあインスタでねちょっと言ったんですけども
ちょっとね入院してました 8ただまあ入院って言ってもそんなに大きい病気じゃなくて
あの簡単な手術だけでねすぐ治って退院はできたんですけど まあそれでもね手術ってあの
久しぶりでもう10年ぐらい前に1回行ったきりだったから まあ結構ねー
はいまあ大変大変でしたねそうですね 手術の後はまあちょっと痛かったし
ただあの さっきも言ったけどそんなに大変な病気じゃなかった
えっとねー 企業っていう日本語で企業っていう病気なんですけど
はいっていうその空気が入るところですね体の中のそこにちょっと穴が開いちゃって それでその穴を塞ぐ手術をしてきました
でもあの手術って言っても 今はね体にちょっと小さい穴を開けてそこから
あのカメラとか入れてそれで手術ができるので あの大きい傷を作らなくても大丈夫なんですよ
だからねあの1週間ぐらいですぐ退院はできました それであの退院した後もうちょっと病院にはいってたんですけど
もうその切った傷も全部なお大体治ったのでもう病院にはいかなくていいと言われ ました
なのでまあ一応ねこれで完全に治ったということになります なのでしばらくあのポッドキャストを作っていませんでしたけども
また 今週まあ来週か来週から
8いつも通り今まで通りに新しいエピソードを作っていきますのでまた皆さんぜひ 聞いてくださいねよろしくお願いします
