ep. 195 - ただいま

(00:00:00) 皆さんこんにちはともです お久しぶりです
(00:00:06) なんとか元気になって戻ってきました えっとねまあインスタでねちょっと言ったんですけども
(00:00:14) ちょっとね入院してました 8ただまあ入院って言ってもそんなに大きい病気じゃなくて
(00:00:22) あの簡単な手術だけでねすぐ治って退院はできたんですけど まあそれでもね手術ってあの
(00:00:31) 久しぶりでもう10年ぐらい前に1回行ったきりだったから まあ結構ねー
(00:00:39) はいまあ大変大変でしたねそうですね 手術の後はまあちょっと痛かったし
(00:00:46) ただあの さっきも言ったけどそんなに大変な病気じゃなかった
(00:00:52) えっとねー 企業っていう日本語で企業っていう病気なんですけど
(00:00:58) はいっていうその空気が入るところですね体の中のそこにちょっと穴が開いちゃって それでその穴を塞ぐ手術をしてきました
(00:01:11) でもあの手術って言っても 今はね体にちょっと小さい穴を開けてそこから
(00:01:19) あのカメラとか入れてそれで手術ができるので あの大きい傷を作らなくても大丈夫なんですよ
(00:01:27) だからねあの1週間ぐらいですぐ退院はできました それであの退院した後もうちょっと病院にはいってたんですけど
(00:01:36) もうその切った傷も全部なお大体治ったのでもう病院にはいかなくていいと言われ ました
(00:01:44) なのでまあ一応ねこれで完全に治ったということになります なのでしばらくあのポッドキャストを作っていませんでしたけども
(00:01:54) また 今週まあ来週か来週から
(00:01:59) 8いつも通り今まで通りに新しいエピソードを作っていきますのでまた皆さんぜひ 聞いてくださいねよろしくお願いします
