ep. 195 - おすすめの漫画6(N2)

ん
皆さんこんにちはと思うですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ今日はね前回の続きでまた俺のおすすめの漫画を紹介していきたいと思います
じゃあまず一つ目ですね早速ですけど 今日の一つ目の所紹介する作品はスポーツ漫画です
タイトルはタッチ これはねもう何年前だろう30年前とかそのぐらい昔かな
でもね今でもすごい有名な作品です まあこの作者の人はね野球漫画が多いんですけど他にもいろんなスポーツを題材にした漫画を書いて
て今でもね現役で漫画を書き続けているすごい あの漫画家の一人です
で それでもね有名な作品はたくさんあるんだけどでもやっぱりこのタッチっていうのがね
この人の作品の中で一番有名なんじゃないかなと思います あの映画にもアニメとか映画にもなった作品で
であの漫画もね昔から読まれてるし何回か あの
なんていうかねこう普通の漫画じゃなくて文庫ボンって言ってちょっと まとめたね綺麗になった形で出版されたりとかしている作品なんですけど
じゃあどんな話かというと野球の漫画です で主人公は双子の男の子
で猫の双子の男の子で まず目立つのはねやっぱり弟の方ですね
かつやっていうあの名前なんですけどもすごい野球が強いんですよ あのこのかつや
8弟の方はピッチャーでで 甲子園って言って日本の高校生の野球の大会で一番有名な大会
その甲子園に出場する出場することを目標にして頑張ってるんですね で
双子の兄の方は立つやって言うんですけど実はこの兄の方はね あの最初は野球してないんですよ
すごいねあの 性格も怠け者であんまりね真面目じゃない
だから勉強もスポーツも全然真面目にやんないんですけど でもねかつやの方弟の方はすっごい真面目で運動神経も良くて何でもできる人
で でその何でもできる双子の兄だからやっぱり兄の方もやる気を出せばね
何でもできるすごい素質はあるんですけど でも性格がね
あの まあ優しい性格なんでしょうね怠け者を装いつつ
あの弟を立ててあげるようなそういう性格 弟をこう
弟を殺してまで殺すって本当の殺すじゃないですよ 弟を任して自分が勝ってそれで自分が目立とうとは思わないそういう性格なん
でしょうね だから弟の影に隠れてその
スポーツとかね何でもできるすごい素質が あの目立ってなかったんですけどあることをきっかけにして真面目に
スポーツをやるようになってそれでどんどんね すごい選手になっていくっていうそういう話なんです
まあ何がきっかけかっていうのはここで話してしまうと面白くないのでぜひ読んで みてください
では続いて今日の2つ目のおすすめ作品 今度はですね
あの音楽の漫画です音楽っていうかねバンドの話なんですけど タイトルはべっく
べっくっていう漫画です これはねあの
主人公の男の子はもともとね全然音楽には興味がない バンドとか楽器とかは全然やらない人だったんですけど
ある日ねえっとバンドをやっているすごいギターが上手な男の子と出会ってそれを きっかけにしてどんどんね
あの バンドにはまっていくっていう漫画なんですよ
