ep. 195 - おすすめの漫画6(N2)

(00:00:00) ん
(00:00:08) 皆さんこんにちはと思うですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:18) そんな人のために日本語教師の友がちょうどいい日本語で話をします はいじゃあ今日はね前回の続きでまた俺のおすすめの漫画を紹介していきたいと思います
(00:00:29) じゃあまず一つ目ですね早速ですけど 今日の一つ目の所紹介する作品はスポーツ漫画です
(00:00:37) タイトルはタッチ これはねもう何年前だろう30年前とかそのぐらい昔かな
(00:00:46) でもね今でもすごい有名な作品です まあこの作者の人はね野球漫画が多いんですけど他にもいろんなスポーツを題材にした漫画を書いて
(00:00:55) て今でもね現役で漫画を書き続けているすごい あの漫画家の一人です
(00:01:03) で それでもね有名な作品はたくさんあるんだけどでもやっぱりこのタッチっていうのがね
(00:01:11) この人の作品の中で一番有名なんじゃないかなと思います あの映画にもアニメとか映画にもなった作品で
(00:01:19) であの漫画もね昔から読まれてるし何回か あの
(00:01:27) なんていうかねこう普通の漫画じゃなくて文庫ボンって言ってちょっと まとめたね綺麗になった形で出版されたりとかしている作品なんですけど
(00:01:38) じゃあどんな話かというと野球の漫画です で主人公は双子の男の子
(00:01:46) で猫の双子の男の子で まず目立つのはねやっぱり弟の方ですね
(00:01:52) かつやっていうあの名前なんですけどもすごい野球が強いんですよ あのこのかつや
(00:02:01) 8弟の方はピッチャーでで 甲子園って言って日本の高校生の野球の大会で一番有名な大会
(00:02:11) その甲子園に出場する出場することを目標にして頑張ってるんですね で
(00:02:18) 双子の兄の方は立つやって言うんですけど実はこの兄の方はね あの最初は野球してないんですよ
(00:02:27) すごいねあの 性格も怠け者であんまりね真面目じゃない
(00:02:35) だから勉強もスポーツも全然真面目にやんないんですけど でもねかつやの方弟の方はすっごい真面目で運動神経も良くて何でもできる人
(00:02:45) で でその何でもできる双子の兄だからやっぱり兄の方もやる気を出せばね
(00:02:54) 何でもできるすごい素質はあるんですけど でも性格がね
(00:03:00) あの まあ優しい性格なんでしょうね怠け者を装いつつ
(00:03:07) あの弟を立ててあげるようなそういう性格 弟をこう
(00:03:14) 弟を殺してまで殺すって本当の殺すじゃないですよ 弟を任して自分が勝ってそれで自分が目立とうとは思わないそういう性格なん
(00:03:24) でしょうね だから弟の影に隠れてその
(00:03:29) スポーツとかね何でもできるすごい素質が あの目立ってなかったんですけどあることをきっかけにして真面目に
(00:03:37) スポーツをやるようになってそれでどんどんね すごい選手になっていくっていうそういう話なんです
(00:03:44) まあ何がきっかけかっていうのはここで話してしまうと面白くないのでぜひ読んで みてください
(00:03:50) では続いて今日の2つ目のおすすめ作品 今度はですね
(00:03:55) あの音楽の漫画です音楽っていうかねバンドの話なんですけど タイトルはべっく
(00:04:03) べっくっていう漫画です これはねあの
(00:04:08) 主人公の男の子はもともとね全然音楽には興味がない バンドとか楽器とかは全然やらない人だったんですけど
(00:04:17) ある日ねえっとバンドをやっているすごいギターが上手な男の子と出会ってそれを きっかけにしてどんどんね
(00:04:25) あの バンドにはまっていくっていう漫画なんですよ
(00:04:30) でこのバンドがね最初は全然有名じゃないんですけどでもそのバンドのメンバー あのギターとベースとドラムとボーカルと
(00:04:41) みんな一人一人がねすごい あの個性的で才能がある人で最初は目立ってなかったんだけどどんどんどんどんね
(00:04:50) あの上手になって有名になっていくんですけどただやっぱり あのすんなりとね
(00:04:58) 先には進めないんですよ敵がいるんですよ 敵っていうのは要するにそのバンドがあの有名になるのを邪魔する人ですね
(00:05:08) そういう人たちがいるんですけどでもねあの いろんな邪魔とか障害とかを乗り越えながら
(00:05:15) 自分たちの音楽を続けていくで最終的にはすごいね 有名なバンドになるっていうそういう話ですね
(00:05:23) でねこれはねやっぱりすごい有名な漫画なんですけど 音楽の話って普通は音がない漫画だとね
(00:05:35) 音楽表現できないじゃないですか アニメとか映画だったらまあわかりますよ
(00:05:41) ちゃんと音がわかるからねでも漫画には音がないでも 音がない漫画で音を表現してるって言ってすごく有名になった漫画です
(00:05:54) 確かにねこれあの 漫画なんだけどでも音楽を聞いているような気分になります
(00:06:01) すごいねあの面白い漫画です出てくる人たちもかっこいい魅力的な人が多いので ぜひ読んでみてください
(00:06:11) じゃあねもう一つ今日はねもう スポーツ音楽全然違うジャンルの話ばっかりなので最後も全然違う
(00:06:20) 最後はギャグ漫画の紹介になります えっとねこれはね
(00:06:26) エンジェル伝説っていうタイトルの漫画で まあギャグなんですよ
(00:06:32) 要するに面白いこと面白い話がたくさんあるんですけど あの主人公は高校生の男の子
(00:06:41) でねこの男の子がどんな人かっていうと 漫画のタイトルはエンジェルつまり天使なんですけどね
(00:06:49) でもこの男の子の顔は悪魔なんですよ 要するにすごく怖い顔
(00:06:58) すっごく怖い顔なんだけどでも心の中がエンジェルなんですよ つまりすっごい優しいすっごい親切
(00:07:07) もう悪いことなんか何一つ考えてないすごい天使のような心を持っている優しい 男の子があのいろんなことをしていくっていうそういうお話ですね
(00:07:18) で まあ何が面白いところかっていうと
(00:07:22) 周りの人はね その男の子の顔を見るとすごい怖いからこいつは悪魔みたいな顔だ怖い顔だ
(00:07:29) きっと悪いやつに違いないと思って 例えばねあの学校の中では
(00:07:36) ヤンキーってわかるかなヤンキーとかあと不良とかね要するに あの学校にはいってるけど全然真面目じゃなくて悪いことばっかりして
(00:07:47) あの人と喧嘩したりとかねタバコ吸ったりとか授業行かないでどこ遊び行ったりとか そういうのを不良って言うんですけど不良たちがその主人公に喧嘩を売ってきて
(00:08:01) で主人公はあの すごい優しい心を持ってるからね喧嘩を売られてもそれにあんまり気づかないんですよ
(00:08:11) で気づかないで喧嘩を売られてでまぁ喧嘩だからね殴られたりするんですけど でもこの漫画の面白いところでその主人公って
(00:08:21) すっごい優しくて全然不良じゃない真面目な人なんだけどでも実は喧嘩強いんですよ 本人は喧嘩をしているつもりがないんだけどでも実はすっごい運動神経が良くて
(00:08:35) 喧嘩しているつもりはないけどでも勝っちゃうっていうパターンですね であの本人は全然自分は不良じゃないと思ってて
(00:08:44) で実際に優しい心の持ち主なんですけどでも周りの人がどんどん勘違いして あのあいつは不良だと思って喧嘩を売ってて喧嘩に負けて
(00:08:55) で どんどんどんどんあの
(00:08:59) その主人公が不良たちの中で偉い立場になっていっちゃうんですよ というお話なんですがでもね悪いことばっかりじゃなくて勘違いされるんだけどでも
(00:09:12) 最後にはその人がすごい優しい良い人だってわかってくれる人がどんどん増えていって で友達が多くなってそれであの楽しい高校生活が送れるっていうそういうお話です
(00:09:25) なのであのまあハッピーエンドの 読んでてね気分のいい漫画だと思うので読んでみてください
(00:09:33) あの 日本のね高校生の生活
(00:09:38) 今の高校生と違うかなこの漫画もやっぱりね20年ぐらい前の話ですから 古い高校生の生活ですけどでもある意味ね日本の文化を知るいい機会にはなるかも
(00:09:48) しれません なので日本の高校生の生活とかも
(00:09:53) 気になる人読んでみると面白いかもしれません はいじゃあこんなところで今日のお話は終わりにしたいと思います
(00:10:02) 俺の好きな漫画の紹介でした やっぱり日本人が読む漫画だと日本語も難しいとは思うんですが
(00:10:09) 今日なんか特にねあの スポーツと音楽とギャグといろんなジャンルの漫画だからいろんなものを読むとそれだけね
(00:10:18) 日本語も上手になると思うので日本語の勉強のためにもね いいと思いますから読んでみてください
(00:10:25) はいじゃあ今日はこの辺で漫画の紹介終わりたいと思います またあの紹介したい漫画が出てきたらね
