ep. 196 - 方言(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師のトモがちょうどいい日本語で話をします
久しぶりのちゃんとしたエピソードですね
先月ちょっと入院してしまってなかなかできませんでしたが とりあえず生活は落ち着いてきたのでまた前と同じペースでやっていきたいと思います
それでその先月ね入院してる間とかに たくさんメッセージとかねリクエストももらったので今日はそのリクエストの一つ
方言について話したいと思います 前にも方言について話したことは
あったと思うんですけど方言ってそのいろいろな日本語ですね場所によって違う日本語 分かりやすいものとか有名なものだと大阪の方の言葉ですよね
東京の日本語と大阪の日本語全然違いますからね で他にもあのテレビとかでは全然見たり聞いたりしないと思うんですが
東京と全然違う言葉だと 日本の本州っていうねその
一番大きい島ですね東京とかがあるその本州の一番北にある青森とか 北海道のすぐ下にあります青森県とか
あとは反対に九州の 一番南にある鹿児島とか
その青森県とか鹿児島県の日本語も全然違う日本語で あの俺はねその青森とか鹿児島の人が
本気で話した日本語は多分半分もわかんないと思います そのぐらい方言って場所によって違うものなんですね
で今日のリクエストはねあの 方言で話してもらいたいっていうことも書いてあったんですよ
ただねあのあんまりね方言使いすぎると実は その場所によって方言って全然違うから
俺の方言をね同じところに住んでる人が聞いたらこの人は 何県のどこに住んでる人だっていうのが結構ねすぐわかっちゃうんです
あの同じ県の中でもさらに場所によってちょっと違うんですよ方言って だから知ってる人が聞いたらねすぐわかるんですよ
なのであんまりね ここで方言使いすぎると俺の住んでる場所がだいたいわかっちゃって
俺の住んでるところってすごい田舎だから日本語学校もすごい少ないからね だからあの県に住んでる
日本語学校の先生で男の人だからじゃあこのポッドキャストはあの人がやってるな ってすぐわかっちゃうんですよ
なのであの 方言のすべてを話すことはねできませんがまぁ少しね話したいと思います
えっとねまぁもう少しね話す前に俺も住んでるとこの方言について説明すると まずねあのアクセントとか
イントネーションが違うんですよ
アクセントっていうのは日本語の言葉の高い音と低い音ですね わかりやすいのだと例えば雨と雨ですね
雨って言うと食べ物ですが雨って言うと天気の上から降ってくる水ですね その高い音低い音雨雨みたいなのがアクセントって言うんです
であとはイントネーションっていうのは あの言葉の最後の
上がったり下がったりする言い方 えっと日本語だと質問するときには普通はあの上に上がりますよね
あなたはどこから来たんですかっていうふうにかがちょっと高い音になる こういうのをイントネーションって言うんですが
そのねとにかく俺の住んでいるとこの方言はこの高い音低い音っていうのが他の 場所と全然違います
あとね文法もまあ少し違うのがあります 文法っていうかまぁ
あの 助詞とかそういう言葉ですね
えっとまぁ例えば 行きますっていう言葉だとどこどこへ行きますとかに行きますって言ったりします
が そのねえとかにじゃない違う助詞を使うんですよ
んでえっとまぁ他にもねその えっと例えばなんとかでしょうとかだろうっていう文型皆さん初級の日本語で
勉強したと思いますがそれもね俺の住んでいるところでは違う言葉があります まあこういうふうにね文法が違うっていうのも方言の特徴で
他の地域でねわかりやすい違いだと例えば あの関西の方とかだとみんなが教科書で勉強した敬語とちょっと違う敬語があったり
しますね あの春敬語って言って
関西の方だと しますじゃなくて支張りますっていうふうに春っていう言葉を中に入れるとか
こういう文法的な違いなんかもあの方言ってあるんですよ だからねその言葉が違う単語ももちろん違いますしね
言葉が違う文法も違うアクセントも違う全部違うから同じところに住んでる人が聞いたら あこの人はだいたい同じ地域に住んでる人だなっていうのがわかるんです
でね今日はその 単語と文法とすべてを
俺の方言にしちゃうと場所がわかっちゃうからとりあえずねアクセントだけ変えて話して みようと思います
ただねアクセントが変わるアクセントだと発音か発音も少し変わりますね そのアクセントと発音が変わるだけでそれだけでもね結構全然違う日本語に聞こえるん
じゃないかなとは思います じゃああの
そうですねあの最近のニュースだと日本に留学生が入れるようになってきたので まあそれについて少し話をしようと思います
はいじゃあここからちょっと方言で話しますね あの先月の下旬ぐらいに留学生とかあとベジネスとか
旅行以外の人が日本に入れるようになるってあの日本の政府が方針変えましたね で今月から留学生
あのどんどん入れるようになりました もともとそのビジネスと留学生が日本に入れる人数って1日5000人ぐらいっていう話だったんですけど
でも留学生って今日本に入れないで自分の国で待ってる人がすげーいっぱいいるから あの5000人だけじゃなくて留学生もっとたくさん入れるらしいですね
だからあの 自分の国で
留学生の皆さんね日本に入れなくて待ってる留学生の人が自分の国でちゃんとビザとか もらえてあの日本に来る準備できたらもうすぐ日本に来れるらしいんですよ
だからあの今までね日本語学校とか専門学校とか大学とか留学生全然来れなくて 学生数すごい少なくなってたんですけど
あの たぶん来月とかあとは再来月ぐらいからすごい留学生いっぱい
入ってきて学生増えると思うんですよね だからあの
ちょっとね今年とか来年とかまぁ去年もそうなんですけど 学生が全然いなくてあの滑れちゃう学校って結構たくさんあったと思うんですよ
あの去年までと同じくらいのその同じような状況がずっと続いてたら多分今年日本学校って もうほとんどなくなっちゃってたと思うんですよ
学生がいなくて だからあの
来月からまた 留学生入ってきてであの新しいクラス新しいクラスもたくさん作ってでちゃんとね授業も
できるようになると思うからすごい あのいい
状況に変わってきたなぁと思います で日本に来たくても全然来れなかった留学生もすごいたくさんいてみんな
もう2年間丸2年ですねずっと待たされてだから あの
日本語の先生日本にいる日本語教師のみんなもすごい かわいそうっていうかあの
もちろんねその日本語教師がそれ決めたわけじゃないんですけど日本の制服がそういうふうに あの留学生が
大学とかに合格しても入れないっていうふうに決めちゃったからすごい申し訳ないなっていう ふうに思ったんですけど
やっとあの入れるようになったから2年間諦めないでずっと待っててくれた人本当に あのありがたいなって思うしいかぜひ頑張ってほしいなというふうに思ってます
なのでねあのこれから日本に来る予定の人もしかしたらこのポッドキャストを聞いてる 人もいるかもしれないから
日本に来たらぜひね頑張って いってくださいであの日本の生活だんだんその
コロナもねちょっと落ち着いてきたから ねあのいろいろ楽しんでいってください
はいじゃあとりあえずここまでが方言で話した俺の日本語ですじゃあもうここからは普通の 日本語に戻しますね
実はね俺あんまり方言って普段話さないんですよ あの生まれも育ちも
今ね住んでる場所だから方言聞くのはまあ大丈夫なんですけど なんか
昔からねあんまり方言を使わないで 育ったんですよ俺
なんかねテレビとかラジオとかそういうのをよく見てたからですかね だから方言じゃなくて標準語っていうまあ普通の日本語で話す癖がついちゃっているので
ちょっとねあの 俺の友達が言うとね友達に言わせれば俺の方言は下手らしいんですよ
だからあのもしかしたらちょっとね変なところがあるかもしれませんがまぁだいたい こんな感じだと思います
はいじゃあねあの これ聞いてる人にはね人の中で割と同じ場所に住んでる人はあんまりないとは思うん
ですけど もしこれを聞いてこの人はだいたいあそこら辺に住んでるなって分かっても
あの内緒にしといてくださいね はいじゃあ今日は方言についてでした
初めての俺の方言でしたがどうだったでしょうか 日本に留学に来る人なんかはね自分の行く場所これから住む予定のところがどんな方言
話すのかっていうのをちょっと気をつけて 調べてみるといいと思います本当にね場所によっては教科書で教科書と全然違って
難しい日本語のことがありますからね はいじゃあえっと
新しいエピソードすぐすいませんすごいお待たせしてしまいましたがまたこれからは たくさん作っていきますので
今後もよろしくお願いします それじゃあさようなら
