ep. 196 - 方言(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:17) そんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:23) 久しぶりのちゃんとしたエピソードですね
(00:00:30) 先月ちょっと入院してしまってなかなかできませんでしたが とりあえず生活は落ち着いてきたのでまた前と同じペースでやっていきたいと思います
(00:00:42) それでその先月ね入院してる間とかに たくさんメッセージとかねリクエストももらったので今日はそのリクエストの一つ
(00:00:51) 方言について話したいと思います 前にも方言について話したことは
(00:00:58) あったと思うんですけど方言ってそのいろいろな日本語ですね場所によって違う日本語 分かりやすいものとか有名なものだと大阪の方の言葉ですよね
(00:01:09) 東京の日本語と大阪の日本語全然違いますからね で他にもあのテレビとかでは全然見たり聞いたりしないと思うんですが
(00:01:20) 東京と全然違う言葉だと 日本の本州っていうねその
(00:01:30) 一番大きい島ですね東京とかがあるその本州の一番北にある青森とか 北海道のすぐ下にあります青森県とか
(00:01:39) あとは反対に九州の 一番南にある鹿児島とか
(00:01:46) その青森県とか鹿児島県の日本語も全然違う日本語で あの俺はねその青森とか鹿児島の人が
(00:01:57) 本気で話した日本語は多分半分もわかんないと思います そのぐらい方言って場所によって違うものなんですね
(00:02:05) で今日のリクエストはねあの 方言で話してもらいたいっていうことも書いてあったんですよ
(00:02:13) ただねあのあんまりね方言使いすぎると実は その場所によって方言って全然違うから
(00:02:22) 俺の方言をね同じところに住んでる人が聞いたらこの人は 何県のどこに住んでる人だっていうのが結構ねすぐわかっちゃうんです
(00:02:34) あの同じ県の中でもさらに場所によってちょっと違うんですよ方言って だから知ってる人が聞いたらねすぐわかるんですよ
(00:02:44) なのであんまりね ここで方言使いすぎると俺の住んでる場所がだいたいわかっちゃって
(00:02:52) 俺の住んでるところってすごい田舎だから日本語学校もすごい少ないからね だからあの県に住んでる
(00:03:01) 日本語学校の先生で男の人だからじゃあこのポッドキャストはあの人がやってるな ってすぐわかっちゃうんですよ
(00:03:08) なのであの 方言のすべてを話すことはねできませんがまぁ少しね話したいと思います
(00:03:20) えっとねまぁもう少しね話す前に俺も住んでるとこの方言について説明すると まずねあのアクセントとか
(00:03:29) イントネーションが違うんですよ
(00:03:33) アクセントっていうのは日本語の言葉の高い音と低い音ですね わかりやすいのだと例えば雨と雨ですね
(00:03:43) 雨って言うと食べ物ですが雨って言うと天気の上から降ってくる水ですね その高い音低い音雨雨みたいなのがアクセントって言うんです
(00:03:54) であとはイントネーションっていうのは あの言葉の最後の
