ep. 198 - 卒業式(N4)）

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
えっとちょっとね新しいエピソード遅くなってすみませんでした 最近結構忙しくて時間があまりありませんでした
まあ忙しいと言ってもこれは 結構いい話で忙しかった理由が
まずは先週学校の卒業式があったということ ちゃんとねあの俺の学校の学生が問題なく卒業できて
それでちょっと忙しかったんですけどそれともう一つ 最近留学生が日本に入れるようになって
それで新しい仕事が多くなって忙しかったんです 今までずっとコロナのせいで日本に来ることができなかった人がたくさんいるんですけど
でも あの今月からですねたくさん留学生が日本に入ることができるようになったので
だから あのちゃんと卒業式ができたことと新しい学生が入ることができるようになったって
いうことこの2つで忙しかったので なのでとてもいい話ですね
さて今日のテーマはその俺の学校でも先週あった卒業式です 皆さんは卒業式というと何月をイメージしますか
国によって違うかもしれませんが 日本では
もう誰でも同じ3月をイメージします
これは えっと理由があってまあ日本の卒業式は3月なんですけどどうして3月にするか
というと 日本では1年の数え方が
2つあります 1つはどこの国でも同じだと思います1月1日から12月31日まで
そして日本ではもう一つ 学校とか仕事が始まる
あの その1年の始まりというのがあります
この仕事とか学校の1年の数え方を年度と言います
えっと今年は 2022年なので4月に2022年度が始まります
そしてその2022年度が終わるのは来年の3月です だから
2022年の4月に2022年度が始まって 2023年の3月に2022年度が終わります
ちょっとわかりにくいかもしれませんが 日本では仕事と学校をこうやって数えます
なので日本では卒業式をするのはその年度が終わる3月 だから日本人は卒業式というと3月をイメージします
卒業式でイメージするものっていうのは時間の話だともちろん日本人は3月 あとは他には
日本人だと卒業式って聞くとイメージするものがいろいろあります まずは桜ですね
桜は 皆さん知っていますよね日本の春の花です
この桜はだいたい暖かいところだと3月の終わりぐらいに咲き始めて あ違うか咲き始めるのはもうちょっと早いか
3月の真ん中ぐらいかな早いところだと そして
満開と言ってその木の花が全部咲く それが早いところだと3月の終わりぐらい
遅いところ寒いところは遅いんですけど 遅いところだと桜が咲き始めるのがだいたい4月の最初ぐらいですね
そして桜が満開になるのがだいたい4月の真ん中ぐらい
で卒業式は3月にするので あの卒業式というと桜のイメージが強いです
ただこれも場所によって違うんですけど 暖かいところ例えば九州とかですね
そっちの方は あの卒業式の時に桜が咲いていますから卒業式というと桜を考える人が多い
ですが 8もう少し
寒いというか涼しいところ あの東京とかそっちの方ですね 東京だと多分卒業式の時に桜が咲いているところは少ないです
だから 暖かいところに住んでいる人は卒業式は桜の花をイメージして
そしてそうじゃないところは桜の花じゃなくて 蕾って言うんですけど花が咲くちょっと前ですね
それを考える人が多いと思います そして寒いところに住んでいる人は卒業式と聞いても多分
桜のイメージは全然ないと思います
俺もねあんまり暖かいところには住んでいないので卒業式と聞いても桜のイメージ はあんまり強くないです
まあ桜の木でね花が咲いてない桜の木であと少しで花が咲くというところはちょっと イメージできます
そして えっと
卒業式の後はその年度の始まりに入学式があるので入学式だとやっぱり桜の花を イメージする人がとても多いですね
今度は あのつぼみじゃなくてちゃんと桜の花が咲いているところですね
まあ俺の住んでいるところは寒いから卒業式も入学式もどちらも桜が咲いてないことが 多いんですけどね
でえっと卒業式の話に戻りますけど他に卒業式と聞いてイメージするのは 8そうですねやっぱり歌ですね
卒業式では日本の学校はいろいろな歌を歌います 8有名なのは
あのいろんなところでよく歌われるのはやっぱりありがとうさようならっていう曲ですね 俺も卒業式っていうとまずはこの歌をイメージします
この歌 あのどんな歌かは皆さん自分でインターネットでね調べてみてくださいすぐに歌詞が見つかる
と思います そんなに難しい歌じゃないので
あの日本語の勉強している人は あの歌詞をねちょっと言葉の意味とかを調べながら読んでみるとすぐわかると思います
そのありがとうさようならっていうのは学校のいろんなもの いろんな人に対してありがとうとさようならを言う歌です
これをね聞くとやっぱり卒業だなっていう感じがして そして自分が卒業する学生だったら
その今までの学生生活を思い出してちょっと泣きそうになったりすると思います
こんなのが卒業式のイメージですね あとはちょっとね他の国と
違うかもしれないと思うのが卒業式の時の服ですね 8
まあ高校とかねあの中学校とか高校はもちろん学校に行くときは制服を着ているので 卒業式もそうなんですが
大学の卒業式だと日本人は 女の人だと着物を着る人もいるかな
スーツの人と着物の人男の人はだいたいスーツだと思うんですが それが卒業式の服でそしてあの
他の国でよく見る卒業式の時の帽子はありません あとあの上に着る
ちょっと薄いコートみたいなガウンっていうんですかあれも日本ではあまり来ませんね その帽子とかガウンがある大学も少しはあるんですが日本ではほとんど見ません
やっぱり大体の大学がスーツですね はいじゃあこんなのが日本人の卒業式のイメージですね
えっと まあ日本人でももちろんねちょっと違う人もいるかもしれませんが大体の人は同じ
ようなものをイメージすると思います えっと国によってね全然卒業式のイメージ違うと思いますから
私の国ではこんな面白い卒業式がありますよっていう人がいたらぜひ教えてください 8卒業式でどんなことをするかっていうのも結構国によって違うと思うので
もしねそれも気になる人がいたらあの リクエストとかね送ってください日本の卒業式とかあとは入学式とかでね
どんなことをするかという話もしたいと思います はいじゃあ今日は卒業式についてのお話でした
えっともうすぐ3月が終わって新しい年度 学校の新しい1年が始まります
本当に留学生がねたくさん日本に入ってこれるようになって あの良かったなと思いますこれから日本で新しい生活が始まる人もたくさんいると思う
ので あの
これから楽しい1年が始まるように
えっと応援しています はいじゃあ今日はこの辺で終わりたいと思います
えっと皆さんも何かリクエストとかあったらぜひ送ってくださいね それじゃあさようなら
