ep. 200 - 暑さ対策(N4)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
えっと 最近ちょっと
エピソードを作るのが少し遅いですすみません 今ですね
とても忙しいんです 理由は2つあって
これは前もちょっと話したんですけどあの 日本に今留学生がたくさん入ることができるようになったから
俺の働いている学校に学生がたくさん来てそれで今仕事が忙しいんです そしてもう一つ
こっちが一番忙しい原因なんですけど 実は今月
子供が生まれました あの2人目なんですけどね
それでねあの すごく嬉しいんですけどすごくいいことなんですけど
あの 忙しいんですだから仕事が忙しくて家に帰ってからもううちの仕事がね
あの子供が2人いるのでたくさんあって それで
なかなか時間が作れません えっと
ですから皆さんのメッセージとかメールとか全部ちゃんと読んでいます あとはリクエストもちゃんと見ていますから
必ず作ります メッセージの返事もします
けど ちょっと遅いですすみません
もう少ししたら もしかしたらまあちょっとね暇に
暇にはならないけど忙しくなくなると思うのでそれまでね すみませんが少しゆっくりこのポッドキャストを作っていきます
でもね遅くても絶対 2週間に1回ぐらいは絶対に新しいエピソードを作ります
このポッドキャストは絶対やめませんからそれは安心してください それじゃあ今日はえっとねリクエストをもらったんですが
日本に留学したいけど 寒いところから日本に行くから
日本の夏の 暑い日
どうしたらいいかわかりません教えてくださいっていうリクエストです 確かにね日本の夏
とても暑いですね 北海道とかねあの一番北の
ところだとそんなに暑くないんですけどやっぱりねー あの東京とかその辺はすごく暑いですね
本当に東京はあのそんなに南にある国ではないんですけど 日本てねでも
あのビルとかがたくさんあってそれで 夏の暑い空気がずっと同じ場所にあるからそれでねとても暑くなります
じゃあね日本の暑い夏どうしたらいいか 実はこれは日本人も最近とても大変で
暑すぎて病気になる人もたくさんいるんですけど それでねー
最近まあ2,3年ぐらいですかね この2,3年ぐらいでその暑い時に使うものがたくさん売られるようになりました
俺もね一つ持っているんですけど小さい扇風機 あの
まあカバンの中に入れたりとかあとは首にかけたりとか そしてあの暑い時にすぐ使うことができる
そういう小さい扇風機が今たくさん売られています そういうのをねあの使うとちょっと
暑くても大丈夫になりますね 扇風機だけじゃなくて暑い時使うものだと
暑い時に首に巻く マフラーみたいなもの
あのマフラーって言っても冬に使うあったかいものじゃないですよ当たり前ですけど 冷たい
あの 氷みたいなマフラーとか水に濡らして使うマフラーとか
そういうのが売られています 外に行く時にそれを首に巻いておいたりかけておいたりするとちょっと暑さが
あの弱くなります だから扇風機とかその冷たいマフラーとかそういうものを準備しておくと
夏の暑さが少し あの
よくはならないけどね でもまぁちょっとだけ暑さが弱くなるかなと思います
もちろん服装も大事ですけどねあの 寒い国の人は暖かい服しか持っていないと思いますが日本に来たら
夏に着るあの夏のための服をねちゃんと買ってください 夏の服ってねいろいろあるんですけど
まずはもちろんあの 薄い服ですね冬の服って暑い服が暑い服ばかりですから薄い服
それから あの
暑いと 俺はねいつも暑い時は半袖を着るんですけど
半袖ってその腕のところが短い服ですね でも半袖だと実は太陽の光が体に直接当たるから
あのそれで 日焼けって言って
まあ えっと簡単に言うとやけどですね太陽の光がとても強くてそしてそれで怪我を
するようなそれを日焼けって言うんですけど日焼けしたりとか あの
直接太陽の光が当たると服を着ている時よりもちょっと暑くなったりとか そういうことがあるので
夏のための服で あの半袖もいいんですけど長袖だけどでもとても薄くて
あの太陽の光が当たらなくてちょっと涼しくなる服とか あとは汗をかいた時に
すぐにその汗が乾くような服とか そういう服もたくさんありますからそれを準備しとくのも大事ですね
えーっとでまぁ一番 大切というかね一番
効果がある その方法というのはもう俺はいつもこれしかしないんですけど
夏の間は 外に行かないのが
一番いいんじゃないかなと思います あの
どうしてもね外に出なきゃいけないことはありますけどね 留学生だったら
大学に行く人なんかは絶対に教室を移動するとき授業が終わって次の授業に行くとき 外を歩かなければならないことも多いと思うから
それに家から学校まで行くのもね大変ですからね絶対外に出なきゃいけませんから だからずっと家にいるのは難しいかもしれませんが
まあでも最近はオンライン授業が増えてきたからね あまり外に出なくても大丈夫かもしれませんね
俺もねあの 仕事があるからで俺の仕事はもうずっと学校の中にいるから外に行かなくても
大丈夫なんです それで俺はもう
できるだけ外にはいかないように家の中 会社に行ったらまあ会社っていうか学校に行ったらずっと学校の中にいるようにしています
これがね一番いい 夏の過ごし方じゃないかなと思います
それじゃあリクエストをくれた人は来年行きたいっていう話だったので
あの まあいろいろね今コロナもそうだしいろんな大変なことが世界でありますから
来年ちゃんとこれるかわかりませんけど あの
これるといいですね日本にもし来ることができたらぜひ日本の生活を楽しんでください
それじゃあ今日はこの辺で終わりますがまたね何かリクエストとかあったら皆さんもぜひ メッセージとか送ってください
それじゃあさようなら
