ep. 201 - かっぱ(N3)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです教科書の日本語は面白くないでもドラマや映画は難しすぎるそんな人のために日本語教師のトモがちょうどいい日本語で話をします
(00:00:27) さてえっとお久しぶりです遅くなってすみませんでした
(00:00:34) なかなかね風邪が治らなくてあの まだ完全には治ってないんですけど
(00:00:42) まあ あのもうね熱もないし頭も痛くないしまだ咳と鼻水は出ますが仕事もできるぐらいに回復したので
(00:00:53) 今日新しいエピソードを作っていますが いやーなんで子供に写された風邪ってこんなに
(00:01:01) 大変なんでしょうねこれ日本だけじゃないと思うんですけど 小さい子供がいる人
(00:01:09) 同じ経験あるかもしれませんが 子供が風邪をひいてそしてその風邪を写されると子供はすぐ治っちゃうのに大人は
(00:01:22) すごい治るのに時間がかかるっていうことありませんかね 俺いつもそうなんですけど
(00:01:30) まあとりあえずねあのまだ治りきってはないですけどなんとか回復しました さて今日はですねあのリクエストをもらってるんですけどちょっとね面白いリクエストで
(00:01:43) カッパについて話してくださいっていう リクエストです
(00:01:49) あのカッパっていうのは日本の妖怪 昔からいる日本のモンスターですね
(00:01:56) その妖怪の一つなんですけど どんな生き物かというと水の中に住んでいるもので
(00:02:07) あの水って言っても海じゃなくて山にある池とかそういうところですね そこに住んでいる生き物で
(00:02:17) 亀みたいに背中に丸い甲羅があって であの
(00:02:25) まあこれは良い話も悪い話もどっちもあるんですけど 水に住んでいる妖怪だから
(00:02:32) 人が通るとその人を水の中に無理やり連れて行って殺してしまうっていうような ちょっと悪い話もあるし
(00:02:44) あの逆にね水池とかで溺れている人を助けてあげたっていうようないい話とかもある そんなね
(00:02:53) いい奴なのか悪い奴なのかわからない それがカッパという妖怪ですね
(00:02:59) あの俺もねカッパについてそんな詳しいわけじゃないし その特別カッパが好きなわけでもないんですけど
(00:03:08) でもねやっぱり日本人だったら日本で生活 子供の頃からずっと生活してるとカッパを知らない人っていうのは多分いないんじゃないかなと思うんですよ
(00:03:20) であのまあそれはいろいろ理由があってまずはね あの有名っていうかまあやっぱり日本人ならみんな知ってる
(00:03:31) 生き物妖怪ですけどね生き物だから だからねいろいろなところでキャラクターとして使われてるんですよ
(00:03:38) カッパっていうのが よくあるのが
(00:03:42) 寿司ですね あの日本の寿司わかりますよねみんな日本の食べ物ですけど
(00:03:50) なんで寿司でカッパが使われるかというとカッパはね なんでかわかんないけどきゅうりが好きっていうふうに言われてるんですよ
(00:04:00) で寿司の中の一つでカッパ巻きっていう寿司があって あの
(00:04:08) ご飯をね えっとご飯の中にきゅうりを入れてそして丸くしたお寿司があるんですが
(00:04:16) それあのきゅうりが入ってるからカッパが好きなものが入ってるからカッパ巻きっていう 名前のお寿司で
(00:04:22) でそのカッパ巻きっていうのがあるから寿司のキャラクターでカッパが使われることがある あの
(00:04:31) カッパ寿司っていう名前のお寿司屋さんもあるぐらいです でそういうふうにあのいろんなところでキャラクターとして使われるし
(00:04:42) 昔からいる妖怪だからいるっていうかいるかどうかわかんないですけどね 本当はいないかもしれないけどでも昔からカッパの話っていうのはあるから
(00:04:52) だからいろいろなアニメとか漫画でもそのカッパが出てくるんですよ でね俺もね
(00:05:00) 前に1回なんかで話したことあるかなあの 子供の時読んでた漫画で妖怪がたくさん出てくる漫画があるんですけど
(00:05:11) ヌーベーっていう漫画なんですけどねその中にもカッパが出てきたから だからね
(00:05:17) 俺とかまあその日本で子供の時から生活している人はそういうのからカッパの知識を あの得るんですよ
(00:05:26) で俺はまあ漫画が好きだからね漫画でカッパのことをいろいろ読んだから あのカッパについて
(00:05:33) ちょっと知ってることがあるんですけど例えばそのカッパっていうのは 面白い生き物で
(00:05:40) 右腕と左腕が体の中でつながっていて右腕を短くすると左腕が長くなったり 反対に左腕を短くして右腕を長くしたりっていうことができるとか
(00:05:56) あとはカッパは頭の上に皿があるんですよ 皿っていうかねその
(00:06:04) なんて言えばいいかな頭の上がね髪の毛とか何にも生えてなくて 皿みたいに平らになっているんですけど
(00:06:12) その皿は カッパって水の中の生き物だから皿はねいつも濡れてないといけないんです
(00:06:20) その皿が完全に乾いてしまうとカッパは死んでしまう とかねそういういろいろなカッパにカッパの
(00:06:30) なんていうんだろう昔から言われている話っていうのがあります で
(00:06:36) あの最近だとねカッパは あの子供のテレビにも出てきているのを見ました
(00:06:45) まあ俺家にね小さい子供がいるから子供と時々一緒にテレビを見るんですけど その子供が見るテレビのキャラクターの一つがね
(00:06:54) カッパでしたね だからやっぱり昔からいる業界ですけど今もこうやって
(00:07:00) あの小さい子供からねテレビでずっとカッパを見て育っていくので日本人はカッパ っていうものを知っています
(00:07:12) んでねあのカッパについて話してくださいって言ってもそうだね俺が知ってることなんて まあそのぐらい
(00:07:20) なんですよね で
(00:07:24) 何だろうカッパが好きか嫌いかって言われたら
(00:07:30) なんだろうな別に好きでもないけどでももしカッパが 日本からいなくなったらちょっと寂しいなあっていうぐらいには
(00:07:40) なんていうかなその愛着って言うんですけど あの何かが好きだったり大事だったりする気持ちですね
(00:07:49) そういうのがありますね やっぱり日本人はね子供の時からずっとそのカッパをいろんなところで見てる
(00:07:56) から あの
(00:07:59) そういう気持ちね日本の昔からある日本オリジナルのものに対しては愛着があるん じゃないかなと思います
(00:08:09) えーと今日はねカッパについてのリクエストでしたが あの日本には昔からいる妖怪とかまあつまり日本のモンスターですね
(00:08:20) そういうのとかあとはあの不思議な生き物とかね あの本当にいるかどうかはわかんないですよ
(00:08:29) 誰かが作った話かもしれませんけどでも昔から どこかにこんな不思議な生き物がいるみたいな話っていうのは結構たくさんあるんです
(00:08:39) カッパは妖怪ですけど他にも例えば あの有名な変わった生き物だと土の子とかね
(00:08:49) 土の子知ってる外国人がいたらちょっとびっくりします あのそんなに有名じゃないかもしれないけど
(00:08:57) でもヘビみたいな生き物ででも体がちょっと太くて めったに見ることができない昔ねその土の子を捕まえたらお金がもらえる
(00:09:10) なんていう話があったぐらい あの私は土の子を見ましたっていう人が結構いたんですよ
(00:09:18) で見たっていう人はいるけど捕まえた人は誰もいない そういうね不思議な生き物なんかが日本には結構たくさんいます
(00:09:28) カッパもねあの実は 妖怪だからそのほんとはいない
(00:09:36) と思うんですけどねでも あの
(00:09:41) 日本には昔から伝わるカッパのミイラとかが実はいろんなところにあったりするんです まあそのカッパのミイラって言っても本物かどうかわかんないですよ
(00:09:54) ただあのよくねお寺とかにはあったりするんですけど昔から あのこれはカッパだと言われてきた
(00:10:03) ミイラとかが その建物の中に置いてあったりとかそういうのがあるんですよ
(00:10:11) だからあの なんかねそのカッパのミイラとか情報を探して見に行ってみると面白いかもしれませんね
(00:10:20) はいじゃあ今日はカッパについてのお話でした まあそんなね詳しい話はできませんけどね
(00:10:27) 日本にはこういう不思議な生き物がいるんですよっていうお話でした じゃああの今日はこの辺で終わりにしますがまたね何かリクエストとかあったら
(00:10:38) あの気軽にメッセージを送ってください えっと一応体調は落ち着いてきたので来週も
(00:10:45) あのまたね1週間に1回ぐらいのペースに戻したいと思いますが ちょっとね仕事があの忙しいからねもしかしたらまた少し遅れることはあるかも
(00:10:55) しれませんが あのポッドキャストやめたりはしないのでそこは安心してください
(00:11:00) あとメッセージを送ってくれた人メッセージとかメールを送ってくれた人の返事もね 遅くなりますけど必ず一人一人のメッセージは全部読んでそして時間ができた時に
(00:11:12) ゆっくり返事はしていきますので 時間がかかって申し訳ないですけど返事は少し待っててくださいね
(00:11:20) はいじゃあ今日はこれで終わりにしたいと思いますさようなら
