ep. 203 - 外国人に馴染みのない日本の習慣(N2)

ん
皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
でもドラマや映画は難しすぎるそんな人のために日本語教授の友がちょうどいい日本語で 話をします
はいじゃあ今日はですねあのまたリクエストをもらったんですけど 外国人がねその日本に来た時によく間違える習慣とか何か文化とかそういうのって
ありますかっていう質問ですね えっと実は日本では最近ねあのだんだん
外国人の旅行者観光者がね国に入れるようにした方がいいんじゃないかっていう話が どんどん進んできてそれでもうすぐね日本に旅行に来れるようになるかも
しれないんですよ まだねあの個人の
あの個人の自由な旅行では日本には入れないとは思うんですけど ツアーとかねそういうので少しずつ観光客を入れておこうという話です
なので今日はねそのもうすぐ外国人観光客 外国人の旅行者が日本に来るかもしれないのでそれにちょうどいい話題かなと思います
ではえっとねー 外国人が間違える日本の習慣って何があるかですが
何だろうね何があるだろうねあの俺もよくよくっていうか毎日外国人と話してはいるけど そんなね旅行者とは話をしてないから旅行者が間違える
あの ね日本の習慣とかっていうのはあんまり思いつかないんですけどとりあえずねうちの学生
俺のいる学校の学生がよく注意されていることとか それはねまあいくつか思い浮かぶのでそれについてちょっと話していこうかなと思います
じゃあまずはねあの 一つ目これはねもう日本に来てから
何ヶ月経っても あのずーっとね注意される人がいるんですけど
ゴミの分別かな ゴミをねなかなか分けて捨ててくれないなーっていうのがありますね
あの気持ちはわかります正直俺もめんどくさいなと思うことはあります あとはねちょっとぐらいもプラスチックだけど燃えるゴミに入れちゃってもいいかなーっていう
ようなこともまあないことはないです でもやっぱりねもう少しちゃんとわけないと日本ではダメなんじゃないかなーって思うことが
ありますね 8まあ日本の音そのゴミの分け方について日本に来たことがない人は知らないと思います
が 結構細かく分けますこれはあの自治体によってもね場所によっても違うんですけど
例えば俺の住んでいるところだと燃えるゴミとあとはプラスチック あとプラスチックと後ペットボトル
瓶 館
そしてその他のゴミあとは粗大ゴミですね これを全部分けて捨てないといけません
あとはねあの厳しいところだと プラスチックはさらに2つに分けないといけないというところも聞いたことがあります
あのね形がない柔らかいプラスチックと 硬いプラスチック製品ですね
それは別々にしないといけない っていうねそういう細かい分け方の場所もあるみたいです
えっとねこれがまあまず最初に思い浮かぶことですね えっと次に思い浮かぶことといえば
うんと 声の大きさかなぁ
えっと時々ね 警察とか呼ばれるんですけどあの
外で大きい声で話す人が多いっていうそういう苦情が来ることが時々あります えっと日本では建物の外
まあ自分の家じゃなくてね外であんまり大きい声で話はしません もちろん子供がね大きい声であの騒いだり笑ったりとかそういうこともありますが
大人はそんなね大声で話をしません なのでもちろん電車の中とかバスの中とかそういうところでも大きい声では話をし
ません えっとこれは知っている人も結構いると思いますが日本の電車やバスの中では電話で話を
してはいけません 隣にいる友達とね小さい声で少し話すくらいだったらまあ大丈夫なんですけど
だからとにかくあの 外では静かにっていうことですね
えっとあとは 何かな何があるかなえっとね
日本で生活しててあーそうだあの 時間が厳しいって話は聞きますね
これは そうだな旅行に来る人だと
あの 予約した何かのイベントとかねまあツアーとかそういうものの時間をちゃんと守る
っていうことを覚えておいた方がいいかもしれませんね 日本で生活している人はアルバイトとかをすると思うんですけど
あとは学生だったらアルバイトだしあの社会人はね仕事 あの日本に仕事で来る人もいると思いますからそういう人は仕事の開始時間本当に
日本は厳しい1分でも遅れてはいけない えっとそれがねうちの学生には結構最初は
厳しいみたいですね大変だというふうに言ってますね あとはその旅行の時もねなんか予約したものがね
あのちょっと遅れるともうキャンセルされちゃうとかそういうこともあり得ると思うので あの時間に厳しいんだっていうことを覚えておくといいかもしれませんね
ただ時間に厳しいとは言ってもあのこれいいこともあって 電車とかバスの時間は正確です
バスはまあちょっと遅れることもあるか道が混んでるとね あの渋滞があったら時間通りに来ないこともありますが電車なんかはね本当に
時間通り正確に来ますね だからそういう
自分が何かするときに他の人が時間を守って正確に何かやってくれるっていうのは ありがたいんじゃないかなあとは思います
だから時間に厳しいのはよしやしありますね
8 ってことでまぁ3つ目はその時間に関して
あとなんかあるかな それはもちろんね日本で生活してたら戸惑うことなんかたくさんあるとは思うんですけど
俺は日本人だからねあんまり気にしないかな あ
一つそういえばあったなあの 外国人が間違えるというわけじゃないんだけど外国人がもしかしたらびっくりするかもしれない
っていう日本の習慣みたいなものはあります えっと実はこれね俺が台湾から日本に帰ってきたときに
あの 俺は日本人だけどねずっと日本で生まれ育ってきたんだけど久しぶりに日本で生活をしたら
なんかびっくりっていうかしばらく慣れなかったことがあってそれは 日本人がねすごい
いろんなところで何回も何回もすいませんっていうこと 本当にもう全然大したことじゃないのに
何があってももうちょっとしたことでも何回も何回もすいませんすいませんて謝られて なんで俺こんなに謝られてるんだろうっていうふうにしばらく慣れませんでした
ねあの だから外国の人もねもしかしたら日本に来たら
なんかすごいいっぱいすいませんって言われるなっていうふうに思うかもしれません
あのまあ今はもうね慣れたんですけど なんかね日本人ってすいませんってたくさん言うんですよ
8入ってことでこれが4つ目ですね
4かちょっと嫌な数字ですね84っていうのは日本では 4の読み方は別の読み方しなので嫌な数字です
4で終わるのはちょっとやだねなんかもう一つくらいないかな
8 そうだなうちの学生が日本に来て
ちょっと慣れないこと
ああ 英語が使えなくて大変だとか言ってますね
あの どの国でも
だいたい英語ってね使えるところが多いんですけど 日本に来てで母の英語を使ったら全然通じなくて
すごい困ったっていう人が結構いますね あとはうちの学校に来た学生で日本語が全然わかんない人は最初は
あの先生たちにも英語で話しかける人って結構いるんですけどでもうちの日本人の 先生たち英語で話しかけられても
全然英語で答えません なので
まあ日本語学校だったらねそれいいことだと思うんですけどね 英語で話しても全然通じないからじゃあ日本語で話さなきゃって思って
あのみんな最終的には日本語を使うようになるんですけどね でも旅行に来る人はねちょっと大変かもしれませんね
ってことでちょっとこう外国人が間違えるというかびっくりする 日本の
あの習慣というか文化というかねその一つが 日本人はとにかく日本語を使うということですね
まあ日本は島国なのでやっぱり他の国の文化ってなかなか 馴染みにくいし
