ep. 204 - 寂しさ(N3)

ん
皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですね
あのレビューの方からねリクエストをもらったのでそれについて話そうと思うんです けど
えっとねー 日本人がよく会う寂しさ
についてっていうことなんですけどこれどうどういう意味なんだろうね うーんと
日本人がどんな時に寂しいと感じるかっていうことですかね えっとまぁこれはねそうだね
あの気持ちの 問題気持ちの話題とかね感情についてはやっぱり個人差って
あの結構大きいと思うんですよ個人差が大きいっていうのはつまり人によって違う ことなのでね
その日本人はどうなのって言われると あの
ねっ 俺もわかんないんですけど
そうだね日本で生活しててこんな時に寂しさを感じる人がいますよっていう話なら ね少しはできるかもしれません
じゃあねまずはあの寂しさを感じるところってどこかというと うーんとねやっぱり社会人になってから
っていうのは結構多いんじゃないかなと 俺は思います
どういうことかというと あの子供の時子供っていうか学校に行ってる時はやっぱり同じクラスとかね
同じ授業に出ている人とかそういう あの人がたくさんいるからね友達ができやすいと思うんですけど
社会人になると 同じ会社で働いている人はねもちろん仲がいい友達になる時もありますが
やっぱり同僚と友達っていうのはちょっと違いますからね だからあの特に新しい会社に入ったばかりだと
あの仲のいい同僚とかねまだ友達もいないし 学生時代の友達とは仕事が忙しくてなかなか会えないし
それでね一人暮らしをしている人は仕事が終わったら自分一人だけでご飯を食べ たりとかね
あの部屋でテレビを見たりとか それだけの生活で面白くない
寂しいっていう風に感じる人は結構いるんじゃないかなと思います だから働き始めたばかりの人ですね
あとはあの学生は友達が多いって言ったけど 最近だとね大学生も友達ができなくて大変みたいですね
なんでかというとコロナのせいでリモートの授業が多くなった zoom とかを使ってオンラインでの授業が多くなったから
誰ともね周りの人とは話さないで部屋で一人で授業を聞いているだけっていう大学生 も結構
まあ今はね前よりも大学に行けるようになったから少なくなったと思いますが でもあの
ほんと去年とかはそうですねそういう人が多くて あの
友達もできないし何か困ったことがあっても誰にも相談できないし それで辛いっていう人が結構いたみたいです
うんと後はそうだなぁ 俺はねまだ
あの家族と一緒に過ごして暮らしてるからねわかんないけど あの日本は結構大人になると
まあだいたい大学生ぐらいかな大学生ぐらいになると自分の家を出て一人で生活を する人が多くなるので
それでね あの子供がいる人は
自分の子供がね家から出て行って あの子供が自分一人で生活を始めるのでそれでね
あの子供が出て行って寂しくなったっていう話はやっぱりよく聞きますね
まあこんなところかな俺がパッと思いつくのは
あの 大学生だったらその同じ授業の友達とかが全然いない
社会人になったら友達に会いたくてもなかなか会えない そしてあのもっと歳を取ったら家族がいなくなって子供が家から出て行ってしまって
それで寂しい こういう話をよく聞きます
えっと俺はねあんまり 寂しいっていうのは
今までなかったかなあの友達がもともと少なくて あれあの
休みの日とかもね一人で過ごす方が気が楽でね 誰かといないから寂しいということも特になかったので
さっきのね話にはちょっと俺は合わないかもしれませんけどね でもまあ今ね俺の子供がこれから20年ぐらい経って大きくなってそして家を出て
いくって言われたらやっぱり寂しいだろうなぁとは思います はいじゃあこんなのがね日本人の
まあよくある寂しさかなぁと思います ただ日本人のというかね日本の生活の仕方だとそういうことが多いかもしれない
っていう話ですね日本人だったら絶対そうだとは言えません
ただこの例えばね大人になったら家を出る人が多いとかそういう習慣とかはやっぱり 国によって違うので大人になってもねずーっと家を出ないで家族みんなでずっと一緒に
過ごすっていう国もたくさんあると思うので まあこの辺はね日本の独特なものかもしれませんね
はいじゃああの今日は 寂しさについてでした
あの やっぱりね感情的なものって本当に人によるから俺がねあの
日本人はこうですなんていうことは言えませんがその日本の生活の仕方とかね あの日本で一般的なこととか習慣とかそういうものはやっぱり俺も
日本人だし今日本にいるからねわかるのでそれに関係があることだったらこうやって ちょっと話ができると思うので他にも何かね
こう日本のことについて気になることを聞いてみたいこと 日本人の意見が知りたいっていうのがあればぜひ教えてください
ああとリクエストはねメールか あのインスタとかのメッセージで送ってもらえると
あの 一応ねどういう話がいいかとかの確認ができるので
助かりますなのであのそれでお願いします はいじゃあ今日はこの辺で終わりにしたいと思います
8 だんだんねうちの学校も留学生が日本に来るようになって新しいクラスが始まって学校が
賑やかになってきましたが まああの
仕事もね忙しくなってきましたが忙しいってやっぱりねあの大変だけどいいですね 学校の中が静かなよりは賑やかでいいね
で8まあ忙しいけど楽しい生活ができているので この楽しさを
ポッドキャストの方でも皆さんに分けたいと思うので 忙しいけど頑張って作っていきたいとおもいます
あのなので皆さんぜひ聞いてくださいできれば応援のメッセージともらえると嬉しいです はいじゃあまた来週のエピソードでお会いしましょうさようなら
