ep. 204 - 寂しさ(N3)

(00:00:00) ん
(00:00:07) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:17) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですね
(00:00:24) あのレビューの方からねリクエストをもらったのでそれについて話そうと思うんです けど
(00:00:32) えっとねー 日本人がよく会う寂しさ
(00:00:37) についてっていうことなんですけどこれどうどういう意味なんだろうね うーんと
(00:00:44) 日本人がどんな時に寂しいと感じるかっていうことですかね えっとまぁこれはねそうだね
(00:00:54) あの気持ちの 問題気持ちの話題とかね感情についてはやっぱり個人差って
(00:01:02) あの結構大きいと思うんですよ個人差が大きいっていうのはつまり人によって違う ことなのでね
(00:01:10) その日本人はどうなのって言われると あの
(00:01:16) ねっ 俺もわかんないんですけど
(00:01:20) そうだね日本で生活しててこんな時に寂しさを感じる人がいますよっていう話なら ね少しはできるかもしれません
(00:01:30) じゃあねまずはあの寂しさを感じるところってどこかというと うーんとねやっぱり社会人になってから
(00:01:39) っていうのは結構多いんじゃないかなと 俺は思います
(00:01:45) どういうことかというと あの子供の時子供っていうか学校に行ってる時はやっぱり同じクラスとかね
(00:01:54) 同じ授業に出ている人とかそういう あの人がたくさんいるからね友達ができやすいと思うんですけど
(00:02:03) 社会人になると 同じ会社で働いている人はねもちろん仲がいい友達になる時もありますが
(00:02:11) やっぱり同僚と友達っていうのはちょっと違いますからね だからあの特に新しい会社に入ったばかりだと
(00:02:22) あの仲のいい同僚とかねまだ友達もいないし 学生時代の友達とは仕事が忙しくてなかなか会えないし
(00:02:32) それでね一人暮らしをしている人は仕事が終わったら自分一人だけでご飯を食べ たりとかね
(00:02:40) あの部屋でテレビを見たりとか それだけの生活で面白くない
(00:02:46) 寂しいっていう風に感じる人は結構いるんじゃないかなと思います だから働き始めたばかりの人ですね
(00:02:56) あとはあの学生は友達が多いって言ったけど 最近だとね大学生も友達ができなくて大変みたいですね
(00:03:07) なんでかというとコロナのせいでリモートの授業が多くなった zoom とかを使ってオンラインでの授業が多くなったから
(00:03:18) 誰ともね周りの人とは話さないで部屋で一人で授業を聞いているだけっていう大学生 も結構
(00:03:26) まあ今はね前よりも大学に行けるようになったから少なくなったと思いますが でもあの
(00:03:34) ほんと去年とかはそうですねそういう人が多くて あの
(00:03:39) 友達もできないし何か困ったことがあっても誰にも相談できないし それで辛いっていう人が結構いたみたいです
(00:03:50) うんと後はそうだなぁ 俺はねまだ
(00:03:55) あの家族と一緒に過ごして暮らしてるからねわかんないけど あの日本は結構大人になると
(00:04:03) まあだいたい大学生ぐらいかな大学生ぐらいになると自分の家を出て一人で生活を する人が多くなるので
(00:04:12) それでね あの子供がいる人は
(00:04:16) 自分の子供がね家から出て行って あの子供が自分一人で生活を始めるのでそれでね
(00:04:24) あの子供が出て行って寂しくなったっていう話はやっぱりよく聞きますね
(00:04:30) まあこんなところかな俺がパッと思いつくのは
(00:04:34) あの 大学生だったらその同じ授業の友達とかが全然いない
(00:04:41) 社会人になったら友達に会いたくてもなかなか会えない そしてあのもっと歳を取ったら家族がいなくなって子供が家から出て行ってしまって
(00:04:50) それで寂しい こういう話をよく聞きます
(00:04:56) えっと俺はねあんまり 寂しいっていうのは
(00:05:01) 今までなかったかなあの友達がもともと少なくて あれあの
(00:05:08) 休みの日とかもね一人で過ごす方が気が楽でね 誰かといないから寂しいということも特になかったので
(00:05:17) さっきのね話にはちょっと俺は合わないかもしれませんけどね でもまあ今ね俺の子供がこれから20年ぐらい経って大きくなってそして家を出て
(00:05:28) いくって言われたらやっぱり寂しいだろうなぁとは思います はいじゃあこんなのがね日本人の
(00:05:36) まあよくある寂しさかなぁと思います ただ日本人のというかね日本の生活の仕方だとそういうことが多いかもしれない
(00:05:47) っていう話ですね日本人だったら絶対そうだとは言えません
(00:05:53) ただこの例えばね大人になったら家を出る人が多いとかそういう習慣とかはやっぱり 国によって違うので大人になってもねずーっと家を出ないで家族みんなでずっと一緒に
(00:06:07) 過ごすっていう国もたくさんあると思うので まあこの辺はね日本の独特なものかもしれませんね
(00:06:17) はいじゃああの今日は 寂しさについてでした
(00:06:22) あの やっぱりね感情的なものって本当に人によるから俺がねあの
(00:06:30) 日本人はこうですなんていうことは言えませんがその日本の生活の仕方とかね あの日本で一般的なこととか習慣とかそういうものはやっぱり俺も
(00:06:42) 日本人だし今日本にいるからねわかるのでそれに関係があることだったらこうやって ちょっと話ができると思うので他にも何かね
(00:06:51) こう日本のことについて気になることを聞いてみたいこと 日本人の意見が知りたいっていうのがあればぜひ教えてください
(00:07:00) ああとリクエストはねメールか あのインスタとかのメッセージで送ってもらえると
(00:07:09) あの 一応ねどういう話がいいかとかの確認ができるので
(00:07:15) 助かりますなのであのそれでお願いします はいじゃあ今日はこの辺で終わりにしたいと思います
(00:07:23) 8 だんだんねうちの学校も留学生が日本に来るようになって新しいクラスが始まって学校が
(00:07:31) 賑やかになってきましたが まああの
(00:07:35) 仕事もね忙しくなってきましたが忙しいってやっぱりねあの大変だけどいいですね 学校の中が静かなよりは賑やかでいいね
(00:07:45) で8まあ忙しいけど楽しい生活ができているので この楽しさを
(00:07:51) ポッドキャストの方でも皆さんに分けたいと思うので 忙しいけど頑張って作っていきたいとおもいます
(00:07:58) あのなので皆さんぜひ聞いてくださいできれば応援のメッセージともらえると嬉しいです はいじゃあまた来週のエピソードでお会いしましょうさようなら
