ep. 207 - PayPalについてお礼と連絡(N4)

皆さんこんにちはともです えっと今日も連絡です
先週あのペイパルのアカウントを作りましたという連絡をね みんなにしたんですけどそしたら
たくさん応援をいただきました本当にありがとうございます えっとそれであのペイパルのアカウントなんですけど
なんかねあの日本では自分のペイパルとかを sns とかねあとはこういう あのポッドキャストとかに載せるのは良くないっていう話を聞いたので公開してなかったんです
けど ペイパルに聞いたら公開しても大丈夫だっていうことなので
インスタとかこのポッドキャストとかに俺のペイパル載せておくことにします なので引き続き応援をしてくれる方がいましたら
あのね本当に少しでもいいので 応援していただけると嬉しいです
もちろん皆さんの応援ねお金だけじゃなくてねあのメールとかメッセージでも全然 嬉しいので
どんな形でもいいのであの皆さんから ポッドキャスト聞いてますとか頑張ってくださいって言われるとすごく嬉しいので
それがあるとこの毎週の音新しいエピソードを作る元気になるのでこれからもぜひ 応援お願いします
それじゃあの また新しいエピソードでお会いしましょうさようなら
