ep. 207 - PayPalについてお礼と連絡(N4)

(00:00:00) 皆さんこんにちはともです えっと今日も連絡です
(00:00:07) 先週あのペイパルのアカウントを作りましたという連絡をね みんなにしたんですけどそしたら
(00:00:15) たくさん応援をいただきました本当にありがとうございます えっとそれであのペイパルのアカウントなんですけど
(00:00:25) なんかねあの日本では自分のペイパルとかを sns とかねあとはこういう あのポッドキャストとかに載せるのは良くないっていう話を聞いたので公開してなかったんです
(00:00:38) けど ペイパルに聞いたら公開しても大丈夫だっていうことなので
(00:00:43) インスタとかこのポッドキャストとかに俺のペイパル載せておくことにします なので引き続き応援をしてくれる方がいましたら
(00:00:55) あのね本当に少しでもいいので 応援していただけると嬉しいです
(00:01:01) もちろん皆さんの応援ねお金だけじゃなくてねあのメールとかメッセージでも全然 嬉しいので
(00:01:09) どんな形でもいいのであの皆さんから ポッドキャスト聞いてますとか頑張ってくださいって言われるとすごく嬉しいので
(00:01:17) それがあるとこの毎週の音新しいエピソードを作る元気になるのでこれからもぜひ 応援お願いします
(00:01:26) それじゃあの また新しいエピソードでお会いしましょうさようなら
