ep. 207 - 外国人が増えてからの日本(N3)

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
さて今日はあのまたねリクエストをもらったんですけど 日本で外国人が増えて
何か変わったことはありますかっていうようなそんな質問ですね えーとねー
そうだね外国人がやっぱり昔より増えて 日本の変わったところっていうのはいろいろあると思います
えっとじゃあねー そうだねとりあえずあの俺がパッと思いつく日本の変わったところをいくつか話して
みようかなと思います まずはね日本で変わったことというと
英語が増えましたね まあ英語だけじゃないんだけどあの
例えば駅とかね あの
駅の中とかまあ空港とかもそうですけどそういうところに行くと日本語だけじゃなくて 英語と中国語と韓国語
この3つの言葉がね書いてあるところはすごく多くなったと思います えーとねあと
あの標識って言って えーとね
道路にあるその車に あのこうしてくださいっていうそういういろいろなサインですね
例えば止まってほしいときには止まれって書いてある その標識っていうサインが道路のいろんなところにあるんですけど
そのね道路の標識に英語がつくようになりました 全部じゃないんだけどあの
やっぱり止まれっていうのは危ないところにある標識だから 止まれだけじゃなくてその下にストップって英語でねあの書くようになりましたね
だからもうね あの日本に住む外国人が本当に多くなったんだなぁって思いました
やっぱりね標識とかはあの 旅行に来た人はそんなに見ないんですよね
あの特に えっと東京みたいだね大きい街に旅行に行った人は
あんまり あの道路歩かないと思うし歩いたとしても
歩道ですよね ちゃんと人が歩くところ
車じゃなくて人が歩くところを歩道って言うんですけど 旅行だと自転車も車も
あの自分では運転しないからだからね 歩道を歩くだけだから標識を見ない人ってすごく多いと思うんですけど
標識に英語がついたっていうことは標識を見る人が見る外国人が増えた つまり日本で車とかあの自転車に乗る人が多くなったとか
あとは東京だけじゃなくて田舎の方ですよね そっちの方に行く人が多くなったということかなと思います
でそのね外国語が増えたっていうのは 本当にねいろんなところで言えますね
8例えば あの部屋を貸す不動産とかですね
その不動産屋さんも中にねあの 日本語だけじゃなくていろんな国の言葉の説明を書いておいたりとか
あとは あの
外国人向けのアパートとかですね 部屋とかがすごく多くなったと思います
であの地域によってね あの
たくさんいる国が違うので例えばベトナム人が多いところだったらベトナム語を 用意しておいたりとか
あの その地域によって
あの結構ね変化があるというか違いますね
でえっとねあとはそうだね他に変わったものだと 日本人の意識とかも
変わったんじゃないかなと思います
俺がね子供の時は あの外国人を見るとあそこに外国人がいると思って
ちょっとねびっくりじゃないけど珍しいものを見たなっていう気持ちになりました 日本ってあの
日本人てみんな同じ似たような顔ですよね アメリカとかはいろんな人種いろいろな顔の人いろいろなねあの
えっと なんて言うんですか
その色とか形とかが本当にもうバラバラですよね アメリカっていろんな国からいろんな人が来てそこでみんなで生活をして
でそこで結婚して子供を作ってっていう風にするから あのいろんな人種いろんな人の種類が混ざっているんですけど
日本はねそれがないんですよね 最近はねあの
ちょっと増えたと思いますけどやっぱり昔はね あの全然外国人が日本に住む日本で結婚して子供を作るとかがなかったので
外国人をね日本で見るとすぐにわかってで珍しいなっていうふうに思ってましたが 今はね外国人見ても全然珍しくないですね
俺の住んでるところは田舎だから外国人なんて全然いなかったんですけどそれでもね今 ここでね外国人見るのは全然珍しくなくなりました
でえっとまぁさっきもねチラッと言ったけど日本では 外国人がね来てここに住んでそして子供を作って
あの日本でずっと生活するということがとても少なかったので あの
ハーフ昔はハーフって言ったけど今ダブルっていうのかな 日本人とあと外国人が結婚してできたその子供
それがねとても少なかったんですけど今はねほんと多くなりましたね だから
学校にもあの一人だけじゃなくてたくさんいるし スポーツの
あのチームとかを見てもね その
名前がカタカナの人とかね結構多くなってきましたし だからねそういうのも
変わってきたなぁと思います
でその日本人の意識っていうか 考え方ですねその外国人を見ても驚かなくなった
なので外国人に話しかけられるっていうのも あの
昔と比べてね びっくりしなくなったなぁっていう気がします
昔はねやっぱり外国人が少なかったから外国人に話しかけられると日本人ってすごい びっくりしちゃってたんですよ
あの日本人は英語が下手だっていうのは多分 世界で有名な話だと思うんですけど
だからねその日本人って本当に島国 島の国だから周りが全部海だから
外国とあんまり関わりがなくて外国語がねすごく苦手だったんですけど まあだからねあの
外国語で話しかけられるとすごいびっくりしてたんですけど 今はね
特に若い人なんかは学校であの英語を話す練習もたくさんするだろうし 外国人がすごく増えたから外国人に話しかけられてもびっくりしなくなったし
外国人があの 外国人の学生だね留学生がコンビニとかいろいろなところでバイトしているのも全然珍しくなくなったので
本当にその外国人と話すことに対して 抵抗とか驚きがなくなりましたね
まあこれがねその日本人のやっぱりその意識の部分考え方で変わったところですかね
あとね他に変わったところというと あの
日本の 習慣とかね文化とかそういうのも少し変わったなぁっていう気がします
まあこれいいところも悪いところもあると思うんですけど 日本ってその
島国でねさっきも言ったけど島国で周りが海だからだからね他の国の文化がなかなか 入ってこなかったんですよ
でも今は外国人も増えたしあともちろんテレビとかインターネットとかね そういうので外国の情報が簡単に手に入るようになったから
それでね あの
日本の文化の中でも文化とか習慣の中でも外国と全然 違う部分があってで
外国ではこんなことしないんだとか 日本じゃしちゃいけないけど外国ではいいんだっていうこととかがどんどん分かってきて
それで あの
まあ悪い習慣とかはねなくなって きたなっていう気がするしあとはあの
逆に外国の良い習慣とかを日本も日本も真似するようになったなぁとか そういうのをね感じます
ただねこれね俺はね 外国に住んでたこともあるし毎日外国人と話しているから
俺はちょっと 特別っていうか他の日本人と違うかもしれないんですけど
だからねあんまり俺の意見は参考にならないかもしれないけど でもあの例えばね日本のその
日本人は本当の気持ちは全然言わないで あの嘘じゃないけどね本当は思ってないことを言うみたいな話をする
外国人とかは結構いると思うんですけど そういうのがなくなって本当の気持ちをあの
ちゃんと話すようになった人も増えたと思うし だからその
考え方がね日本人の考え方とかも変わってきたような気がするし あの悪い習慣例えばねその
仕事で日本人が働きすぎだとかね そういうのも外国人がね日本で働くようになって
日本人のこういう働き方おかしいんだっていうところを 感じて
そしてあの変だというふうに言ってくれる人が多くなったのかな だから今ね本当に昔みたいに働きすぎないように気をつけている
会社とかあとは人とかね日本人が 多くなったなあっていう気がします
はいじゃあとりあえずね3つお話をしました 変わったところでまずは外国語が増えたっていうこととあとは
あの外国人を見ても驚かなくなった 外国人と話すのもそんなに驚かなくなった
そして8 日本の習慣がね色々変わってきたっていうことですね
もちろんこれはね俺がそう思ったというだけで他の人は違うかもしれませんけどね でも
似たようなことを感じている人は多分結構いるんじゃないかなと思います
はいじゃあ今日はねその外国人が多くなって日本がどう変わったかというお話でした 8
またね何かリクエストとかあったら メールとかメッセージで送ってください
あとはね前回のエピソードでもあの話したんですけどもあとインスタにもうちょっと載せ たんですけど
paypal のアカウントを作りました ポッドキャストをいつも聞いていて応援したいという人がいたら
100円でもいいので10円だとねあのペーパーの 手数料で0円になってしまうので100円ぐらいからがいいかな
100円でもいいから応援したいという人がもしいたら メッセージをください
あのね ペーパルの url をそのまま載せることはできないので1回メールかメッセージを
ください 日本の法律でねそれがダメだっていうことが決まっているのでそれであのメール
とかメッセージでちゃんと話ができる人は その俺のペーパルのアカウントを教えることができるので応援してくれる人がいたらぜひ
メッセージをお願いします
それじゃあ今日はこの辺で終わりにしましょう また次のエピソードでお会いしましょうさようなら
