ep. 207 - 外国人が増えてからの日本(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:00:12) 教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
(00:00:21) さて今日はあのまたねリクエストをもらったんですけど 日本で外国人が増えて
(00:00:29) 何か変わったことはありますかっていうようなそんな質問ですね えーとねー
(00:00:38) そうだね外国人がやっぱり昔より増えて 日本の変わったところっていうのはいろいろあると思います
(00:00:48) えっとじゃあねー そうだねとりあえずあの俺がパッと思いつく日本の変わったところをいくつか話して
(00:00:56) みようかなと思います まずはね日本で変わったことというと
(00:01:03) 英語が増えましたね まあ英語だけじゃないんだけどあの
(00:01:09) 例えば駅とかね あの
(00:01:13) 駅の中とかまあ空港とかもそうですけどそういうところに行くと日本語だけじゃなくて 英語と中国語と韓国語
(00:01:25) この3つの言葉がね書いてあるところはすごく多くなったと思います えーとねあと
(00:01:34) あの標識って言って えーとね
(00:01:40) 道路にあるその車に あのこうしてくださいっていうそういういろいろなサインですね
(00:01:48) 例えば止まってほしいときには止まれって書いてある その標識っていうサインが道路のいろんなところにあるんですけど
(00:01:57) そのね道路の標識に英語がつくようになりました 全部じゃないんだけどあの
(00:02:07) やっぱり止まれっていうのは危ないところにある標識だから 止まれだけじゃなくてその下にストップって英語でねあの書くようになりましたね
(00:02:19) だからもうね あの日本に住む外国人が本当に多くなったんだなぁって思いました
(00:02:28) やっぱりね標識とかはあの 旅行に来た人はそんなに見ないんですよね
(00:02:36) あの特に えっと東京みたいだね大きい街に旅行に行った人は
(00:02:44) あんまり あの道路歩かないと思うし歩いたとしても
(00:02:50) 歩道ですよね ちゃんと人が歩くところ
(00:02:55) 車じゃなくて人が歩くところを歩道って言うんですけど 旅行だと自転車も車も
(00:03:02) あの自分では運転しないからだからね 歩道を歩くだけだから標識を見ない人ってすごく多いと思うんですけど
(00:03:10) 標識に英語がついたっていうことは標識を見る人が見る外国人が増えた つまり日本で車とかあの自転車に乗る人が多くなったとか
