ep. 208 - JLPT公式問題集1の解説-N2問題7(33)(34)(35)(36)(N2)

皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですねあの
だんだんJLPTも近づいてきたので すんごい久しぶりなんですけど
JLPTの公式問題集のね あの問題の解説の続きでもやろうかなと思います
すんごい久しぶりなので俺もどこまでやったかちょっと忘れちゃって 前ねあの最後にやったのどこだったかなと思って見直したんですけど
N2の公式問題集の1の文字越えまで終わってるみたいですね 問題6まで終わってますね
なので今日は文法の問題の説明ですね それをやろうかなと思います
じゃあ えっとまずはこのエピソードを聞く前に自分でN2の公式問題集1の問題解いて
そして問題を見ながら聞いてください じゃあ
問題7の 文法の問題ですねそれの一つ目問題の番号は33番です
この問題のね答えは 3のとかですね
もうダメとか言うのとかです まずはこのね
えっととかの意味を説明しちゃうと このとかはね n 3ぐらいでも結構出てくると思うんですけど
あのいろいろある時のとかですねやなどみたいな感じで使う あのとかです
でとかっていうのは あの
名詞だけじゃなくてねいろんな品種で使えるんですけど まあこの会話を見るとこの a の人は
もう無理だっていうふうに言ってますけど多分いつもねよく もう無理だ私にはできない
もうやだみたいなことをよく言ってるんでしょうね だからもうダメみたいなことをそうやってすぐに言うのをやめてくださいっていうのが
この b のセリフです で答えはそのとかなんですけど他の選択肢はどうなのかっていうのも理解しておいた方がいい
のでその説明もしたいですね で
まあここではね 女子の復習ですね
んで この言うっていう言葉言いますの前に使う女子は
をなのかとなのかっていうそういうそこで悩む人が多いと思うんですけど これねちゃんと使い方ルールがあります
まずはね言うの前なんですけど その話す言葉を直接そのまま言うときにはとです
どういうことかというと例えばねえっと悪口を言う っていうのは
悪口ってわかりますか誰かの悪い話ですね 例えばあの人日本語下手だよねとかあの人うるさいよねとか
そういう誰かの悪い話悪口って言うんですけど悪口を言うっていうのは 誰かの悪いことで具体的に話すことっていうのはそのあの人は日本語が下手だ
とかそういう話ですねだから本当に話す言葉その言葉は あの人は日本語が下手だと言う
話す言葉直接言うときにはとで話す言葉じゃなくてその内容の時には とじゃなくてをを使います悪口を言う
でどんな悪口を言ったかというとあの人は日本語が下手だと言った これがね言うの前の女子
女のかとなのかっていう使い分けで でねあのいうの前に基本的にはだけで使うということはないんですよ
ねこれ選択肢に割ってありますしははいろんなところで使えるからみんな悩むと思うん ですけど
はだけでは使わない じゃあ割ってどんな時に使うのかっていうと
これみんなはとが悩みますよね でねあのはは確かにいろんな使い方があるから難しいんですけど
その中のねそのいろんな使い方の中の一つ覚えてください はっていうのは対比のはという使い方があります
対比っていうのは2つのものを比べるっていう使い方です でまぁ比べるって言っても分かりにくいと思うのでもう少し分かりやすく例を出すと
例えば 私は
時間はあるがお金はない みたいな言い方ですね時間はあるけどお金はない
普通あるっていう言葉は女子がですよね私は時間があるお金があるみたいなね でも時間はあるけどお金はない
あるとないって反対ですよね こういうふうに反対のものを言うときって日本語ははになるんですよ
これがね対比のはの使い方で あの
ここでさっきの n 2の問題に戻りますけど 言うっていう言葉でははね普通は使わないんです
もしはを使うならそれはこの対比のはつまり何かは言うけど何かは言わない その反対の意味があるときにはは言うって言っても大丈夫です
8まあ例えば あの人は人の悪口は言うけどいい話は全然しない
みたいな感じですね でさっきの問題を見るとこれはね全然対比じゃない反対の話はしてないのではだけ
では使えないんですよ ってことであの
この最初の問題ですね33番 8
選択肢に音はがありますがあの もうダメっていうのは直接言ってる言葉なのでを扱わない
ではっていうのは対比の時しか使わないからこれもダメ あとは4番のとはっていうのはこれもね
さっき説明したはと同じでなんとかと言う でもなんとかと言わないみたいに対比の時にはととはを一緒に使うこともできるので
とは言うって言ったらやっぱりこれも対比だから何か別の反対の話がないと使えない のでこれもダメになります
