ep. 208 - JLPT公式問題集1の解説-N2問題7(33)(34)(35)(36)(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:16) そんな人のために日本語教師の友がちょうどいい日本語で話をします さて今日はですねあの
(00:00:24) だんだんJLPTも近づいてきたので すんごい久しぶりなんですけど
(00:00:29) JLPTの公式問題集のね あの問題の解説の続きでもやろうかなと思います
(00:00:39) すんごい久しぶりなので俺もどこまでやったかちょっと忘れちゃって 前ねあの最後にやったのどこだったかなと思って見直したんですけど
(00:00:48) N2の公式問題集の1の文字越えまで終わってるみたいですね 問題6まで終わってますね
(00:00:58) なので今日は文法の問題の説明ですね それをやろうかなと思います
(00:01:06) じゃあ えっとまずはこのエピソードを聞く前に自分でN2の公式問題集1の問題解いて
(00:01:15) そして問題を見ながら聞いてください じゃあ
(00:01:21) 問題7の 文法の問題ですねそれの一つ目問題の番号は33番です
(00:01:28) この問題のね答えは 3のとかですね
(00:01:34) もうダメとか言うのとかです まずはこのね
(00:01:41) えっととかの意味を説明しちゃうと このとかはね n 3ぐらいでも結構出てくると思うんですけど
(00:01:48) あのいろいろある時のとかですねやなどみたいな感じで使う あのとかです
(00:01:55) でとかっていうのは あの
(00:01:58) 名詞だけじゃなくてねいろんな品種で使えるんですけど まあこの会話を見るとこの a の人は
(00:02:07) もう無理だっていうふうに言ってますけど多分いつもねよく もう無理だ私にはできない
(00:02:15) もうやだみたいなことをよく言ってるんでしょうね だからもうダメみたいなことをそうやってすぐに言うのをやめてくださいっていうのが
(00:02:24) この b のセリフです で答えはそのとかなんですけど他の選択肢はどうなのかっていうのも理解しておいた方がいい
(00:02:34) のでその説明もしたいですね で
(00:02:37) まあここではね 女子の復習ですね
(00:02:41) んで この言うっていう言葉言いますの前に使う女子は
(00:02:49) をなのかとなのかっていうそういうそこで悩む人が多いと思うんですけど これねちゃんと使い方ルールがあります
(00:02:59) まずはね言うの前なんですけど その話す言葉を直接そのまま言うときにはとです
(00:03:10) どういうことかというと例えばねえっと悪口を言う っていうのは
(00:03:19) 悪口ってわかりますか誰かの悪い話ですね 例えばあの人日本語下手だよねとかあの人うるさいよねとか
(00:03:27) そういう誰かの悪い話悪口って言うんですけど悪口を言うっていうのは 誰かの悪いことで具体的に話すことっていうのはそのあの人は日本語が下手だ
(00:03:39) とかそういう話ですねだから本当に話す言葉その言葉は あの人は日本語が下手だと言う
(00:03:49) 話す言葉直接言うときにはとで話す言葉じゃなくてその内容の時には とじゃなくてをを使います悪口を言う
(00:04:02) でどんな悪口を言ったかというとあの人は日本語が下手だと言った これがね言うの前の女子
(00:04:11) 女のかとなのかっていう使い分けで でねあのいうの前に基本的にはだけで使うということはないんですよ
(00:04:23) ねこれ選択肢に割ってありますしははいろんなところで使えるからみんな悩むと思うん ですけど
(00:04:29) はだけでは使わない じゃあ割ってどんな時に使うのかっていうと
(00:04:35) これみんなはとが悩みますよね でねあのはは確かにいろんな使い方があるから難しいんですけど
(00:04:45) その中のねそのいろんな使い方の中の一つ覚えてください はっていうのは対比のはという使い方があります
(00:04:55) 対比っていうのは2つのものを比べるっていう使い方です でまぁ比べるって言っても分かりにくいと思うのでもう少し分かりやすく例を出すと
(00:05:04) 例えば 私は
(00:05:07) 時間はあるがお金はない みたいな言い方ですね時間はあるけどお金はない
(00:05:16) 普通あるっていう言葉は女子がですよね私は時間があるお金があるみたいなね でも時間はあるけどお金はない
(00:05:29) あるとないって反対ですよね こういうふうに反対のものを言うときって日本語ははになるんですよ
(00:05:37) これがね対比のはの使い方で あの
(00:05:42) ここでさっきの n 2の問題に戻りますけど 言うっていう言葉でははね普通は使わないんです
(00:05:51) もしはを使うならそれはこの対比のはつまり何かは言うけど何かは言わない その反対の意味があるときにはは言うって言っても大丈夫です
(00:06:06) 8まあ例えば あの人は人の悪口は言うけどいい話は全然しない
(00:06:14) みたいな感じですね でさっきの問題を見るとこれはね全然対比じゃない反対の話はしてないのではだけ
(00:06:22) では使えないんですよ ってことであの
(00:06:27) この最初の問題ですね33番 8
(00:06:32) 選択肢に音はがありますがあの もうダメっていうのは直接言ってる言葉なのでを扱わない
(00:06:42) ではっていうのは対比の時しか使わないからこれもダメ あとは4番のとはっていうのはこれもね
(00:06:51) さっき説明したはと同じでなんとかと言う でもなんとかと言わないみたいに対比の時にはととはを一緒に使うこともできるので
(00:07:01) とは言うって言ったらやっぱりこれも対比だから何か別の反対の話がないと使えない のでこれもダメになります
