ep. 211 - JLPT公式問題集1の解説-N2問題8(N2)

ん
皆さんこんにちはと思うですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします はいそれじゃあ
jrpt の問題続きいきましょうか もう毎日やってますねえっと今日もこの前の問題の続きなのでこの話を聞く前に
まずは自分で問題を解いてそして問題を見ながら聞いてください じゃあ昨日で問題7が終わったので今日は問題8です問題8見てください
問題8は並べ替えの問題ですこれはね俺結構 あの
簡単なタイプの問題じゃないかなと思ってるんですけど あのなんでかというと言葉の意味がねわかんなくても形だけ見ればある程度
答えがねあのわかるからです まあ文法ねその形とかでね品種とか形とかで考えるのが苦手な人はね難しい
と思うんですけど まあこれ慣れるとほんと簡単になってくると思います
えっとねこれね形を全然見ないで言葉の意味だけ考えていると難しいと思います 形にね気をつけて問題解きましょう
じゃあ一つ目45番ですね ほんとねこれはねと言うっていう言葉が入ってるからねわかりやすいですね
というまあこの党なんですけどこれ引用って言って あの誰かの言葉とかをねそのまま言うときに使うこと
あの女子なんですよ あの日本語の勉強をねしてる人は結構最初の方でと思います
っていうので思いますと一緒に始めて勉強したっていう人結構多いと思うんですがね そのとの前ってまあ何でも使えるわけですよ
このカッコの中に入れたら ってことでこれねもうあのもしまたミスをしたらと言うっていうこの2つセットっていうのがすぐわかるんです
でねこれねあの 3つ目の選択肢のプレッシャーという言葉ねこれの使い方で迷うと思うんですよ
あの多分ねこの問題引っかかる人間違える人は彼にプレッシャーはっていう風にし ちゃうんですでもこれダメなんですよ
なんでかっていうとと言うの後ろにどんな言葉が来るかっていうのを考えると言うっていう のは辞書形ですよね
辞書形ってね結構使い方が限られてて辞書形の次に来る言葉って名詞とか まあ文法文系でもね
えっと何かをする前とかする場合みたいにあの名詞的な文法だったりとか あとはねもう辞書形の後ろって
そこで文が終わり丸が来るか本当そのぐらいなんですよ だからというって書いてるからこれね後ろが名詞だっていうのがわかるんですよ
だからねというの後ろを名詞にすると あの
もうプレッシャーしかないわけですよ だからミスをしたらというプレッシャーはもうこれ全部セットです
んで 残りねしたらっていうのが余るんですけど
ここまでは文分の意味とか考えずに 形だけ品種だけ見たらわかるんですで最後にこのしたらの使い方であの文法の知識
ですねここはにしたらっていう言葉がわかるとすぐに答えが出てきます にしたらっていうのはあのその人の立場だったらとかその人ならっていう意味ですね
なのでこれは彼にしたらっていう最初に来る だから答えは
えっと 1342
違う米間違えたヘッド 彼にしたらだから1423ですごめんなさい
1423ですね えっと
彼にしたらあのまたミスしたらというプレッシャーは相当あった という分ですね
はいじゃあね続いて46の方いきますようんとねこれもね さっきのと言うとほとんど同じ使い方でなんて言うっていう言葉があるねなので結構
簡単だと思います と言うとなんて言うで違うのはなんてって言葉が入っているとこれはね
良くないこととか悪いこと残念なことによく使うっていうそういう違いがあるだけ ですね
そうするとこのなんて言うの前も あの
人が話しているようなことですねそれが来るのでそうするとも酸っぱいのが苦手だ なんていうこの2つがセットだっていうのがすぐわかります
んで なんていうさっきのと言うと使い方同じだって言いましたね
ここに辞書形がありますそしたら後ろは同士あの名刺だっていうのがわかりますね この中で名刺はもう若者しかないからこれセットってわかります
でそうすると 8苦手だなんていう若者が最近最近の後ろに残念なのはは来ないのであの
残念なのはっていうのは最初ですねなので答えは 8
2413の順番ですね
はいじゃあついていきますよ47番今度はうんと これもねまた形を見ていくと結構ね答えが絞れるんですよ
8まずはねこれはね どんなっていう疑問詞があることに注目しましょう
日本語はね基本的に疑問詞が出てきたらそれが疑問文じゃなかったとしても 質問の分じゃなかったとしても疑問詞が出てきたら
後ろにかが必要です 疑問詞ってわかりますかあの疑問の言葉ねどんなとか何誰いつどこ
これ疑問詞って言いますけど疑問詞金あるとかが必要なんですよ だからこれねどんな思いでどんなの後ろは買ってくれたのか
もう猫の2番と3番の前後関係は100%間違いありません どんな思いで買ってくれたのか
であとは4番にね思うって入ってるからこれもすぐわかるね買ってくれの くれたのかと思うととと思うがセットってのはすぐわかりますよね
で後は1の音それだけでの使い方ですね これはねそれが何を指しているのかっていうのがわからないと最初に使うのかそれとも
最後に来るのかっていうのがわかりにくいんですが 最初にねそれだけでどんな思いで買ってくれたのかと思うとどんな
あと涙が出ます えっと最初に持ってきたとねそれが何を言ってるのかわかんないですね
なのでこれはねあの 一番は最後に持ってきて
どんな思いで買ってくれたのかと思うとそれだけで涙が出る 82341の順番だね
はいじゃあ続いて48話いきますよ えっとねこれはねーいやらしい問題ですよね 1と2でしたいやりたいって
あの ほとんど同じ意味の言葉が出てきちゃうんですよね
でこれねまあ引っ掛けなんですよしたいとやりたい同じ意味だから じゃあ子供がしたい子供がやりたいと落ちてもいいじゃないかって思っちゃうともう答え
が出ないんです えっとねこれねー
あの 3つ目の選択肢見るとやらせてっていうて系が入ってますね
実はて系があるとすごいね答えが絞りやすいんです て系の後ろに来る言葉って結構ね限られてるんですよ
あの初級の家はねよく間違えるんですけど ての後ろに名刺を持ってきちゃう人がね多いんですよね
例えばて時とかテーバーいいとかね あとは他にもてと思うみたいにての後ろにとを使うとか
これ全部ダメなんですてっていうのは基本的にあの動詞が2つ以上あるときに 連続でね動詞を言うときに何とかして何とかしてその次何してみたいに使うか
ての後ろにあの違う文型ですねてみたいとかておきますとかね そういう時にしかて使わないんですよ
というのがわかっていればこの問題ってね てするっていう日本語はないしてと思うもダメ
この中で使えるのって実はやりたいでこのやりたいっていうのはしたいと並んでると ね同じ意味の言葉2つじゃないかと思うかもしれないんですけど
このやりたいはするっていう意味のやるじゃなくてあげるっていう意味のやるなんですよ だからやらせてやる
やらせてあげるっていう意味にするといいんですね で
そうするとねもう答えほぼ出たようなもんですよ あの子供があって言ったら子供がと思う
これダメですね子供が思うだったらまだいいんですけど子供がと思う ここにとが入ってるから一緒に使えないので子供がしたい
もうこれ確定ですね でしたい普通形だから普通形の次っていうのはここでは等ですね子供がしたいと思うことは
やらせてやりたいねえっと答えですね
じゃあ最後49番ですねえっと49番これもね あの言葉の形を見ていくと答えが絞れるんですけどこれはね形だけだと答えが
あの2択になっちゃう えっと意味も考えないと最後のこ答えまでは持っていけないんです
じゃあねとりあえず形だけ見ていくと えっとねまずはねに対するですね
にの前は名刺だから政治に対するなのか 信頼に対するのまあどっちかですね
あとはねこれはねまた手形がありますねあってっていう手形です 手形はさっき言った通り後ろが名刺ってダメだからもうそれが分かっているとね
この手形の後ろはて初めてっていう文法だなってすぐわかります じゃあ後はそのに対するの前の名刺が政治なのか信頼なのかのどっちかですね
に対するを信頼と結びつけて信頼に対するにするとどんな分になるか 対するっていうのはこれ形が辞書形だからやっぱり後ろ名刺ですね
そうすると 信頼に対するにすると残りの名刺って
8政治家しかないから 8ね
そうすると 政治があって初めて信頼に対する政治家はという分ですね
これだとね意味がちょっと通じないですよねはいここで分の意味をよく考えてこれ じゃダメだっていうのが判断できるから答えは
政治に対する信頼があって初めて 政治家はという分になります
はいじゃあこれでえっとまぁ最後の答えがわかりましたね 8
政治に対する信頼24ですねでその次があってだから2431という順番です
愛知はこれで問題8が終わりました 並べ替えの問題俺はねこれ結構ね好きなんです
その 例えばね読解とかは結構ね言葉の意味がわかんない知らない言葉が多いと答えが
出せなかったりするんですけど この並べ替えの問題って形さえわかっちゃえば言葉の意味がわかんなくてもかなり答えに
近づけるんですよ だからね
単語を覚えるのが苦手だただ覚えるだけなんて面白くないやりたくないっていうそういう タイプの人は形だけで判断できるからねいいんじゃないかなって思うんですよ
まあこれもねちょっと慣れが必要なのであの今からねちょっと練習だと jlpt 本番までには間に合わないかもしれませんが
まあ12月の試験の練習勉強している人はねそれ意識してやってみてください 愛知はこれで問題8終わりなのでえっと
次のエピソードでは問題9に行きたいと思います ちょっと土日は忙しいかなぁ
あの子供の世話とかもあるのでねえっとまた次作るとしたら来週になると思いますが 土日82日間皆さん日本語の勉強頑張ってください
それじゃあ今日はこの辺で終わりにしたいと思います このエピソードが少しでも役に立ったという人はあのペイパル載せておくので応援して
いただけると嬉しいです はいじゃあまた次のエピソードお会いしましょうさようなら
