ep. 211 - JLPT公式問題集1の解説-N2問題8(N2)

(00:00:00) ん
(00:00:06) 皆さんこんにちはと思うですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:00:15) そんな人のために日本語教師の友がちょうどいい日本語で話をします はいそれじゃあ
(00:00:22) jrpt の問題続きいきましょうか もう毎日やってますねえっと今日もこの前の問題の続きなのでこの話を聞く前に
(00:00:30) まずは自分で問題を解いてそして問題を見ながら聞いてください じゃあ昨日で問題7が終わったので今日は問題8です問題8見てください
(00:00:41) 問題8は並べ替えの問題ですこれはね俺結構 あの
(00:00:47) 簡単なタイプの問題じゃないかなと思ってるんですけど あのなんでかというと言葉の意味がねわかんなくても形だけ見ればある程度
(00:00:57) 答えがねあのわかるからです まあ文法ねその形とかでね品種とか形とかで考えるのが苦手な人はね難しい
(00:01:07) と思うんですけど まあこれ慣れるとほんと簡単になってくると思います
(00:01:13) えっとねこれね形を全然見ないで言葉の意味だけ考えていると難しいと思います 形にね気をつけて問題解きましょう
(00:01:23) じゃあ一つ目45番ですね ほんとねこれはねと言うっていう言葉が入ってるからねわかりやすいですね
(00:01:31) というまあこの党なんですけどこれ引用って言って あの誰かの言葉とかをねそのまま言うときに使うこと
(00:01:39) あの女子なんですよ あの日本語の勉強をねしてる人は結構最初の方でと思います
(00:01:48) っていうので思いますと一緒に始めて勉強したっていう人結構多いと思うんですがね そのとの前ってまあ何でも使えるわけですよ
(00:01:58) このカッコの中に入れたら ってことでこれねもうあのもしまたミスをしたらと言うっていうこの2つセットっていうのがすぐわかるんです
(00:02:10) でねこれねあの 3つ目の選択肢のプレッシャーという言葉ねこれの使い方で迷うと思うんですよ
(00:02:20) あの多分ねこの問題引っかかる人間違える人は彼にプレッシャーはっていう風にし ちゃうんですでもこれダメなんですよ
(00:02:29) なんでかっていうとと言うの後ろにどんな言葉が来るかっていうのを考えると言うっていう のは辞書形ですよね
(00:02:38) 辞書形ってね結構使い方が限られてて辞書形の次に来る言葉って名詞とか まあ文法文系でもね
(00:02:49) えっと何かをする前とかする場合みたいにあの名詞的な文法だったりとか あとはねもう辞書形の後ろって
(00:03:00) そこで文が終わり丸が来るか本当そのぐらいなんですよ だからというって書いてるからこれね後ろが名詞だっていうのがわかるんですよ
(00:03:10) だからねというの後ろを名詞にすると あの
(00:03:15) もうプレッシャーしかないわけですよ だからミスをしたらというプレッシャーはもうこれ全部セットです
(00:03:23) んで 残りねしたらっていうのが余るんですけど
(00:03:28) ここまでは文分の意味とか考えずに 形だけ品種だけ見たらわかるんですで最後にこのしたらの使い方であの文法の知識
(00:03:40) ですねここはにしたらっていう言葉がわかるとすぐに答えが出てきます にしたらっていうのはあのその人の立場だったらとかその人ならっていう意味ですね
(00:03:51) なのでこれは彼にしたらっていう最初に来る だから答えは
(00:03:56) えっと 1342
(00:04:02) 違う米間違えたヘッド 彼にしたらだから1423ですごめんなさい
(00:04:10) 1423ですね えっと
(00:04:15) 彼にしたらあのまたミスしたらというプレッシャーは相当あった という分ですね
(00:04:22) はいじゃあね続いて46の方いきますようんとねこれもね さっきのと言うとほとんど同じ使い方でなんて言うっていう言葉があるねなので結構
(00:04:32) 簡単だと思います と言うとなんて言うで違うのはなんてって言葉が入っているとこれはね
(00:04:40) 良くないこととか悪いこと残念なことによく使うっていうそういう違いがあるだけ ですね
(00:04:46) そうするとこのなんて言うの前も あの
(00:04:50) 人が話しているようなことですねそれが来るのでそうするとも酸っぱいのが苦手だ なんていうこの2つがセットだっていうのがすぐわかります
(00:04:59) んで なんていうさっきのと言うと使い方同じだって言いましたね
(00:05:05) ここに辞書形がありますそしたら後ろは同士あの名刺だっていうのがわかりますね この中で名刺はもう若者しかないからこれセットってわかります
(00:05:16) でそうすると 8苦手だなんていう若者が最近最近の後ろに残念なのはは来ないのであの
(00:05:25) 残念なのはっていうのは最初ですねなので答えは 8
(00:05:30) 2413の順番ですね
(00:05:34) はいじゃあついていきますよ47番今度はうんと これもねまた形を見ていくと結構ね答えが絞れるんですよ
(00:05:45) 8まずはねこれはね どんなっていう疑問詞があることに注目しましょう
(00:05:51) 日本語はね基本的に疑問詞が出てきたらそれが疑問文じゃなかったとしても 質問の分じゃなかったとしても疑問詞が出てきたら
(00:06:03) 後ろにかが必要です 疑問詞ってわかりますかあの疑問の言葉ねどんなとか何誰いつどこ
